Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Sun Feb 01 2009 12:00pm,Minnesota Timberwolves,101,Boston Celtics,109,Box Score,0,18624,
Sun Feb 01 2009 02:30pm,Cleveland Cavaliers,90,Detroit Pistons,80,Box Score,0,22076,
Sun Feb 01 2009 12:00pm,Oklahoma City Thunder,118,Sacramento Kings,122,Box Score,1,10817,
Sun Feb 01 2009 12:00pm,Orlando Magic,113,Toronto Raptors,90,Box Score,0,19800,
Mon Feb 02 2009 07:30pm,San Antonio Spurs,110,Golden State Warriors,105,Box Score,1,18205,
Mon Feb 02 2009 07:30pm,Los Angeles Clippers,95,Miami Heat,119,Box Score,0,15985,
Mon Feb 02 2009 07:00pm,Portland Trail Blazers,97,New Orleans Hornets,89,Box Score,0,14781,
Mon Feb 02 2009 07:30pm,Los Angeles Lakers,126,New York Knicks,117,Box Score,0,19763,
Mon Feb 02 2009 07:00pm,Dallas Mavericks,105,Orlando Magic,95,Box Score,0,16551,
Mon Feb 02 2009 07:00pm,Sacramento Kings,81,Phoenix Suns,129,Box Score,0,18422,
Mon Feb 02 2009 07:00pm,Charlotte Bobcats,86,Utah Jazz,105,Box Score,0,19911,
Mon Feb 02 2009 07:00pm,Memphis Grizzlies,113,Washington Wizards,97,Box Score,0,11442,
Tue Feb 03 2009 07:00pm,Toronto Raptors,83,Cleveland Cavaliers,101,Box Score,0,20562,
Tue Feb 03 2009 07:00pm,San Antonio Spurs,96,Denver Nuggets,104,Box Score,0,18536,
Tue Feb 03 2009 07:30pm,Chicago Bulls,100,Houston Rockets,107,Box Score,0,16653,
Tue Feb 03 2009 07:00pm,Minnesota Timberwolves,116,Indiana Pacers,111,Box Score,0,11015,
Tue Feb 03 2009 07:30pm,Milwaukee Bucks,85,New Jersey Nets,99,Box Score,0,10102,
Tue Feb 03 2009 07:00pm,Boston Celtics,100,Philadelphia 76ers,99,Box Score,0,16831,
Wed Feb 04 2009 07:30pm,Portland Trail Blazers,99,Dallas Mavericks,104,Box Score,0,19767,
Wed Feb 04 2009 07:30pm,Miami Heat,90,Detroit Pistons,93,Box Score,0,21720,
Wed Feb 04 2009 07:30pm,Phoenix Suns,112,Golden State Warriors,124,Box Score,0,19596,
Wed Feb 04 2009 07:00pm,Houston Rockets,93,Memphis Grizzlies,104,Box Score,0,10109,
Wed Feb 04 2009 07:00pm,Atlanta Hawks,94,Minnesota Timberwolves,86,Box Score,0,13745,
Wed Feb 04 2009 07:00pm,Chicago Bulls,107,New Orleans Hornets,93,Box Score,0,16270,
Wed Feb 04 2009 07:30pm,Cleveland Cavaliers,107,New York Knicks,102,Box Score,0,19763,
Wed Feb 04 2009 07:00pm,Denver Nuggets,114,Oklahoma City Thunder,113,Box Score,0,18332,
Wed Feb 04 2009 07:00pm,Los Angeles Clippers,96,Orlando Magic,125,Box Score,0,16101,
Wed Feb 04 2009 07:00pm,Los Angeles Lakers,115,Toronto Raptors,107,Box Score,0,19800,
Wed Feb 04 2009 07:00pm,New Jersey Nets,115,Washington Wizards,88,Box Score,0,12602,
Thu Feb 05 2009 08:00pm,Los Angeles Lakers,110,Boston Celtics,109,Box Score,1,18624,
Thu Feb 05 2009 07:00pm,Indiana Pacers,94,Philadelphia 76ers,99,Box Score,0,10699,
Thu Feb 05 2009 08:30pm,Dallas Mavericks,87,Utah Jazz,115,Box Score,0,19911,
Fri Feb 06 2009 07:00pm,Atlanta Hawks,102,Charlotte Bobcats,97,Box Score,0,15140,
Fri Feb 06 2009 07:00pm,Orlando Magic,102,Indiana Pacers,107,Box Score,0,13559,
Fri Feb 06 2009 07:00pm,Los Angeles Clippers,126,Memphis Grizzlies,105,Box Score,0,10912,
Fri Feb 06 2009 07:00pm,Toronto Raptors,92,New Orleans Hornets,101,Box Score,0,17319,
Fri Feb 06 2009 07:30pm,Boston Celtics,110,New York Knicks,100,Box Score,0,19763,
Fri Feb 06 2009 07:00pm,Portland Trail Blazers,93,Oklahoma City Thunder,102,Box Score,0,18694,
Fri Feb 06 2009 08:30pm,Golden State Warriors,105,Phoenix Suns,115,Box Score,0,18422,
Fri Feb 06 2009 07:00pm,Utah Jazz,111,Sacramento Kings,107,Box Score,0,17317,
Fri Feb 06 2009 08:00pm,Denver Nuggets,124,Washington Wizards,103,Box Score,0,20173,
Sat Feb 07 2009 07:00pm,Los Angeles Clippers,121,Atlanta Hawks,97,Box Score,0,18729,
Sat Feb 07 2009 07:30pm,Chicago Bulls,114,Dallas Mavericks,115,Box Score,1,20349,
Sat Feb 07 2009 07:30pm,Minnesota Timberwolves,90,Houston Rockets,107,Box Score,0,16815,
Sat Feb 07 2009 07:00pm,Toronto Raptors,70,Memphis Grizzlies,78,Box Score,0,11498,
Sat Feb 07 2009 07:30pm,Detroit Pistons,126,Milwaukee Bucks,121,Box Score,1,17297,
Sat Feb 07 2009 07:30pm,Denver Nuggets,70,New Jersey Nets,114,Box Score,0,17697,
Sat Feb 07 2009 07:00pm,Miami Heat,84,Philadelphia 76ers,94,Box Score,0,17216,
Sun Feb 08 2009 01:00pm,San Antonio Spurs,105,Boston Celtics,99,Box Score,0,18624,
Sun Feb 08 2009 03:30pm,Los Angeles Lakers,101,Cleveland Cavaliers,91,Box Score,0,20562,
Sun Feb 08 2009 08:00pm,Phoenix Suns,107,Detroit Pistons,97,Box Score,0,22076,
Sun Feb 08 2009 06:00pm,Utah Jazz,96,Golden State Warriors,116,Box Score,0,19174,
Sun Feb 08 2009 06:00pm,Charlotte Bobcats,92,Miami Heat,96,Box Score,0,17656,
Sun Feb 08 2009 06:00pm,Minnesota Timberwolves,97,New Orleans Hornets,101,Box Score,0,16046,
Sun Feb 08 2009 06:00pm,Sacramento Kings,113,Oklahoma City Thunder,116,Box Score,0,18271,
Sun Feb 08 2009 06:00pm,New Jersey Nets,84,Orlando Magic,101,Box Score,0,16533,
Sun Feb 08 2009 03:00pm,New York Knicks,108,Portland Trail Blazers,109,Box Score,0,20609,
Sun Feb 08 2009 06:00pm,Indiana Pacers,117,Washington Wizards,119,Box Score,0,13708,
Mon Feb 09 2009 07:00pm,Los Angeles Clippers,73,Charlotte Bobcats,94,Box Score,0,10852,
Mon Feb 09 2009 07:00pm,New Orleans Hornets,80,Memphis Grizzlies,85,Box Score,0,10896,
Mon Feb 09 2009 07:00pm,Houston Rockets,112,Milwaukee Bucks,124,Box Score,0,13904,
Mon Feb 09 2009 07:00pm,Phoenix Suns,91,Philadelphia 76ers,108,Box Score,0,16797,
Tue Feb 10 2009 07:00pm,Washington Wizards,90,Atlanta Hawks,111,Box Score,0,17027,
Tue Feb 10 2009 07:30pm,Detroit Pistons,102,Chicago Bulls,107,Box Score,0,21896,
Tue Feb 10 2009 07:30pm,Sacramento Kings,100,Dallas Mavericks,118,Box Score,0,19667,
Tue Feb 10 2009 07:30pm,New York Knicks,127,Golden State Warriors,144,Box Score,0,19098,
Tue Feb 10 2009 07:00pm,Cleveland Cavaliers,95,Indiana Pacers,96,Box Score,0,18165,
Tue Feb 10 2009 07:30pm,Oklahoma City Thunder,98,Los Angeles Lakers,105,Box Score,0,18997,
Tue Feb 10 2009 07:30pm,Denver Nuggets,99,Miami Heat,82,Box Score,0,16784,
Tue Feb 10 2009 07:00pm,Toronto Raptors,110,Minnesota Timberwolves,102,Box Score,0,12722,
Tue Feb 10 2009 07:30pm,San Antonio Spurs,108,New Jersey Nets,93,Box Score,0,13301,
Wed Feb 11 2009 07:00pm,Washington Wizards,89,Charlotte Bobcats,101,Box Score,0,10237,
Wed Feb 11 2009 07:00pm,Phoenix Suns,92,Cleveland Cavaliers,109,Box Score,0,20562,
Wed Feb 11 2009 07:30pm,Atlanta Hawks,99,Detroit Pistons,95,Box Score,0,20124,
Wed Feb 11 2009 07:30pm,Sacramento Kings,82,Houston Rockets,94,Box Score,0,15626,
Wed Feb 11 2009 07:30pm,New York Knicks,124,Los Angeles Clippers,128,Box Score,1,16928,
Wed Feb 11 2009 07:00pm,Indiana Pacers,110,Milwaukee Bucks,122,Box Score,0,13486,
Wed Feb 11 2009 07:00pm,Boston Celtics,89,New Orleans Hornets,77,Box Score,0,18080,
Wed Feb 11 2009 07:00pm,Denver Nuggets,82,Orlando Magic,73,Box Score,0,17461,
Wed Feb 11 2009 07:00pm,Memphis Grizzlies,87,Philadelphia 76ers,91,Box Score,0,12812,
Wed Feb 11 2009 07:00pm,Oklahoma City Thunder,92,Portland Trail Blazers,106,Box Score,0,20050,
Wed Feb 11 2009 07:00pm,San Antonio Spurs,89,Toronto Raptors,91,Box Score,0,18909,
Wed Feb 11 2009 07:00pm,Los Angeles Lakers,109,Utah Jazz,113,Box Score,0,19911,
Thu Feb 12 2009 06:00pm,Miami Heat,95,Chicago Bulls,93,Box Score,0,21801,
Thu Feb 12 2009 08:30pm,Boston Celtics,99,Dallas Mavericks,92,Box Score,0,20285,
Thu Feb 12 2009 07:30pm,Portland Trail Blazers,98,Golden State Warriors,105,Box Score,0,19322,
Tue Feb 17 2009 07:30pm,Milwaukee Bucks,92,Detroit Pistons,86,Box Score,0,20217,
Tue Feb 17 2009 07:30pm,New Jersey Nets,88,Houston Rockets,114,Box Score,0,14921,
Tue Feb 17 2009 07:00pm,Philadelphia 76ers,91,Indiana Pacers,100,Box Score,0,13259,
Tue Feb 17 2009 07:30pm,Atlanta Hawks,83,Los Angeles Lakers,96,Box Score,0,18997,
Tue Feb 17 2009 07:30pm,San Antonio Spurs,107,New York Knicks,112,Box Score,1,19763,
Tue Feb 17 2009 07:00pm,New Orleans Hornets,100,Oklahoma City Thunder,98,Box Score,0,18593,
Tue Feb 17 2009 07:00pm,Charlotte Bobcats,102,Orlando Magic,107,Box Score,1,17461,
Tue Feb 17 2009 07:00pm,Los Angeles Clippers,100,Phoenix Suns,140,Box Score,0,18422,
Tue Feb 17 2009 07:00pm,Memphis Grizzlies,99,Utah Jazz,117,Box Score,0,19911,
Tue Feb 17 2009 07:00pm,Minnesota Timberwolves,103,Washington Wizards,111,Box Score,0,11623,
Wed Feb 18 2009 07:00pm,Indiana Pacers,94,Charlotte Bobcats,103,Box Score,0,12374,
Wed Feb 18 2009 07:30pm,New Jersey Nets,98,Dallas Mavericks,113,Box Score,0,19878,
Wed Feb 18 2009 07:30pm,Los Angeles Lakers,129,Golden State Warriors,121,Box Score,0,20007,
Wed Feb 18 2009 07:30pm,Phoenix Suns,142,Los Angeles Clippers,119,Box Score,0,18169,
Wed Feb 18 2009 07:30pm,Minnesota Timberwolves,111,Miami Heat,104,Box Score,0,17525,
Wed Feb 18 2009 07:00pm,Chicago Bulls,113,Milwaukee Bucks,104,Box Score,0,15309,
Wed Feb 18 2009 07:00pm,Orlando Magic,85,New Orleans Hornets,117,Box Score,0,16651,
Wed Feb 18 2009 07:00pm,Denver Nuggets,101,Philadelphia 76ers,89,Box Score,0,15979,
Wed Feb 18 2009 07:00pm,Memphis Grizzlies,90,Portland Trail Blazers,94,Box Score,0,20385,
Wed Feb 18 2009 07:00pm,Atlanta Hawks,105,Sacramento Kings,100,Box Score,0,11213,
Wed Feb 18 2009 07:00pm,Cleveland Cavaliers,93,Toronto Raptors,76,Box Score,0,19800,
Thu Feb 19 2009 08:00pm,San Antonio Spurs,83,Detroit Pistons,79,Box Score,0,22076,
Thu Feb 19 2009 08:30pm,Boston Celtics,85,Utah Jazz,90,Box Score,0,19911,
Fri Feb 20 2009 07:00pm,Orlando Magic,92,Charlotte Bobcats,80,Box Score,0,19244,
Fri Feb 20 2009 07:30pm,Denver Nuggets,99,Chicago Bulls,116,Box Score,0,21970,
Fri Feb 20 2009 07:00pm,Dallas Mavericks,86,Houston Rockets,93,Box Score,0,18195,
Fri Feb 20 2009 07:30pm,New Orleans Hornets,111,Los Angeles Lakers,115,Box Score,1,18997,
Fri Feb 20 2009 07:00pm,Sacramento Kings,115,Memphis Grizzlies,106,Box Score,0,15036,
Fri Feb 20 2009 07:30pm,Cleveland Cavaliers,111,Milwaukee Bucks,103,Box Score,0,18076,
Fri Feb 20 2009 07:00pm,Indiana Pacers,112,Minnesota Timberwolves,105,Box Score,0,13777,
Fri Feb 20 2009 08:00pm,Washington Wizards,107,New Jersey Nets,96,Box Score,0,15113,
Fri Feb 20 2009 07:30pm,Toronto Raptors,97,New York Knicks,127,Box Score,0,19763,
Fri Feb 20 2009 07:00pm,Oklahoma City Thunder,118,Phoenix Suns,140,Box Score,0,18422,
Fri Feb 20 2009 07:00pm,Atlanta Hawks,98,Portland Trail Blazers,108,Box Score,0,20250,
Sat Feb 21 2009 08:00pm,Sacramento Kings,95,Dallas Mavericks,116,Box Score,0,20223,
