Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Tue Oct 28 2008 08:00pm,Cleveland Cavaliers,85,Boston Celtics,90,Box Score,0,18624,
Tue Oct 28 2008 07:30pm,Milwaukee Bucks,95,Chicago Bulls,108,Box Score,0,21762,
Tue Oct 28 2008 07:30pm,Portland Trail Blazers,76,Los Angeles Lakers,96,Box Score,0,18997,
Wed Oct 29 2008 08:00pm,Indiana Pacers,94,Detroit Pistons,100,Box Score,0,22076,
Wed Oct 29 2008 07:30pm,New Orleans Hornets,108,Golden State Warriors,103,Box Score,0,19128,
Wed Oct 29 2008 07:30pm,Memphis Grizzlies,71,Houston Rockets,82,Box Score,0,18196,
Wed Oct 29 2008 07:30pm,Los Angeles Lakers,117,Los Angeles Clippers,79,Box Score,0,19060,
Wed Oct 29 2008 07:00pm,Sacramento Kings,96,Minnesota Timberwolves,98,Box Score,0,17820,
Wed Oct 29 2008 07:30pm,Miami Heat,115,New York Knicks,120,Box Score,0,19763,
Wed Oct 29 2008 07:00pm,Milwaukee Bucks,98,Oklahoma City Thunder,87,Box Score,0,19136,
Wed Oct 29 2008 07:00pm,Atlanta Hawks,99,Orlando Magic,85,Box Score,0,17461,
Wed Oct 29 2008 06:00pm,Toronto Raptors,95,Philadelphia 76ers,84,Box Score,0,15750,
Wed Oct 29 2008 07:00pm,Phoenix Suns,103,San Antonio Spurs,98,Box Score,0,18797,
Wed Oct 29 2008 07:00pm,Denver Nuggets,94,Utah Jazz,98,Box Score,0,19911,
Wed Oct 29 2008 07:00pm,New Jersey Nets,95,Washington Wizards,85,Box Score,0,20173,
Thu Oct 30 2008 07:00pm,Charlotte Bobcats,79,Cleveland Cavaliers,96,Box Score,0,20562,
Thu Oct 30 2008 07:00pm,Houston Rockets,112,Dallas Mavericks,102,Box Score,0,20066,
Thu Oct 30 2008 07:30pm,New Orleans Hornets,108,Phoenix Suns,95,Box Score,0,18422,
Fri Oct 31 2008 08:00pm,Chicago Bulls,80,Boston Celtics,96,Box Score,0,18624,
Fri Oct 31 2008 07:30pm,Denver Nuggets,113,Los Angeles Clippers,103,Box Score,1,11418,
Fri Oct 31 2008 07:00pm,Orlando Magic,84,Memphis Grizzlies,86,Box Score,0,16139,
Fri Oct 31 2008 07:30pm,Sacramento Kings,77,Miami Heat,103,Box Score,0,19600,
Fri Oct 31 2008 07:00pm,New York Knicks,87,Philadelphia 76ers,116,Box Score,0,11717,
Fri Oct 31 2008 07:30pm,San Antonio Spurs,99,Portland Trail Blazers,100,Box Score,0,20516,
Fri Oct 31 2008 07:00pm,Golden State Warriors,108,Toronto Raptors,112,Box Score,1,19800,
