Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Thu May 01 2003 07:00pm,Indiana Pacers,90,Boston Celtics,110,Box Score,0,18624,
Thu May 01 2003 07:30pm,Minnesota Timberwolves,85,Los Angeles Lakers,101,Box Score,0,18997,
Thu May 01 2003 07:00pm,New Jersey Nets,113,Milwaukee Bucks,101,Box Score,0,18717,
Thu May 01 2003 06:30pm,San Antonio Spurs,87,Phoenix Suns,85,Box Score,0,18913,
Fri May 02 2003 08:30pm,Philadelphia 76ers,107,New Orleans Hornets,103,Box Score,0,18570,
Fri May 02 2003 07:00pm,Detroit Pistons,103,Orlando Magic,88,Box Score,0,16909,
Fri May 02 2003 07:30pm,Dallas Mavericks,103,Portland Trail Blazers,125,Box Score,0,20602,
Sun May 04 2003 02:30pm,Portland Trail Blazers,95,Dallas Mavericks,107,Box Score,0,20281,
Sun May 04 2003 12:30pm,Orlando Magic,93,Detroit Pistons,108,Box Score,0,22076,
Mon May 05 2003 07:00pm,Boston Celtics,93,New Jersey Nets,97,Box Score,0,17343,
Mon May 05 2003 08:30pm,Los Angeles Lakers,82,San Antonio Spurs,87,Box Score,0,18797,
Tue May 06 2003 08:00pm,Sacramento Kings,124,Dallas Mavericks,113,Box Score,0,20525,
Tue May 06 2003 08:00pm,Philadelphia 76ers,87,Detroit Pistons,98,Box Score,0,22076,
Wed May 07 2003 07:00pm,Boston Celtics,95,New Jersey Nets,104,Box Score,0,19934,
Wed May 07 2003 08:30pm,Los Angeles Lakers,95,San Antonio Spurs,114,Box Score,0,18797,
Thu May 08 2003 08:30pm,Sacramento Kings,110,Dallas Mavericks,132,Box Score,0,20491,
Thu May 08 2003 07:00pm,Philadelphia 76ers,97,Detroit Pistons,104,Box Score,1,22076,
Fri May 09 2003 08:00pm,New Jersey Nets,94,Boston Celtics,76,Box Score,0,18624,
Fri May 09 2003 07:30pm,San Antonio Spurs,95,Los Angeles Lakers,110,Box Score,0,18997,
Sat May 10 2003 07:00pm,Detroit Pistons,83,Philadelphia 76ers,93,Box Score,0,20743,
Sat May 10 2003 06:30pm,Dallas Mavericks,141,Sacramento Kings,137,Box Score,2,17317,
Sun May 11 2003 12:30pm,San Antonio Spurs,95,Los Angeles Lakers,99,Box Score,0,18997,
Sun May 11 2003 08:00pm,Detroit Pistons,82,Philadelphia 76ers,95,Box Score,0,20549,
Sun May 11 2003 07:30pm,Dallas Mavericks,83,Sacramento Kings,99,Box Score,0,17317,
Mon May 12 2003 08:00pm,New Jersey Nets,110,Boston Celtics,101,Box Score,2,18624,
Tue May 13 2003 06:00pm,Sacramento Kings,93,Dallas Mavericks,112,Box Score,0,20556,
Tue May 13 2003 08:30pm,Los Angeles Lakers,94,San Antonio Spurs,96,Box Score,0,18797,
Wed May 14 2003 08:00pm,Philadelphia 76ers,77,Detroit Pistons,78,Box Score,0,22076,
Thu May 15 2003 05:00pm,San Antonio Spurs,110,Los Angeles Lakers,82,Box Score,0,18997,
Thu May 15 2003 07:30pm,Dallas Mavericks,109,Sacramento Kings,115,Box Score,0,17317,
Fri May 16 2003 07:30pm,Detroit Pistons,93,Philadelphia 76ers,89,Box Score,1,20888,
Sat May 17 2003 07:00pm,Sacramento Kings,99,Dallas Mavericks,112,Box Score,0,20595,
Sun May 18 2003 01:30pm,New Jersey Nets,76,Detroit Pistons,74,Box Score,0,22076,
Mon May 19 2003 08:30pm,Dallas Mavericks,113,San Antonio Spurs,110,Box Score,0,18797,
Tue May 20 2003 08:00pm,New Jersey Nets,88,Detroit Pistons,86,Box Score,0,22076,
Wed May 21 2003 07:30pm,Dallas Mavericks,106,San Antonio Spurs,119,Box Score,0,18797,
Thu May 22 2003 08:30pm,Detroit Pistons,85,New Jersey Nets,97,Box Score,0,19923,
Fri May 23 2003 08:00pm,San Antonio Spurs,96,Dallas Mavericks,83,Box Score,0,20695,
Sat May 24 2003 08:00pm,Detroit Pistons,82,New Jersey Nets,102,Box Score,0,19923,
Sun May 25 2003 07:30pm,San Antonio Spurs,102,Dallas Mavericks,95,Box Score,0,20561,
Tue May 27 2003 08:00pm,Dallas Mavericks,103,San Antonio Spurs,91,Box Score,0,18797,
Thu May 29 2003 08:00pm,San Antonio Spurs,90,Dallas Mavericks,78,Box Score,0,20812,
