Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Thu Feb 01 2001 07:30pm,Minnesota Timberwolves,90,Cleveland Cavaliers,81,Box Score,0,13904,
Thu Feb 01 2001 07:00pm,Miami Heat,91,Dallas Mavericks,95,Box Score,1,14497,
Thu Feb 01 2001 07:30pm,Los Angeles Clippers,101,Houston Rockets,84,Box Score,0,11124,
Thu Feb 01 2001 08:00pm,Philadelphia 76ers,87,New York Knicks,80,Box Score,0,19763,
Thu Feb 01 2001 07:00pm,Phoenix Suns,92,Portland Trail Blazers,100,Box Score,0,19980,
Thu Feb 01 2001 07:00pm,Chicago Bulls,91,Seattle SuperSonics,97,Box Score,0,15797,
Thu Feb 01 2001 07:00pm,Charlotte Hornets,76,Utah Jazz,87,Box Score,0,18855,
Fri Feb 02 2001 07:30pm,Miami Heat,91,Atlanta Hawks,80,Box Score,0,19061,
Fri Feb 02 2001 08:00pm,Boston Celtics,102,Detroit Pistons,95,Box Score,0,15340,
Fri Feb 02 2001 07:00pm,Denver Nuggets,94,Indiana Pacers,103,Box Score,0,16701,
Fri Feb 02 2001 07:30pm,Charlotte Hornets,87,Los Angeles Lakers,93,Box Score,0,18710,
Fri Feb 02 2001 07:30pm,New York Knicks,95,New Jersey Nets,71,Box Score,0,20049,
Fri Feb 02 2001 07:00pm,Orlando Magic,123,Philadelphia 76ers,117,Box Score,2,20645,
Fri Feb 02 2001 07:30pm,Vancouver Grizzlies,95,Sacramento Kings,105,Box Score,0,17317,
Sat Feb 03 2001 07:30pm,Detroit Pistons,88,Cleveland Cavaliers,81,Box Score,1,19635,
Sat Feb 03 2001 07:00pm,Golden State Warriors,95,Dallas Mavericks,101,Box Score,0,18187,
Sat Feb 03 2001 07:30pm,Portland Trail Blazers,89,Los Angeles Clippers,90,Box Score,0,19077,
Sat Feb 03 2001 07:30pm,Indiana Pacers,85,Milwaukee Bucks,104,Box Score,0,17517,
Sat Feb 03 2001 07:30pm,Atlanta Hawks,84,Orlando Magic,96,Box Score,0,14769,
Sat Feb 03 2001 07:30pm,Houston Rockets,88,San Antonio Spurs,90,Box Score,0,24870,
Sat Feb 03 2001 07:00pm,Minnesota Timberwolves,108,Toronto Raptors,105,Box Score,0,19800,
Sat Feb 03 2001 07:00pm,Seattle SuperSonics,91,Utah Jazz,111,Box Score,0,19911,
Sat Feb 03 2001 07:00pm,Chicago Bulls,84,Vancouver Grizzlies,91,Box Score,0,16845,
Sat Feb 03 2001 07:00pm,Denver Nuggets,105,Washington Wizards,100,Box Score,0,13429,
Sun Feb 04 2001 06:00pm,Cleveland Cavaliers,82,Boston Celtics,103,Box Score,0,14638,
