Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.
Mon Feb 01 2016 08:00pm,Dallas Mavericks,97,Atlanta Hawks,112,Box Score,0,15455
Mon Feb 01 2016 07:30pm,Detroit Pistons,105,Brooklyn Nets,100,Box Score,0,13290
Mon Feb 01 2016 09:00pm,Toronto Raptors,93,Denver Nuggets,112,Box Score,0,10007
Mon Feb 01 2016 07:00pm,Cleveland Cavaliers,111,Indiana Pacers,106,Box Score,1,17283
Mon Feb 01 2016 08:00pm,Memphis Grizzlies,110,New Orleans Pelicans,95,Box Score,0,15210
Mon Feb 01 2016 08:00pm,Washington Wizards,98,Oklahoma City Thunder,114,Box Score,0,18203
Mon Feb 01 2016 10:00pm,Milwaukee Bucks,104,Sacramento Kings,111,Box Score,0,16827
Mon Feb 01 2016 08:30pm,Orlando Magic,92,San Antonio Spurs,107,Box Score,0,18418
Mon Feb 01 2016 09:00pm,Chicago Bulls,96,Utah Jazz,105,Box Score,1,18811
Tue Feb 02 2016 08:00pm,Miami Heat,102,Houston Rockets,115,Box Score,0,18229
Tue Feb 02 2016 10:30pm,Minnesota Timberwolves,115,Los Angeles Lakers,119,Box Score,0,18997
Tue Feb 02 2016 07:30pm,Boston Celtics,97,New York Knicks,89,Box Score,0,19812
Tue Feb 02 2016 09:00pm,Toronto Raptors,104,Phoenix Suns,97,Box Score,0,15897
Tue Feb 02 2016 10:00pm,Milwaukee Bucks,95,Portland Trail Blazers,107,Box Score,0,18306
Wed Feb 03 2016 07:30pm,Detroit Pistons,95,Boston Celtics,102,Box Score,0,17297
Wed Feb 03 2016 07:30pm,Indiana Pacers,114,Brooklyn Nets,100,Box Score,0,13311
Wed Feb 03 2016 07:00pm,Cleveland Cavaliers,97,Charlotte Hornets,106,Box Score,0,19189
Wed Feb 03 2016 08:30pm,Miami Heat,93,Dallas Mavericks,90,Box Score,0,20385
Wed Feb 03 2016 10:30pm,Minnesota Timberwolves,108,Los Angeles Clippers,102,Box Score,0,19060
Wed Feb 03 2016 08:00pm,Orlando Magic,114,Oklahoma City Thunder,117,Box Score,0,18203
Wed Feb 03 2016 07:00pm,Atlanta Hawks,124,Philadelphia 76ers,86,Box Score,0,10429
Wed Feb 03 2016 10:00pm,Chicago Bulls,107,Sacramento Kings,102,Box Score,0,17317
Wed Feb 03 2016 08:30pm,New Orleans Pelicans,97,San Antonio Spurs,110,Box Score,0,18418
Wed Feb 03 2016 09:00pm,Denver Nuggets,81,Utah Jazz,85,Box Score,0,19461
Wed Feb 03 2016 08:00pm,Golden State Warriors,134,Washington Wizards,121,Box Score,0,20356
Thu Feb 04 2016 07:00pm,New York Knicks,105,Detroit Pistons,111,Box Score,0,17095
Thu Feb 04 2016 09:30pm,Los Angeles Lakers,99,New Orleans Pelicans,96,Box Score,0,18420
Thu Feb 04 2016 09:00pm,Houston Rockets,111,Phoenix Suns,105,Box Score,0,15723
Thu Feb 04 2016 10:00pm,Toronto Raptors,110,Portland Trail Blazers,103,Box Score,0,19393
