Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Fri Apr 01 2016 08:00pm,Cleveland Cavaliers,110,Atlanta Hawks,108,Box Score,1,19427,
Fri Apr 01 2016 07:00pm,Philadelphia 76ers,91,Charlotte Hornets,100,Box Score,0,19244,
Fri Apr 01 2016 07:30pm,Dallas Mavericks,98,Detroit Pistons,89,Box Score,0,19031,
Fri Apr 01 2016 10:30pm,Boston Celtics,109,Golden State Warriors,106,Box Score,0,19596,
Fri Apr 01 2016 08:00pm,Toronto Raptors,99,Memphis Grizzlies,95,Box Score,0,17077,
Fri Apr 01 2016 08:00pm,Orlando Magic,110,Milwaukee Bucks,113,Box Score,0,16268,
Fri Apr 01 2016 07:30pm,Brooklyn Nets,91,New York Knicks,105,Box Score,0,19812,
Fri Apr 01 2016 10:30pm,Washington Wizards,106,Phoenix Suns,99,Box Score,0,17345,
Fri Apr 01 2016 10:00pm,Miami Heat,112,Sacramento Kings,106,Box Score,0,17317,
Fri Apr 01 2016 09:00pm,Minnesota Timberwolves,85,Utah Jazz,98,Box Score,0,19911,
Sat Apr 02 2016 08:00pm,Detroit Pistons,94,Chicago Bulls,90,Box Score,0,22197,
Sat Apr 02 2016 09:00pm,Sacramento Kings,115,Denver Nuggets,106,Box Score,0,15607,
Sat Apr 02 2016 07:30pm,Indiana Pacers,115,Philadelphia 76ers,102,Box Score,0,19213,
Sat Apr 02 2016 10:00pm,Miami Heat,93,Portland Trail Blazers,110,Box Score,0,19633,
Sat Apr 02 2016 08:30pm,Toronto Raptors,95,San Antonio Spurs,102,Box Score,0,18418,
Sun Apr 03 2016 01:00pm,New Orleans Pelicans,106,Brooklyn Nets,87,Box Score,0,16329,
Sun Apr 03 2016 03:30pm,Charlotte Hornets,103,Cleveland Cavaliers,112,Box Score,0,20562,
Sun Apr 03 2016 08:00pm,Portland Trail Blazers,111,Golden State Warriors,136,Box Score,0,19596,
Sun Apr 03 2016 03:30pm,Oklahoma City Thunder,110,Houston Rockets,118,Box Score,0,18462,
Sun Apr 03 2016 03:30pm,Washington Wizards,109,Los Angeles Clippers,114,Box Score,0,19060,
Sun Apr 03 2016 09:30pm,Boston Celtics,107,Los Angeles Lakers,100,Box Score,0,18997,
Sun Apr 03 2016 07:00pm,Chicago Bulls,102,Milwaukee Bucks,98,Box Score,0,15768,
Sun Apr 03 2016 03:30pm,Dallas Mavericks,88,Minnesota Timberwolves,78,Box Score,0,16117,
Sun Apr 03 2016 07:30pm,Indiana Pacers,92,New York Knicks,87,Box Score,0,19812,
Sun Apr 03 2016 06:00pm,Memphis Grizzlies,107,Orlando Magic,119,Box Score,0,17741,
Sun Apr 03 2016 06:00pm,Utah Jazz,101,Phoenix Suns,86,Box Score,0,17279,
Tue Apr 05 2016 08:00pm,Phoenix Suns,90,Atlanta Hawks,103,Box Score,0,15176,
Tue Apr 05 2016 09:00pm,Oklahoma City Thunder,124,Denver Nuggets,102,Box Score,0,12611,
Tue Apr 05 2016 10:30pm,Minnesota Timberwolves,124,Golden State Warriors,117,Box Score,1,19596,
Tue Apr 05 2016 10:30pm,Los Angeles Lakers,81,Los Angeles Clippers,103,Box Score,0,19537,
Tue Apr 05 2016 08:00pm,Chicago Bulls,92,Memphis Grizzlies,108,Box Score,0,17591,
Tue Apr 05 2016 08:00pm,Detroit Pistons,89,Miami Heat,107,Box Score,0,19621,
Tue Apr 05 2016 08:00pm,Cleveland Cavaliers,109,Milwaukee Bucks,80,Box Score,0,15061,
Tue Apr 05 2016 07:00pm,New Orleans Pelicans,93,Philadelphia 76ers,107,Box Score,0,10978,
Tue Apr 05 2016 10:00pm,Portland Trail Blazers,115,Sacramento Kings,107,Box Score,0,17317,
Tue Apr 05 2016 07:30pm,Charlotte Hornets,90,Toronto Raptors,96,Box Score,0,19800,
Tue Apr 05 2016 09:00pm,San Antonio Spurs,88,Utah Jazz,86,Box Score,0,19381,
Wed Apr 06 2016 07:30pm,New Orleans Pelicans,97,Boston Celtics,104,Box Score,0,18624,
Wed Apr 06 2016 09:30pm,Houston Rockets,86,Dallas Mavericks,88,Box Score,0,20108,
Wed Apr 06 2016 07:00pm,Cleveland Cavaliers,109,Indiana Pacers,123,Box Score,0,18165,
Wed Apr 06 2016 10:30pm,Los Angeles Clippers,91,Los Angeles Lakers,81,Box Score,0,18997,
Wed Apr 06 2016 07:30pm,Charlotte Hornets,111,New York Knicks,97,Box Score,0,19812,
