Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.
Tue Mar 01 2016 07:00pm,Phoenix Suns,92,Charlotte Hornets,126,Box Score,0,16849
Tue Mar 01 2016 08:30pm,Orlando Magic,108,Dallas Mavericks,121,Box Score,0,19546
Tue Mar 01 2016 10:30pm,Atlanta Hawks,105,Golden State Warriors,109,Box Score,1,19596
Tue Mar 01 2016 10:30pm,Brooklyn Nets,101,Los Angeles Lakers,107,Box Score,0,18997
Tue Mar 01 2016 07:30pm,Chicago Bulls,111,Miami Heat,129,Box Score,0,19654
Tue Mar 01 2016 07:30pm,Portland Trail Blazers,104,New York Knicks,85,Box Score,0,19812
Wed Mar 02 2016 07:30pm,Portland Trail Blazers,93,Boston Celtics,116,Box Score,0,18624
Wed Mar 02 2016 09:00pm,Los Angeles Lakers,107,Denver Nuggets,117,Box Score,0,20096
Wed Mar 02 2016 08:00pm,New Orleans Pelicans,95,Houston Rockets,100,Box Score,0,18226
Wed Mar 02 2016 10:30pm,Oklahoma City Thunder,98,Los Angeles Clippers,103,Box Score,0,19304
Wed Mar 02 2016 08:00pm,Sacramento Kings,98,Memphis Grizzlies,104,Box Score,0,15310
Wed Mar 02 2016 08:00pm,Indiana Pacers,104,Milwaukee Bucks,99,Box Score,0,14263
Wed Mar 02 2016 08:00pm,Washington Wizards,104,Minnesota Timberwolves,98,Box Score,0,11307
Wed Mar 02 2016 07:00pm,Chicago Bulls,89,Orlando Magic,102,Box Score,0,16072
Wed Mar 02 2016 07:00pm,Charlotte Hornets,119,Philadelphia 76ers,99,Box Score,0,11143
Wed Mar 02 2016 08:00pm,Detroit Pistons,81,San Antonio Spurs,97,Box Score,0,18418
Wed Mar 02 2016 07:30pm,Utah Jazz,94,Toronto Raptors,104,Box Score,0,19800
Thu Mar 03 2016 08:30pm,Sacramento Kings,104,Dallas Mavericks,101,Box Score,0,19910
Thu Mar 03 2016 10:30pm,Oklahoma City Thunder,106,Golden State Warriors,121,Box Score,0,19596
Thu Mar 03 2016 07:30pm,Phoenix Suns,92,Miami Heat,108,Box Score,0,19600
Thu Mar 03 2016 08:00pm,San Antonio Spurs,94,New Orleans Pelicans,86,Box Score,0,17781
Fri Mar 04 2016 07:30pm,New York Knicks,104,Boston Celtics,105,Box Score,0,18624
Fri Mar 04 2016 07:00pm,Indiana Pacers,101,Charlotte Hornets,108,Box Score,0,19099
Fri Mar 04 2016 08:00pm,Washington Wizards,83,Cleveland Cavaliers,108,Box Score,0,20562
Fri Mar 04 2016 09:00pm,Brooklyn Nets,121,Denver Nuggets,120,Box Score,1,14163
Fri Mar 04 2016 10:30pm,Atlanta Hawks,106,Los Angeles Lakers,77,Box Score,0,18997
Fri Mar 04 2016 08:00pm,Utah Jazz,88,Memphis Grizzlies,94,Box Score,0,17188
Fri Mar 04 2016 08:00pm,Minnesota Timberwolves,101,Milwaukee Bucks,116,Box Score,0,16366
Fri Mar 04 2016 07:00pm,Phoenix Suns,102,Orlando Magic,84,Box Score,0,17546
Fri Mar 04 2016 07:00pm,Miami Heat,112,Philadelphia 76ers,102,Box Score,0,17610
Fri Mar 04 2016 07:30pm,Portland Trail Blazers,115,Toronto Raptors,117,Box Score,0,19800
Sat Mar 05 2016 08:30pm,Houston Rockets,100,Chicago Bulls,108,Box Score,0,22203
Sat Mar 05 2016 07:00pm,Boston Celtics,103,Cleveland Cavaliers,120,Box Score,0,20562
Sat Mar 05 2016 10:30pm,Atlanta Hawks,107,Los Angeles Clippers,97,Box Score,0,19236
Sat Mar 05 2016 08:00pm,Brooklyn Nets,118,Minnesota Timberwolves,132,Box Score,0,15987
Sat Mar 05 2016 07:00pm,Utah Jazz,106,New Orleans Pelicans,94,Box Score,0,16680
Sat Mar 05 2016 07:00pm,Detroit Pistons,89,New York Knicks,102,Box Score,0,19812
Sat Mar 05 2016 08:30pm,Sacramento Kings,94,San Antonio Spurs,104,Box Score,0,18418
Sat Mar 05 2016 07:00pm,Indiana Pacers,100,Washington Wizards,99,Box Score,0,20356
Sun Mar 06 2016 05:00pm,Dallas Mavericks,114,Denver Nuggets,116,Box Score,1,14802
Sun Mar 06 2016 06:00pm,Portland Trail Blazers,103,Detroit Pistons,123,Box Score,0,18386
Sun Mar 06 2016 03:30pm,Golden State Warriors,95,Los Angeles Lakers,112,Box Score,0,18997
Sun Mar 06 2016 04:00pm,Phoenix Suns,109,Memphis Grizzlies,100,Box Score,0,17291
Sun Mar 06 2016 06:00pm,Philadelphia 76ers,98,Miami Heat,103,Box Score,0,19820
Sun Mar 06 2016 03:30pm,Oklahoma City Thunder,104,Milwaukee Bucks,96,Box Score,0,16565
Sun Mar 06 2016 06:30pm,Houston Rockets,113,Toronto Raptors,107,Box Score,0,19800
