Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.
Sat Apr 01 2017 06:00pm,Orlando Magic,111,Brooklyn Nets,121,Box Score,0,15976
Sat Apr 01 2017 05:00pm,Atlanta Hawks,104,Chicago Bulls,106,Box Score,0,22019
Sat Apr 01 2017 03:30pm,Los Angeles Lakers,104,Los Angeles Clippers,115,Box Score,0,19060
Sat Apr 01 2017 08:00pm,Sacramento Kings,123,Minnesota Timberwolves,117,Box Score,0,18960
Sat Apr 01 2017 10:00pm,Phoenix Suns,117,Portland Trail Blazers,130,Box Score,0,18915
Sun Apr 02 2017 06:00pm,Atlanta Hawks,82,Brooklyn Nets,91,Box Score,0,15040
Sun Apr 02 2017 06:00pm,Indiana Pacers,130,Cleveland Cavaliers,135,Box Score,2,20562
Sun Apr 02 2017 08:00pm,Washington Wizards,115,Golden State Warriors,139,Box Score,0,19596
Sun Apr 02 2017 03:30pm,Memphis Grizzlies,103,Los Angeles Lakers,108,Box Score,0,18997
Sun Apr 02 2017 06:00pm,Denver Nuggets,116,Miami Heat,113,Box Score,0,19600
Sun Apr 02 2017 03:30pm,Dallas Mavericks,109,Milwaukee Bucks,105,Box Score,0,18717
Sun Apr 02 2017 06:00pm,Chicago Bulls,117,New Orleans Pelicans,110,Box Score,0,18306
Sun Apr 02 2017 01:00pm,Boston Celtics,110,New York Knicks,94,Box Score,0,19812
Sun Apr 02 2017 03:00pm,Charlotte Hornets,113,Oklahoma City Thunder,101,Box Score,0,18203
Sun Apr 02 2017 09:00pm,Houston Rockets,123,Phoenix Suns,116,Box Score,0,17378
Sun Apr 02 2017 03:30pm,Utah Jazz,103,San Antonio Spurs,109,Box Score,0,18418
Sun Apr 02 2017 06:00pm,Philadelphia 76ers,105,Toronto Raptors,113,Box Score,0,19800
Mon Apr 03 2017 07:00pm,Portland Trail Blazers,109,Minnesota Timberwolves,110,Box Score,0,14677
Tue Apr 04 2017 07:00pm,Orlando Magic,102,Cleveland Cavaliers,122,Box Score,0,20562
Tue Apr 04 2017 10:30pm,Minnesota Timberwolves,107,Golden State Warriors,121,Box Score,0,19596
Tue Apr 04 2017 07:00pm,Toronto Raptors,90,Indiana Pacers,108,Box Score,0,16524
Tue Apr 04 2017 08:00pm,Denver Nuggets,134,New Orleans Pelicans,131,Box Score,0,16050
Tue Apr 04 2017 08:00pm,Chicago Bulls,91,New York Knicks,100,Box Score,0,19812
Tue Apr 04 2017 08:00pm,Milwaukee Bucks,79,Oklahoma City Thunder,110,Box Score,0,18203
Tue Apr 04 2017 07:00pm,Brooklyn Nets,141,Philadelphia 76ers,118,Box Score,0,14580
Tue Apr 04 2017 10:30pm,Dallas Mavericks,87,Sacramento Kings,98,Box Score,0,17608
Tue Apr 04 2017 08:30pm,Memphis Grizzlies,89,San Antonio Spurs,95,Box Score,1,18418
Tue Apr 04 2017 09:00pm,Portland Trail Blazers,87,Utah Jazz,106,Box Score,0,19911
Tue Apr 04 2017 07:00pm,Charlotte Hornets,111,Washington Wizards,118,Box Score,0,18614
Wed Apr 05 2017 08:00pm,Cleveland Cavaliers,114,Boston Celtics,91,Box Score,0,18624
Wed Apr 05 2017 07:00pm,Miami Heat,112,Charlotte Hornets,99,Box Score,0,17758
Wed Apr 05 2017 07:30pm,Toronto Raptors,105,Detroit Pistons,102,Box Score,0,17578
Wed Apr 05 2017 08:00pm,Denver Nuggets,104,Houston Rockets,110,Box Score,0,18055
Wed Apr 05 2017 10:30pm,Dallas Mavericks,101,Los Angeles Clippers,112,Box Score,0,19060
Wed Apr 05 2017 08:00pm,Oklahoma City Thunder,103,Memphis Grizzlies,100,Box Score,0,17298
Wed Apr 05 2017 10:00pm,Golden State Warriors,120,Phoenix Suns,111,Box Score,0,18055
Wed Apr 05 2017 08:30pm,Los Angeles Lakers,102,San Antonio Spurs,95,Box Score,0,18418
Thu Apr 06 2017 08:00pm,Boston Celtics,116,Atlanta Hawks,123,Box Score,0,18688
Thu Apr 06 2017 07:00pm,Milwaukee Bucks,89,Indiana Pacers,104,Box Score,0,17010
Thu Apr 06 2017 07:30pm,Washington Wizards,106,New York Knicks,103,Box Score,0,19812
Thu Apr 06 2017 07:00pm,Brooklyn Nets,107,Orlando Magic,115,Box Score,0,18095
Thu Apr 06 2017 07:00pm,Chicago Bulls,102,Philadelphia 76ers,90,Box Score,0,15177
Thu Apr 06 2017 10:30pm,Minnesota Timberwolves,98,Portland Trail Blazers,105,Box Score,0,19393
Fri Apr 07 2017 07:30pm,Atlanta Hawks,114,Cleveland Cavaliers,100,Box Score,0,20562
Fri Apr 07 2017 08:30pm,San Antonio Spurs,102,Dallas Mavericks,89,Box Score,0,20133
Fri Apr 07 2017 09:00pm,New Orleans Pelicans,106,Denver Nuggets,122,Box Score,0,16348
Fri Apr 07 2017 08:00pm,Detroit Pistons,114,Houston Rockets,109,Box Score,0,18055
Fri Apr 07 2017 10:30pm,Sacramento Kings,94,Los Angeles Lakers,98,Box Score,0,18997
Fri Apr 07 2017 08:00pm,New York Knicks,88,Memphis Grizzlies,101,Box Score,0,17631
Fri Apr 07 2017 10:00pm,Oklahoma City Thunder,99,Phoenix Suns,120,Box Score,0,18055
Fri Apr 07 2017 07:30pm,Miami Heat,94,Toronto Raptors,96,Box Score,0,19800
Fri Apr 07 2017 09:00pm,Minnesota Timberwolves,113,Utah Jazz,120,Box Score,0,19911
Sat Apr 08 2017 05:00pm,Chicago Bulls,106,Brooklyn Nets,107,Box Score,0,17732
Sat Apr 08 2017 06:00pm,Boston Celtics,121,Charlotte Hornets,114,Box Score,0,19407
Sat Apr 08 2017 10:30pm,New Orleans Pelicans,101,Golden State Warriors,123,Box Score,0,19596
Sat Apr 08 2017 06:00pm,Indiana Pacers,127,Orlando Magic,112,Box Score,0,18846
Sat Apr 08 2017 07:00pm,Milwaukee Bucks,90,Philadelphia 76ers,82,Box Score,0,16301
Sat Apr 08 2017 10:00pm,Utah Jazz,86,Portland Trail Blazers,101,Box Score,0,19865
Sat Apr 08 2017 08:30pm,Los Angeles Clippers,98,San Antonio Spurs,87,Box Score,0,18420
Sat Apr 08 2017 07:00pm,Miami Heat,106,Washington Wizards,103,Box Score,0,20365
Sun Apr 09 2017 03:30pm,Cleveland Cavaliers,125,Atlanta Hawks,126,Box Score,1,18835
Sun Apr 09 2017 05:00pm,Oklahoma City Thunder,106,Denver Nuggets,105,Box Score,0,19718
Sun Apr 09 2017 09:30pm,Minnesota Timberwolves,109,Los Angeles Lakers,110,Box Score,0,18997
Sun Apr 09 2017 06:00pm,Detroit Pistons,103,Memphis Grizzlies,90,Box Score,0,16521
Sun Apr 09 2017 12:00pm,Toronto Raptors,110,New York Knicks,97,Box Score,0,19812
Sun Apr 09 2017 06:00pm,Dallas Mavericks,111,Phoenix Suns,124,Box Score,0,18055
Sun Apr 09 2017 06:00pm,Houston Rockets,135,Sacramento Kings,128,Box Score,0,17608
Mon Apr 10 2017 07:30pm,Brooklyn Nets,105,Boston Celtics,114,Box Score,0,18624
Mon Apr 10 2017 08:00pm,Orlando Magic,75,Chicago Bulls,122,Box Score,0,21545
Mon Apr 10 2017 08:00pm,Washington Wizards,105,Detroit Pistons,101,Box Score,0,21012
Mon Apr 10 2017 10:30pm,Utah Jazz,105,Golden State Warriors,99,Box Score,0,19596
Mon Apr 10 2017 10:30pm,Houston Rockets,96,Los Angeles Clippers,125,Box Score,0,19163
Mon Apr 10 2017 07:30pm,Cleveland Cavaliers,121,Miami Heat,124,Box Score,1,19673
Mon Apr 10 2017 08:00pm,Charlotte Hornets,79,Milwaukee Bucks,89,Box Score,0,18717
Mon Apr 10 2017 07:00pm,Indiana Pacers,120,Philadelphia 76ers,111,Box Score,0,14622
Mon Apr 10 2017 10:00pm,San Antonio Spurs,98,Portland Trail Blazers,99,Box Score,0,19393
Tue Apr 11 2017 07:30pm,Charlotte Hornets,76,Atlanta Hawks,103,Box Score,0,14205
Tue Apr 11 2017 08:30pm,Denver Nuggets,109,Dallas Mavericks,91,Box Score,0,20333
Tue Apr 11 2017 10:30pm,New Orleans Pelicans,96,Los Angeles Lakers,108,Box Score,0,18997
Tue Apr 11 2017 08:00pm,Oklahoma City Thunder,100,Minnesota Timberwolves,98,Box Score,0,19356
Tue Apr 11 2017 10:30pm,Phoenix Suns,104,Sacramento Kings,129,Box Score,0,17608
Wed Apr 12 2017 08:00pm,Milwaukee Bucks,94,Boston Celtics,112,Box Score,0,18624
Wed Apr 12 2017 08:00pm,Brooklyn Nets,73,Chicago Bulls,112,Box Score,0,21648
