Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Sun May 01 2005 07:00pm,Phoenix Suns,123,Memphis Grizzlies,115,Box Score,0,17243,
Sun May 01 2005 03:30pm,Miami Heat,110,New Jersey Nets,97,Box Score,0,20174,
Sun May 01 2005 01:00pm,Detroit Pistons,97,Philadelphia 76ers,92,Box Score,1,15894,
Sun May 01 2005 07:30pm,Seattle SuperSonics,115,Sacramento Kings,102,Box Score,0,17317,
Mon May 02 2005 07:00pm,Houston Rockets,100,Dallas Mavericks,103,Box Score,0,20894,
Mon May 02 2005 08:30pm,San Antonio Spurs,126,Denver Nuggets,115,Box Score,1,19776,
Mon May 02 2005 07:30pm,Chicago Bulls,99,Washington Wizards,106,Box Score,0,20173,
Tue May 03 2005 07:30pm,Indiana Pacers,90,Boston Celtics,85,Box Score,0,18624,
Tue May 03 2005 08:00pm,Philadelphia 76ers,78,Detroit Pistons,88,Box Score,0,22076,
Tue May 03 2005 07:30pm,Sacramento Kings,118,Seattle SuperSonics,122,Box Score,0,17072,
Wed May 04 2005 06:00pm,Washington Wizards,112,Chicago Bulls,110,Box Score,0,22250,
Wed May 04 2005 08:30pm,Denver Nuggets,89,San Antonio Spurs,99,Box Score,0,18797,
Thu May 05 2005 08:30pm,Dallas Mavericks,83,Houston Rockets,101,Box Score,0,18215,
Thu May 05 2005 06:00pm,Boston Celtics,92,Indiana Pacers,89,Box Score,1,18345,
Fri May 06 2005 08:00pm,Chicago Bulls,91,Washington Wizards,94,Box Score,0,20173,
Sat May 07 2005 07:00pm,Indiana Pacers,97,Boston Celtics,70,Box Score,0,18624,
Sat May 07 2005 08:30pm,Houston Rockets,76,Dallas Mavericks,116,Box Score,0,20884,
Sun May 08 2005 03:30pm,Washington Wizards,86,Miami Heat,105,Box Score,0,20151,
Sun May 08 2005 07:00pm,Seattle SuperSonics,81,San Antonio Spurs,103,Box Score,0,18797,
Mon May 09 2005 08:00pm,Indiana Pacers,81,Detroit Pistons,96,Box Score,0,22076,
Mon May 09 2005 07:30pm,Dallas Mavericks,102,Phoenix Suns,127,Box Score,0,18422,
Tue May 10 2005 07:00pm,Washington Wizards,102,Miami Heat,108,Box Score,0,20205,
Tue May 10 2005 08:30pm,Seattle SuperSonics,91,San Antonio Spurs,108,Box Score,0,18797,
Wed May 11 2005 08:00pm,Indiana Pacers,92,Detroit Pistons,83,Box Score,0,22076,
Wed May 11 2005 07:30pm,Dallas Mavericks,108,Phoenix Suns,106,Box Score,0,18422,
Thu May 12 2005 07:30pm,San Antonio Spurs,91,Seattle SuperSonics,92,Box Score,0,17072,
Thu May 12 2005 08:00pm,Miami Heat,102,Washington Wizards,95,Box Score,0,20173,
Fri May 13 2005 08:30pm,Phoenix Suns,119,Dallas Mavericks,102,Box Score,0,20896,
Fri May 13 2005 06:00pm,Detroit Pistons,74,Indiana Pacers,79,Box Score,0,18345,
Sat May 14 2005 08:00pm,Miami Heat,99,Washington Wizards,95,Box Score,0,20173,
Sun May 15 2005 08:30pm,Phoenix Suns,109,Dallas Mavericks,119,Box Score,0,20894,
Sun May 15 2005 02:30pm,Detroit Pistons,89,Indiana Pacers,76,Box Score,0,18345,
Sun May 15 2005 04:00pm,San Antonio Spurs,89,Seattle SuperSonics,101,Box Score,0,17072,
Tue May 17 2005 07:00pm,Indiana Pacers,67,Detroit Pistons,86,Box Score,0,22076,
Tue May 17 2005 08:30pm,Seattle SuperSonics,90,San Antonio Spurs,103,Box Score,0,18797,
Wed May 18 2005 06:00pm,Dallas Mavericks,108,Phoenix Suns,114,Box Score,0,18422,
Thu May 19 2005 07:00pm,Detroit Pistons,88,Indiana Pacers,79,Box Score,0,18345,
Thu May 19 2005 07:30pm,San Antonio Spurs,98,Seattle SuperSonics,96,Box Score,0,17072,
Fri May 20 2005 08:00pm,Phoenix Suns,130,Dallas Mavericks,126,Box Score,1,20915,
Sun May 22 2005 12:30pm,San Antonio Spurs,121,Phoenix Suns,114,Box Score,0,18422,
Mon May 23 2005 08:00pm,Detroit Pistons,90,Miami Heat,81,Box Score,0,20203,
Tue May 24 2005 06:00pm,San Antonio Spurs,111,Phoenix Suns,108,Box Score,0,18422,
Wed May 25 2005 08:00pm,Detroit Pistons,86,Miami Heat,92,Box Score,0,20228,
Sat May 28 2005 08:00pm,Phoenix Suns,92,San Antonio Spurs,102,Box Score,0,18797,
Sun May 29 2005 08:00pm,Miami Heat,113,Detroit Pistons,104,Box Score,0,22076,
Mon May 30 2005 07:30pm,Phoenix Suns,111,San Antonio Spurs,106,Box Score,0,18797,
Tue May 31 2005 08:00pm,Miami Heat,96,Detroit Pistons,106,Box Score,0,22076,
