Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Sat Dec 01 2001 02:00pm,Toronto Raptors,104,Atlanta Hawks,103,Box Score,0,18628,
Sat Dec 01 2001 07:30pm,Philadelphia 76ers,93,Chicago Bulls,76,Box Score,0,20212,
Sat Dec 01 2001 07:30pm,Charlotte Hornets,81,Cleveland Cavaliers,93,Box Score,0,12498,
Sat Dec 01 2001 07:30pm,Dallas Mavericks,111,Golden State Warriors,82,Box Score,0,14122,
Sat Dec 01 2001 07:30pm,San Antonio Spurs,85,Houston Rockets,75,Box Score,0,12232,
Sat Dec 01 2001 07:30pm,Minnesota Timberwolves,76,Los Angeles Lakers,102,Box Score,0,18997,
Sat Dec 01 2001 01:00pm,Boston Celtics,105,New Jersey Nets,98,Box Score,1,11379,
Sat Dec 01 2001 08:00pm,Detroit Pistons,100,New York Knicks,97,Box Score,0,19763,
Sat Dec 01 2001 07:00pm,Phoenix Suns,97,Portland Trail Blazers,83,Box Score,0,18487,
Sat Dec 01 2001 07:00pm,Indiana Pacers,100,Utah Jazz,97,Box Score,0,17885,
Sat Dec 01 2001 06:30pm,Orlando Magic,96,Washington Wizards,87,Box Score,0,20674,
Sun Dec 02 2001 06:00pm,Indiana Pacers,72,Los Angeles Clippers,103,Box Score,0,16737,
Sun Dec 02 2001 06:00pm,Memphis Grizzlies,93,Philadelphia 76ers,87,Box Score,0,20433,
Sun Dec 02 2001 06:00pm,Dallas Mavericks,120,Sacramento Kings,114,Box Score,1,17317,
Sun Dec 02 2001 06:00pm,Milwaukee Bucks,83,Seattle SuperSonics,97,Box Score,0,13595,
Sun Dec 02 2001 03:00pm,Boston Celtics,85,Toronto Raptors,69,Box Score,0,19800,
Mon Dec 03 2001 07:30pm,Houston Rockets,86,New York Knicks,89,Box Score,0,19763,
Mon Dec 03 2001 07:30pm,Memphis Grizzlies,71,Orlando Magic,113,Box Score,0,13340,
Mon Dec 03 2001 07:00pm,Golden State Warriors,93,Phoenix Suns,110,Box Score,0,13656,
Tue Dec 04 2001 07:30pm,Houston Rockets,75,Chicago Bulls,103,Box Score,0,18309,
Tue Dec 04 2001 07:00pm,Detroit Pistons,88,Cleveland Cavaliers,100,Box Score,0,13375,
Tue Dec 04 2001 07:00pm,Denver Nuggets,96,Indiana Pacers,104,Box Score,0,16340,
Tue Dec 04 2001 07:30pm,Miami Heat,83,Los Angeles Clippers,87,Box Score,0,16594,
Tue Dec 04 2001 07:00pm,New York Knicks,85,Milwaukee Bucks,71,Box Score,0,17416,
Tue Dec 04 2001 07:00pm,Seattle SuperSonics,83,Minnesota Timberwolves,108,Box Score,0,16182,
Tue Dec 04 2001 05:00pm,Philadelphia 76ers,84,Sacramento Kings,94,Box Score,0,17317,
Tue Dec 04 2001 07:30pm,Washington Wizards,88,San Antonio Spurs,103,Box Score,0,35052,
Tue Dec 04 2001 07:00pm,Charlotte Hornets,100,Utah Jazz,104,Box Score,0,17115,
Wed Dec 05 2001 07:30pm,San Antonio Spurs,120,Atlanta Hawks,112,Box Score,0,8253,
Wed Dec 05 2001 07:00pm,Denver Nuggets,80,Boston Celtics,95,Box Score,0,12587,
Wed Dec 05 2001 07:30pm,Seattle SuperSonics,91,Detroit Pistons,95,Box Score,0,14474,
Wed Dec 05 2001 07:30pm,Philadelphia 76ers,87,Golden State Warriors,93,Box Score,0,18362,
Wed Dec 05 2001 07:30pm,Dallas Mavericks,94,Los Angeles Lakers,98,Box Score,0,18997,
Wed Dec 05 2001 08:00pm,Phoenix Suns,87,New Jersey Nets,106,Box Score,0,11452,
Wed Dec 05 2001 07:30pm,Chicago Bulls,74,Orlando Magic,102,Box Score,0,13023,
Thu Dec 06 2001 07:30pm,Washington Wizards,85,Houston Rockets,82,Box Score,0,16285,
Thu Dec 06 2001 07:00pm,Minnesota Timberwolves,105,Memphis Grizzlies,80,Box Score,0,12861,
Thu Dec 06 2001 08:00pm,Toronto Raptors,89,Milwaukee Bucks,95,Box Score,0,18717,
Thu Dec 06 2001 07:00pm,Charlotte Hornets,95,Portland Trail Blazers,89,Box Score,0,18102,
Fri Dec 07 2001 07:30pm,Phoenix Suns,102,Boston Celtics,109,Box Score,1,15050,
Fri Dec 07 2001 07:30pm,Charlotte Hornets,106,Golden State Warriors,89,Box Score,0,12221,
Fri Dec 07 2001 07:00pm,Chicago Bulls,83,Indiana Pacers,98,Box Score,0,16568,
