,Date,Visitor,Visitor_PTS,Home,Home_PTS,Day,Day_Num,Spread,Winner,Home_ELO,Visitor_ELO,Home_TotalWins,Home_TotalLosses,Home_HomeWins,Home_HomeLosses,Home_Streak,Home_CumSpread,Home_AvgSpread,Home_CumPTS,Home_AvgPTS,Home_GamesPlayed,Home_DaysPast,Visitor_TotalWins,Visitor_TotalLosses,Visitor_VisitorWins,Visitor_VisitorLosses,Visitor_Streak,Visitor_CumSpread,Visitor_AvgSpread,Visitor_CumPTS,Visitor_AvgPTS,Visitor_GamesPlayed,Visitor_DaysPast
0,2005-11-01 19:00:00,Sacramento Kings,67,New Orleans/Oklahoma City Hornets,93,Tue,3,26,1,1500.0,1506.536822402361,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
1,2005-11-01 19:00:00,Milwaukee Bucks,117,Philadelphia 76ers,108,Tue,3,-9,0,1470.2918138026253,1388.4828441960692,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
2,2005-11-01 20:30:00,Dallas Mavericks,111,Phoenix Suns,108,Tue,3,-3,0,1609.7230333243695,1594.8783165087464,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
3,2005-11-01 19:00:00,Denver Nuggets,91,San Antonio Spurs,102,Tue,3,11,1,1597.4495695492571,1539.4609462307026,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
4,2005-11-02 19:30:00,New York Knicks,100,Boston Celtics,114,Wed,4,14,1,1487.1980121688944,1399.8439081253173,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
5,2005-11-02 19:30:00,Charlotte Bobcats,105,Chicago Bulls,109,Wed,4,4,1,1486.62722870869,1323.1462367401596,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
6,2005-11-02 19:00:00,New Orleans/Oklahoma City Hornets,87,Cleveland Cavaliers,109,Wed,4,22,1,1444.782723252122,1520.194280506774,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,0,1,26,26.0,93,93.0,1,0
7,2005-11-02 20:30:00,Los Angeles Lakers,99,Denver Nuggets,97,Wed,4,-2,0,1530.6780004241757,1393.2472471578626,0,1,0,0,-1,-11,-11.0,91,91.0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0
8,2005-11-02 20:00:00,Philadelphia 76ers,88,Detroit Pistons,108,Wed,4,20,1,1614.3777049108744,1457.4681757811334,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,-1,-9,-9.0,108,108.0,1,0
9,2005-11-02 19:30:00,Atlanta Hawks,97,Golden State Warriors,122,Wed,4,25,1,1478.0693912022045,1262.183795871359,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
10,2005-11-02 19:30:00,Sacramento Kings,89,Houston Rockets,98,Wed,4,9,1,1605.2657911163274,1486.342541895587,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,1,-1,-26,-26.0,67,67.0,1,0
11,2005-11-02 19:00:00,Miami Heat,97,Memphis Grizzlies,78,Wed,4,-19,0,1490.2343168217358,1598.3629677935912,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
12,2005-11-02 19:00:00,Portland Trail Blazers,86,Minnesota Timberwolves,90,Wed,4,4,1,1494.2029776448142,1368.6118286811316,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
13,2005-11-02 19:30:00,Milwaukee Bucks,110,New Jersey Nets,96,Wed,4,-14,0,1500.7996735840786,1401.306482217561,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,1,0,1,9,9.0,117,117.0,1,0
14,2005-11-02 19:00:00,Indiana Pacers,90,Orlando Magic,78,Wed,4,-12,0,1370.9008716737862,1500.73355665325,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
15,2005-11-02 19:00:00,Los Angeles Clippers,101,Seattle SuperSonics,93,Wed,4,-8,0,1502.218177254997,1433.5745020009554,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
16,2005-11-02 19:00:00,Washington Wizards,99,Toronto Raptors,96,Wed,4,-3,0,1416.6730051809966,1456.6971919477633,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
17,2005-11-02 19:00:00,Dallas Mavericks,82,Utah Jazz,93,Wed,4,11,1,1375.0284711673985,1600.7777157993976,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,1,0,1,3,3.0,111,111.0,1,0
