,Date,Visitor,Visitor_PTS,Home,Home_PTS,Day,Day_Num,Spread,Winner,Home_ELO,Visitor_ELO,Home_TotalWins,Home_TotalLosses,Home_HomeWins,Home_HomeLosses,Home_Streak,Home_CumSpread,Home_AvgSpread,Home_CumPTS,Home_AvgPTS,Home_GamesPlayed,Home_DaysPast,Visitor_TotalWins,Visitor_TotalLosses,Visitor_VisitorWins,Visitor_VisitorLosses,Visitor_Streak,Visitor_CumSpread,Visitor_AvgSpread,Visitor_CumPTS,Visitor_AvgPTS,Visitor_GamesPlayed,Visitor_DaysPast
0,2009-10-27 19:30:00,Boston Celtics,95,Cleveland Cavaliers,89,Tue,3,-6,0,1683.9958087398488,1616.813971471533,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
1,2009-10-27 19:30:00,Washington Wizards,102,Dallas Mavericks,91,Tue,3,-11,0,1581.200022312891,1367.9920150182102,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
2,2009-10-27 19:30:00,Los Angeles Clippers,92,Los Angeles Lakers,99,Tue,3,7,1,1698.436409172648,1350.1330733976329,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
3,2009-10-27 19:00:00,Houston Rockets,87,Portland Trail Blazers,96,Tue,3,9,1,1616.8214236403721,1624.8635133808107,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
4,2009-10-28 19:00:00,Indiana Pacers,109,Atlanta Hawks,120,Wed,4,11,1,1512.1482761873026,1494.3502266169176,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
5,2009-10-28 19:30:00,Charlotte Bobcats,59,Boston Celtics,92,Wed,4,33,1,1626.546664735332,1478.8858619029595,1,0,0,0,1,6,6.0,95,95.0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0
6,2009-10-28 20:30:00,Utah Jazz,105,Denver Nuggets,114,Wed,4,9,1,1638.8126147839594,1528.3014033677946,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
7,2009-10-28 19:30:00,Houston Rockets,108,Golden State Warriors,107,Wed,4,-1,0,1446.6020774282017,1614.839926772895,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,1,-1,-9,-9.0,87,87.0,1,0
8,2009-10-28 19:30:00,Phoenix Suns,109,Los Angeles Clippers,107,Wed,4,-2,0,1348.5713824498744,1519.5944934137822,0,1,0,0,-1,-7,-7.0,92,92.0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0
9,2009-10-28 19:00:00,Detroit Pistons,96,Memphis Grizzlies,74,Wed,4,-22,0,1403.000470820859,1476.2499910437182,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
10,2009-10-28 19:30:00,New York Knicks,93,Miami Heat,115,Wed,4,22,1,1524.5825326842871,1419.079545513046,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
11,2009-10-28 19:00:00,New Jersey Nets,93,Minnesota Timberwolves,95,Wed,4,2,1,1398.1732238765699,1482.751129168401,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
12,2009-10-28 19:00:00,Sacramento Kings,89,Oklahoma City Thunder,102,Wed,4,13,1,1394.7010275737741,1332.7792441380625,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
13,2009-10-28 19:00:00,Philadelphia 76ers,106,Orlando Magic,120,Wed,4,14,1,1632.949060556954,1489.4051122525586,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
14,2009-10-28 19:00:00,New Orleans Hornets,96,San Antonio Spurs,113,Wed,4,17,1,1575.0444289826937,1489.9757731016216,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0
15,2009-10-28 19:00:00,Cleveland Cavaliers,91,Toronto Raptors,101,Wed,4,10,1,1447.3997618181565,1674.26311547605,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,0,0,-1,-6,-6.0,89,89.0,1,0
16,2009-10-29 19:00:00,San Antonio Spurs,85,Chicago Bulls,92,Thu,5,7,1,1535.5277083569317,1585.466243474047,0,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,0,1,17,17.0,113,113.0,1,0
17,2009-10-29 19:30:00,Denver Nuggets,97,Portland Trail Blazers,94,Thu,5,-3,0,1626.8450102482877,1645.003374544327,1,0,1,0,1,9,9.0,96,96.0,1,0,1,0,0,0,1,9,9.0,114,114.0,1,0
18,2009-10-30 19:30:00,Washington Wizards,89,Atlanta Hawks,100,Fri,6,11,1,1522.4493843914968,1388.5256364241416,1,0,1,0,1,11,11.0,120,120.0,1,0,1,0,1,0,1,11,11.0,102,102.0,1,0
