,Date,Visitor,Visitor_PTS,Home,Home_PTS,Day,Day_Num,Spread,Winner,Home_TotalWins,Home_TotalLosses,Home_HomeWins,Home_HomeLosses,Home_Streak,Home_CumSpread,Home_AvgSpread,Home_CumPTS,Home_AvgPTS,Home_GamesPlayed,Home_DaysPast,Visitor_TotalWins,Visitor_TotalLosses,Visitor_VisitorWins,Visitor_VisitorLosses,Visitor_Streak,Visitor_CumSpread,Visitor_AvgSpread,Visitor_CumPTS,Visitor_AvgPTS,Visitor_GamesPlayed,Visitor_DaysPast,Home_ELO,Visitor_ELO
1190,2008-04-12 19:30:00,New Jersey Nets,111,Milwaukee Bucks,98,Sat,7,-13,0,26,53,19,20,-5,-527,-6.670886075949367,7622,96.48101265822785,79,0,32,47,12,27,-2,-421,-5.329113924050633,7540,95.44303797468355,79,0,1283,1346
1191,2008-04-12 19:00:00,Dallas Mavericks,105,Portland Trail Blazers,108,Sat,7,3,1,39,40,26,13,-1,-96,-1.2151898734177216,7508,95.0379746835443,79,0,50,29,17,22,3,366,4.632911392405063,7923,100.29113924050633,79,0,1411,1562
1192,2008-04-12 19:00:00,New Orleans Hornets,91,Sacramento Kings,94,Sat,7,3,1,37,42,25,14,1,-162,-2.050632911392405,8115,102.72151898734177,79,0,55,24,26,13,-1,427,5.405063291139241,7967,100.84810126582279,79,0,1431,1614
1193,2008-04-12 19:00:00,Denver Nuggets,97,Utah Jazz,124,Sat,7,27,1,52,27,35,4,-1,557,7.050632911392405,8401,106.34177215189874,79,0,48,31,17,23,2,305,3.8607594936708862,8746,110.70886075949367,79,0,1632,1555
1194,2008-04-12 19:00:00,Philadelphia 76ers,93,Washington Wizards,109,Sat,7,16,1,41,38,23,16,-1,-30,-0.379746835443038,7795,98.67088607594937,79,0,40,39,18,21,-1,57,0.7215189873417721,7631,96.59493670886076,79,0,1468,1509
1195,2008-04-13 18:00:00,Orlando Magic,104,Chicago Bulls,84,Sun,1,-20,0,31,48,19,20,1,-259,-3.278481012658228,7639,96.69620253164557,79,0,49,30,25,14,-1,392,4.962025316455696,8239,104.29113924050633,79,0,1382,1554
1196,2008-04-13 18:00:00,Miami Heat,76,Cleveland Cavaliers,84,Sun,1,8,1,43,36,26,13,-1,-28,-0.35443037974683544,7654,96.88607594936708,79,0,14,64,6,33,-1,-696,-8.923076923076923,7124,91.33333333333333,78,0,1470,1221
1197,2008-04-13 19:00:00,Houston Rockets,94,Denver Nuggets,111,Sun,1,17,1,48,32,31,8,-1,278,3.475,8843,110.5375,80,0,54,25,24,15,5,392,4.962025316455696,7648,96.81012658227849,79,0,1540,1617
1198,2008-04-13 13:00:00,Toronto Raptors,84,Detroit Pistons,91,Sun,1,7,1,56,23,32,7,1,577,7.30379746835443,7702,97.49367088607595,79,0,40,39,16,23,2,239,3.0253164556962027,7943,100.54430379746836,79,0,1589,1457
1199,2008-04-13 12:30:00,San Antonio Spurs,85,Los Angeles Lakers,106,Sun,1,21,1,55,25,28,11,2,551,6.8875,8674,108.425,80,0,54,25,21,18,1,382,4.8354430379746836,7525,95.25316455696202,79,0,1603,1587
1200,2008-04-13 18:00:00,Dallas Mavericks,95,Seattle SuperSonics,99,Sun,1,4,1,18,62,12,28,-3,-727,-9.0875,7774,97.175,80,0,50,30,17,23,-1,363,4.5375,8028,100.35,80,0,1250,1553
1201,2008-04-14 19:00:00,Chicago Bulls,151,Milwaukee Bucks,135,Mon,2,-16,0,26,54,19,21,-6,-540,-6.75,7720,96.5,80,0,31,49,12,28,-1,-279,-3.4875,7723,96.5375,80,0,1273,1374
1202,2008-04-14 19:30:00,Boston Celtics,99,New York Knicks,93,Mon,2,-6,0,23,57,15,25,-1,-527,-6.5875,7732,96.65,80,0,64,16,30,10,2,824,10.3,8041,100.5125,80,0,1289,1676
1203,2008-04-14 19:00:00,Cleveland Cavaliers,91,Philadelphia 76ers,90,Mon,2,-1,0,40,40,22,18,-2,41,0.5125,7724,96.55,80,0,44,36,17,23,1,-20,-0.25,7738,96.725,80,0,1492,1472
1204,2008-04-14 19:00:00,Golden State Warriors,116,Phoenix Suns,122,Mon,2,6,1,53,27,28,11,-1,399,4.9875,8804,110.05,80,0,48,32,21,19,1,192,2.4,8868,110.85,80,0,1587,1516
1205,2008-04-14 19:00:00,San Antonio Spurs,101,Sacramento Kings,98,Mon,2,-3,0,38,42,26,14,2,-159,-1.9875,8209,102.6125,80,0,54,26,21,19,-1,361,4.5125,7610,95.125,80,0,1440,1571
1206,2008-04-14 19:00:00,Miami Heat,75,Toronto Raptors,91,Mon,2,16,1,40,40,24,16,-1,232,2.9,8027,100.3375,80,0,14,65,6,34,-2,-704,-8.91139240506329,7200,91.13924050632912,79,0,1452,1218
1207,2008-04-14 19:00:00,Houston Rockets,96,Utah Jazz,105,Mon,2,9,1,53,27,36,4,1,584,7.3,8525,106.5625,80,0,54,26,24,16,-1,375,4.6875,7742,96.775,80,0,1646,1597
1208,2008-04-14 19:00:00,Indiana Pacers,110,Washington Wizards,117,Mon,2,7,1,42,38,24,16,1,-14,-0.175,7904,98.8,80,0,34,45,14,25,-1,-120,-1.518987341772152,8179,103.53164556962025,79,0,1484,1440
1209,2008-04-15 19:00:00,Orlando Magic,121,Atlanta Hawks,105,Tue,3,-16,0,37,43,25,15,-1,-119,-1.4875,7850,98.125,80,0,50,30,26,14,1,412,5.15,8343,104.2875,80,0,1440,1561
1210,2008-04-15 19:30:00,Minnesota Timberwolves,103,Detroit Pistons,115,Tue,3,12,1,57,23,33,7,2,584,7.3,7793,97.4125,80,0,21,59,7,33,2,-553,-6.9125,7626,95.325,80,0,1593,1337
1211,2008-04-15 19:30:00,Sacramento Kings,101,Los Angeles Lakers,124,Tue,3,23,1,56,25,29,11,3,572,7.061728395061729,8780,108.39506172839506,81,0,38,43,12,28,-1,-162,-2.0,8307,102.55555555555556,81,0,1618,1436
1212,2008-04-15 19:30:00,Charlotte Bobcats,108,New Jersey Nets,112,Tue,3,4,1,33,47,20,20,1,-408,-5.1,7651,95.6375,80,0,31,49,11,29,1,-361,-4.5125,7736,96.7,80,0,1355,1389
1213,2008-04-15 19:00:00,Los Angeles Clippers,92,New Orleans Hornets,114,Tue,3,22,1,55,25,29,11,-2,424,5.3,8058,100.725,80,0,23,57,10,29,-5,-556,-6.95,7525,94.0625,80,0,1604,1284
1214,2008-04-15 19:00:00,Memphis Grizzlies,91,Portland Trail Blazers,113,Tue,3,22,1,40,40,27,13,1,-93,-1.1625,7616,95.2,80,0,22,58,8,31,-1,-478,-5.975,8055,100.6875,80,0,1419,1311
1215,2008-04-16 19:30:00,New Jersey Nets,94,Boston Celtics,105,Wed,4,11,1,65,16,34,6,3,830,10.246913580246913,8140,100.49382716049382,81,0,34,47,13,27,2,-404,-4.987654320987654,7763,95.8395061728395,81,0,1677,1362
1216,2008-04-16 19:00:00,Philadelphia 76ers,109,Charlotte Bobcats,115,Wed,4,6,1,31,50,20,20,-1,-365,-4.506172839506172,7844,96.8395061728395,81,0,40,41,18,22,-3,40,0.49382716049382713,7814,96.46913580246914,81,0,1381,1487
1217,2008-04-16 19:30:00,Toronto Raptors,97,Chicago Bulls,107,Wed,4,10,1,32,49,19,21,1,-263,-3.246913580246914,7874,97.20987654320987,81,0,41,40,16,24,1,248,3.0617283950617282,8118,100.22222222222223,81,0,1383,1456
1218,2008-04-16 19:00:00,Detroit Pistons,84,Cleveland Cavaliers,74,Wed,4,-10,0,45,36,27,13,2,-19,-0.2345679012345679,7829,96.65432098765432,81,0,58,23,24,16,3,596,7.3580246913580245,7908,97.62962962962963,81,0,1476,1596
1219,2008-04-16 19:30:00,New Orleans Hornets,98,Dallas Mavericks,111,Wed,4,13,1,50,31,33,7,-2,359,4.432098765432099,8123,100.28395061728395,81,0,56,25,26,14,1,446,5.506172839506172,8172,100.88888888888889,81,0,1538,1607
1220,2008-04-16 19:00:00,Memphis Grizzlies,111,Denver Nuggets,120,Wed,4,9,1,49,32,32,8,1,295,3.6419753086419755,8954,110.54320987654322,81,0,22,59,8,32,-2,-500,-6.172839506172839,8146,100.5679012345679,81,0,1559,1299
1221,2008-04-16 19:30:00,Seattle SuperSonics,126,Golden State Warriors,121,Wed,4,-5,0,48,33,27,13,-1,186,2.2962962962962963,8984,110.91358024691358,81,0,19,62,6,34,1,-723,-8.925925925925926,7873,97.19753086419753,81,0,1510,1264
1222,2008-04-16 19:30:00,Los Angeles Clippers,75,Houston Rockets,93,Wed,4,18,1,54,27,30,10,-2,366,4.518518518518518,7838,96.76543209876543,81,0,23,58,10,30,-6,-578,-7.135802469135802,7617,94.03703703703704,81,0,1588,1280
1223,2008-04-16 19:00:00,New York Knicks,123,Indiana Pacers,132,Wed,4,9,1,34,46,20,20,-2,-127,-1.5875,8289,103.6125,80,0,23,58,8,32,-2,-533,-6.580246913580247,7825,96.60493827160494,81,0,1432,1287
1224,2008-04-16 19:30:00,Atlanta Hawks,99,Miami Heat,113,Wed,4,14,1,14,66,8,31,-3,-720,-9.0,7275,90.9375,80,0,37,44,12,28,-2,-135,-1.6666666666666667,7955,98.20987654320987,81,0,1213,1431
1225,2008-04-16 19:00:00,Milwaukee Bucks,101,Minnesota Timberwolves,110,Wed,4,9,1,21,60,14,26,-1,-565,-6.9753086419753085,7729,95.41975308641975,81,0,26,55,7,33,-7,-556,-6.864197530864198,7855,96.9753086419753,81,0,1333,1263
