,Date,Visitor,Visitor_PTS,Home,Home_PTS,Day,Day_Num,Spread,Winner,Home_ELO,Visitor_ELO,Home_TotalWins,Home_TotalLosses,Home_HomeWins,Home_HomeLosses,Home_Streak,Home_CumSpread,Home_AvgSpread,Home_CumPTS,Home_AvgPTS,Home_GamesPlayed,Home_DaysPast,Visitor_TotalWins,Visitor_TotalLosses,Visitor_VisitorWins,Visitor_VisitorLosses,Visitor_Streak,Visitor_CumSpread,Visitor_AvgSpread,Visitor_CumPTS,Visitor_AvgPTS,Visitor_GamesPlayed,Visitor_DaysPast
897,2014-03-04 19:00:00,Golden State Warriors,98,Indiana Pacers,96,Tue,3,-2,0,1657.9552573044189,1609.8569251699082,46,13,29,3,5,466,7.898305084745763,5848,99.11864406779661,59,0,36,24,18,14,-1,268,4.466666666666667,6196,103.26666666666667,60,0
898,2014-03-04 22:30:00,New Orleans Pelicans,132,Los Angeles Lakers,125,Tue,3,-7,0,1384.3804619420914,1421.454989648191,21,39,10,18,2,-317,-5.283333333333333,6070,101.16666666666667,60,0,23,37,10,23,-8,-176,-2.933333333333333,5919,98.65,60,0
899,2014-03-04 20:00:00,Philadelphia 76ers,92,Oklahoma City Thunder,125,Tue,3,33,1,1677.2498809789704,1231.193287454746,45,15,25,6,2,390,6.5,6305,105.08333333333333,60,0,15,45,7,22,-14,-648,-10.8,5996,99.93333333333334,60,0
900,2014-03-04 21:00:00,Los Angeles Clippers,104,Phoenix Suns,96,Tue,3,-8,0,1573.099650520249,1667.725732540291,35,24,21,11,2,175,2.9661016949152543,6213,105.30508474576271,59,0,41,20,16,15,4,395,6.475409836065574,6541,107.22950819672131,61,0
901,2014-03-05 19:30:00,Golden State Warriors,108,Boston Celtics,88,Wed,4,-20,0,1395.7932991780153,1615.5734264363032,20,40,12,18,-1,-218,-3.6333333333333333,5728,95.46666666666667,60,0,37,24,19,14,1,270,4.426229508196721,6294,103.18032786885246,61,0
902,2014-03-05 19:30:00,Memphis Grizzlies,94,Brooklyn Nets,103,Wed,4,9,1,1539.0798073792455,1601.0313612966668,29,29,17,11,3,-107,-1.8448275862068966,5653,97.46551724137932,58,0,34,25,16,11,2,38,0.6440677966101694,5648,95.72881355932203,59,0
903,2014-03-05 19:00:00,Indiana Pacers,87,Charlotte Bobcats,109,Wed,4,22,1,1476.4835049142634,1652.238756038024,27,33,15,14,-3,-133,-2.216666666666667,5714,95.23333333333333,60,0,46,14,17,10,-1,464,7.733333333333333,5944,99.06666666666666,60,0
904,2014-03-05 20:00:00,Dallas Mavericks,110,Denver Nuggets,115,Wed,4,5,1,1411.9558341115478,1565.8617575011606,25,34,14,16,-6,-148,-2.5084745762711864,6055,102.62711864406779,59,0,36,25,17,15,-2,133,2.180327868852459,6367,104.37704918032787,61,0
905,2014-03-05 19:30:00,Chicago Bulls,105,Detroit Pistons,94,Wed,4,-11,0,1426.2813137096848,1566.3175496101244,24,36,14,19,1,-152,-2.533333333333333,6053,100.88333333333334,60,0,33,27,15,17,-1,48,0.8,5587,93.11666666666666,60,0
906,2014-03-05 20:00:00,Sacramento Kings,116,Milwaukee Bucks,102,Wed,4,-14,0,1324.1265151331872,1448.2735143518125,12,47,7,24,1,-480,-8.135593220338983,5531,93.7457627118644,59,0,21,39,8,20,1,-143,-2.3833333333333333,6090,101.5,60,0
