,Date,Visitor,Visitor_PTS,Home,Home_PTS,Day,Day_Num,Spread,Winner,Home_TotalWins,Home_TotalLosses,Home_HomeWins,Home_HomeLosses,Home_Streak,Home_CumSpread,Home_AvgSpread,Home_CumPTS,Home_AvgPTS,Home_GamesPlayed,Home_DaysPast,Visitor_TotalWins,Visitor_TotalLosses,Visitor_VisitorWins,Visitor_VisitorLosses,Visitor_Streak,Visitor_CumSpread,Visitor_AvgSpread,Visitor_CumPTS,Visitor_AvgPTS,Visitor_GamesPlayed,Visitor_DaysPast,Home_ELO,Visitor_ELO
0,2011-12-25 13:30:00,Miami Heat,105,Dallas Mavericks,94,Sun,1,-11,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1500,1500
1,2011-12-25 19:30:00,Los Angeles Clippers,105,Golden State Warriors,86,Sun,1,-19,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1500,1500
2,2011-12-25 14:00:00,Chicago Bulls,88,Los Angeles Lakers,87,Sun,1,-1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1500,1500
3,2011-12-25 12:00:00,Boston Celtics,104,New York Knicks,106,Sun,1,2,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1500,1500
4,2011-12-25 19:00:00,Orlando Magic,89,Oklahoma City Thunder,97,Sun,1,8,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1500,1500
5,2011-12-26 19:00:00,Milwaukee Bucks,95,Charlotte Bobcats,96,Mon,2,1,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1500,1500
6,2011-12-26 19:00:00,Toronto Raptors,104,Cleveland Cavaliers,96,Mon,2,-8,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1500,1500
7,2011-12-26 19:30:00,Denver Nuggets,115,Dallas Mavericks,93,Mon,2,-22,0,0,1,0,1,-1,-11,-11.0,94,94.0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1488,1500
8,2011-12-26 19:30:00,Chicago Bulls,91,Golden State Warriors,99,Mon,2,8,1,0,1,0,1,-1,-19,-19.0,86,86.0,1,0,1,0,1,0,1,1,1.0,88,88.0,1,0,1484,1504
9,2011-12-26 19:00:00,Detroit Pistons,79,Indiana Pacers,91,Mon,2,12,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,1500,1500
