Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.
Fri Nov 01 2013 07:30pm,Toronto Raptors,95,Atlanta Hawks,102,Box Score,0,18118
Fri Nov 01 2013 07:30pm,Milwaukee Bucks,105,Boston Celtics,98,Box Score,0,18624
Fri Nov 01 2013 08:00pm,Miami Heat,100,Brooklyn Nets,101,Box Score,0,17732
Fri Nov 01 2013 07:00pm,Cleveland Cavaliers,84,Charlotte Bobcats,90,Box Score,0,18017
Fri Nov 01 2013 09:00pm,Portland Trail Blazers,113,Denver Nuggets,98,Box Score,0,19155
Fri Nov 01 2013 08:00pm,Dallas Mavericks,105,Houston Rockets,113,Box Score,0,18142
Fri Nov 01 2013 10:30pm,San Antonio Spurs,91,Los Angeles Lakers,85,Box Score,0,18997
Fri Nov 01 2013 08:00pm,Detroit Pistons,108,Memphis Grizzlies,111,Box Score,1,18119
Fri Nov 01 2013 08:00pm,Oklahoma City Thunder,81,Minnesota Timberwolves,100,Box Score,0,17433
Fri Nov 01 2013 07:00pm,New Orleans Pelicans,90,Orlando Magic,110,Box Score,0,18846
Fri Nov 01 2013 10:00pm,Utah Jazz,84,Phoenix Suns,87,Box Score,0,14662
Fri Nov 01 2013 10:00pm,Los Angeles Clippers,110,Sacramento Kings,101,Box Score,0,17317
Fri Nov 01 2013 07:00pm,Philadelphia 76ers,109,Washington Wizards,102,Box Score,0,17160
Sat Nov 02 2013 08:30pm,Memphis Grizzlies,99,Dallas Mavericks,111,Box Score,0,20262
Sat Nov 02 2013 10:30pm,Sacramento Kings,87,Golden State Warriors,98,Box Score,0,19596
Sat Nov 02 2013 07:00pm,Cleveland Cavaliers,74,Indiana Pacers,89,Box Score,0,16242
Sat Nov 02 2013 08:30pm,Toronto Raptors,97,Milwaukee Bucks,90,Box Score,0,16046
Sat Nov 02 2013 08:00pm,Charlotte Bobcats,84,New Orleans Pelicans,105,Box Score,0,15232
Sat Nov 02 2013 07:30pm,Chicago Bulls,104,Philadelphia 76ers,107,Box Score,0,15782
Sat Nov 02 2013 10:00pm,San Antonio Spurs,105,Portland Trail Blazers,115,Box Score,0,20028
Sat Nov 02 2013 09:00pm,Houston Rockets,104,Utah Jazz,93,Box Score,0,19498
Sun Nov 03 2013 06:00pm,Boston Celtics,77,Detroit Pistons,87,Box Score,0,14978
Sun Nov 03 2013 09:30pm,Atlanta Hawks,103,Los Angeles Lakers,105,Box Score,0,18997
Sun Nov 03 2013 06:00pm,Washington Wizards,93,Miami Heat,103,Box Score,0,19600
Sun Nov 03 2013 07:30pm,Minnesota Timberwolves,109,New York Knicks,100,Box Score,0,19812
Sun Nov 03 2013 07:00pm,Phoenix Suns,96,Oklahoma City Thunder,103,Box Score,0,18203
Sun Nov 03 2013 06:00pm,Brooklyn Nets,86,Orlando Magic,107,Box Score,0,15297
Mon Nov 04 2013 07:00pm,Minnesota Timberwolves,92,Cleveland Cavaliers,93,Box Score,0,17892
Mon Nov 04 2013 10:30pm,Houston Rockets,118,Los Angeles Clippers,137,Box Score,0,19404
Mon Nov 04 2013 08:00pm,Boston Celtics,88,Memphis Grizzlies,95,Box Score,0,15872
Mon Nov 04 2013 07:00pm,Golden State Warriors,110,Philadelphia 76ers,90,Box Score,0,11089
Tue Nov 05 2013 07:30pm,Utah Jazz,88,Brooklyn Nets,104,Box Score,0,17732
Tue Nov 05 2013 08:30pm,Los Angeles Lakers,104,Dallas Mavericks,123,Box Score,0,19670
Tue Nov 05 2013 09:00pm,San Antonio Spurs,102,Denver Nuggets,94,Box Score,0,15721
Tue Nov 05 2013 07:30pm,Indiana Pacers,99,Detroit Pistons,91,Box Score,0,13401
Tue Nov 05 2013 08:00pm,Phoenix Suns,104,New Orleans Pelicans,98,Box Score,0,13404
Tue Nov 05 2013 07:30pm,Charlotte Bobcats,102,New York Knicks,97,Box Score,0,19812
Tue Nov 05 2013 10:00pm,Houston Rockets,116,Portland Trail Blazers,101,Box Score,0,17491
Tue Nov 05 2013 10:00pm,Atlanta Hawks,105,Sacramento Kings,100,Box Score,0,13506
Tue Nov 05 2013 07:00pm,Miami Heat,104,Toronto Raptors,95,Box Score,0,18470
