Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Thu May 01 2014 07:00pm,Indiana Pacers,95,Atlanta Hawks,88,Box Score,0,19044,
Thu May 01 2014 10:30pm,Los Angeles Clippers,99,Golden State Warriors,100,Box Score,0,19596,
Thu May 01 2014 08:00pm,Oklahoma City Thunder,104,Memphis Grizzlies,84,Box Score,0,18119,
Fri May 02 2014 07:00pm,Toronto Raptors,83,Brooklyn Nets,97,Box Score,0,17732,
Fri May 02 2014 08:00pm,San Antonio Spurs,111,Dallas Mavericks,113,Box Score,0,20799,
Fri May 02 2014 10:30pm,Houston Rockets,98,Portland Trail Blazers,99,Box Score,0,20204,
Sat May 03 2014 05:30pm,Atlanta Hawks,80,Indiana Pacers,92,Box Score,0,18165,
Sat May 03 2014 10:30pm,Golden State Warriors,121,Los Angeles Clippers,126,Box Score,0,19543,
Sat May 03 2014 08:00pm,Memphis Grizzlies,109,Oklahoma City Thunder,120,Box Score,0,18203,
Sun May 04 2014 03:30pm,Dallas Mavericks,96,San Antonio Spurs,119,Box Score,0,18581,
Sun May 04 2014 01:00pm,Brooklyn Nets,104,Toronto Raptors,103,Box Score,0,20457,
Mon May 05 2014 07:00pm,Washington Wizards,102,Indiana Pacers,96,Box Score,0,18165,
Mon May 05 2014 09:42pm,Los Angeles Clippers,122,Oklahoma City Thunder,105,Box Score,0,18203,
Tue May 06 2014 07:00pm,Brooklyn Nets,86,Miami Heat,107,Box Score,0,19470,
Tue May 06 2014 09:30pm,Portland Trail Blazers,92,San Antonio Spurs,116,Box Score,0,18581,
Wed May 07 2014 07:00pm,Washington Wizards,82,Indiana Pacers,86,Box Score,0,18165,
Wed May 07 2014 09:30pm,Los Angeles Clippers,101,Oklahoma City Thunder,112,Box Score,0,18203,
Thu May 08 2014 07:00pm,Brooklyn Nets,82,Miami Heat,94,Box Score,0,19639,
Thu May 08 2014 09:30pm,Portland Trail Blazers,97,San Antonio Spurs,114,Box Score,0,18581,
Fri May 09 2014 10:30pm,Oklahoma City Thunder,118,Los Angeles Clippers,112,Box Score,0,19530,
Fri May 09 2014 08:00pm,Indiana Pacers,85,Washington Wizards,63,Box Score,0,20356,
Sat May 10 2014 08:00pm,Miami Heat,90,Brooklyn Nets,104,Box Score,0,17732,
Sat May 10 2014 10:30pm,San Antonio Spurs,118,Portland Trail Blazers,103,Box Score,0,20321,
Sun May 11 2014 03:30pm,Oklahoma City Thunder,99,Los Angeles Clippers,101,Box Score,0,19365,
Sun May 11 2014 08:00pm,Indiana Pacers,95,Washington Wizards,92,Box Score,0,20356,
Mon May 12 2014 08:00pm,Miami Heat,102,Brooklyn Nets,96,Box Score,0,17732,
Mon May 12 2014 10:30pm,San Antonio Spurs,92,Portland Trail Blazers,103,Box Score,0,20141,
Tue May 13 2014 07:00pm,Washington Wizards,102,Indiana Pacers,79,Box Score,0,18165,
Tue May 13 2014 09:30pm,Los Angeles Clippers,104,Oklahoma City Thunder,105,Box Score,0,18203,
Wed May 14 2014 07:00pm,Brooklyn Nets,94,Miami Heat,96,Box Score,0,19615,
Wed May 14 2014 09:30pm,Portland Trail Blazers,82,San Antonio Spurs,104,Box Score,0,18581,
Thu May 15 2014 10:30pm,Oklahoma City Thunder,104,Los Angeles Clippers,98,Box Score,0,19565,
Thu May 15 2014 08:00pm,Indiana Pacers,93,Washington Wizards,80,Box Score,0,19502,
Sun May 18 2014 03:30pm,Miami Heat,96,Indiana Pacers,107,Box Score,0,18165,
Mon May 19 2014 09:00pm,Oklahoma City Thunder,105,San Antonio Spurs,122,Box Score,0,18581,
Tue May 20 2014 08:30pm,Miami Heat,87,Indiana Pacers,83,Box Score,0,18165,
Wed May 21 2014 09:00pm,Oklahoma City Thunder,77,San Antonio Spurs,112,Box Score,0,18581,
Sat May 24 2014 08:30pm,Indiana Pacers,87,Miami Heat,99,Box Score,0,20025,
Sun May 25 2014 08:30pm,San Antonio Spurs,97,Oklahoma City Thunder,106,Box Score,0,18203,
Mon May 26 2014 08:30pm,Indiana Pacers,90,Miami Heat,102,Box Score,0,19874,
Tue May 27 2014 09:00pm,San Antonio Spurs,92,Oklahoma City Thunder,105,Box Score,0,18203,
Wed May 28 2014 08:30pm,Miami Heat,90,Indiana Pacers,93,Box Score,0,18165,
Thu May 29 2014 09:00pm,Oklahoma City Thunder,89,San Antonio Spurs,117,Box Score,0,18581,
Fri May 30 2014 08:30pm,Indiana Pacers,92,Miami Heat,117,Box Score,0,20021,
Sat May 31 2014 08:30pm,San Antonio Spurs,112,Oklahoma City Thunder,107,Box Score,1,18203,
