Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Sat Jan 01 2011 06:00pm,Cleveland Cavaliers,91,Chicago Bulls,100,Box Score,0,21416,
Sat Jan 01 2011 07:00pm,Sacramento Kings,86,Denver Nuggets,104,Box Score,0,17466,
Sat Jan 01 2011 07:30pm,Golden State Warriors,107,Miami Heat,114,Box Score,0,20254,
Sat Jan 01 2011 08:00pm,Dallas Mavericks,87,Milwaukee Bucks,99,Box Score,0,13194,
Sat Jan 01 2011 07:00pm,New Jersey Nets,88,Minnesota Timberwolves,103,Box Score,0,12665,
Sat Jan 01 2011 07:30pm,Oklahoma City Thunder,74,San Antonio Spurs,101,Box Score,0,18581,
Sat Jan 01 2011 07:00pm,Memphis Grizzlies,92,Utah Jazz,98,Box Score,0,19732,
Sat Jan 01 2011 07:00pm,New Orleans Hornets,92,Washington Wizards,81,Box Score,0,16026,
Sun Jan 02 2011 07:00pm,Dallas Mavericks,104,Cleveland Cavaliers,95,Box Score,0,20562,
Sun Jan 02 2011 12:30pm,Atlanta Hawks,107,Los Angeles Clippers,98,Box Score,0,16750,
Sun Jan 02 2011 06:30pm,Memphis Grizzlies,104,Los Angeles Lakers,85,Box Score,0,18997,
Sun Jan 02 2011 01:00pm,Indiana Pacers,92,New York Knicks,98,Box Score,0,19763,
Sun Jan 02 2011 06:00pm,Houston Rockets,85,Portland Trail Blazers,100,Box Score,0,20416,
Sun Jan 02 2011 06:00pm,Phoenix Suns,89,Sacramento Kings,94,Box Score,0,12500,
Sun Jan 02 2011 06:00pm,Boston Celtics,93,Toronto Raptors,79,Box Score,0,19986,
Mon Jan 03 2011 07:30pm,Minnesota Timberwolves,93,Boston Celtics,96,Box Score,0,18624,
Mon Jan 03 2011 07:00pm,Miami Heat,96,Charlotte Bobcats,82,Box Score,0,19233,
Mon Jan 03 2011 07:00pm,Houston Rockets,106,Denver Nuggets,113,Box Score,0,17136,
Mon Jan 03 2011 07:00pm,Philadelphia 76ers,77,New Orleans Hornets,84,Box Score,0,13433,
Mon Jan 03 2011 07:00pm,Golden State Warriors,90,Orlando Magic,110,Box Score,0,18846,
Mon Jan 03 2011 07:00pm,Detroit Pistons,97,Utah Jazz,102,Box Score,0,19911,
Tue Jan 04 2011 07:00pm,Toronto Raptors,91,Chicago Bulls,111,Box Score,0,21290,
Tue Jan 04 2011 07:30pm,Portland Trail Blazers,81,Dallas Mavericks,84,Box Score,0,19514,
Tue Jan 04 2011 07:30pm,Detroit Pistons,83,Los Angeles Lakers,108,Box Score,0,18997,
Tue Jan 04 2011 07:00pm,Oklahoma City Thunder,105,Memphis Grizzlies,110,Box Score,0,12765,
Tue Jan 04 2011 07:30pm,Milwaukee Bucks,89,Miami Heat,101,Box Score,0,20215,
Tue Jan 04 2011 07:30pm,San Antonio Spurs,115,New York Knicks,128,Box Score,0,19763,
Tue Jan 04 2011 07:00pm,Atlanta Hawks,108,Sacramento Kings,102,Box Score,0,11472,
Wed Jan 05 2011 07:30pm,San Antonio Spurs,103,Boston Celtics,105,Box Score,0,18624,
Wed Jan 05 2011 07:00pm,Toronto Raptors,120,Cleveland Cavaliers,105,Box Score,0,20562,
Wed Jan 05 2011 07:30pm,Portland Trail Blazers,103,Houston Rockets,100,Box Score,0,14125,
Wed Jan 05 2011 07:30pm,Denver Nuggets,93,Los Angeles Clippers,106,Box Score,0,17540,
Wed Jan 05 2011 07:00pm,Charlotte Bobcats,108,Minnesota Timberwolves,105,Box Score,1,14881,
Wed Jan 05 2011 07:00pm,Chicago Bulls,94,New Jersey Nets,96,Box Score,0,15025,
Wed Jan 05 2011 07:00pm,Golden State Warriors,110,New Orleans Hornets,103,Box Score,0,13532,
Wed Jan 05 2011 07:00pm,Milwaukee Bucks,87,Orlando Magic,97,Box Score,0,18846,
Wed Jan 05 2011 07:00pm,Washington Wizards,97,Philadelphia 76ers,109,Box Score,0,12434,
Wed Jan 05 2011 08:30pm,Los Angeles Lakers,99,Phoenix Suns,95,Box Score,0,18105,
Wed Jan 05 2011 07:00pm,Atlanta Hawks,110,Utah Jazz,87,Box Score,0,19911,
Thu Jan 06 2011 07:00pm,Oklahoma City Thunder,99,Dallas Mavericks,95,Box Score,0,20282,
Thu Jan 06 2011 07:30pm,Denver Nuggets,102,Sacramento Kings,122,Box Score,0,13184,
Fri Jan 07 2011 07:30pm,Toronto Raptors,102,Boston Celtics,122,Box Score,0,18624,
Fri Jan 07 2011 07:30pm,Cleveland Cavaliers,98,Golden State Warriors,116,Box Score,0,18858,
Fri Jan 07 2011 07:00pm,San Antonio Spurs,90,Indiana Pacers,87,Box Score,0,14157,
Fri Jan 07 2011 07:30pm,New Orleans Hornets,97,Los Angeles Lakers,101,Box Score,0,18997,
Fri Jan 07 2011 07:00pm,Utah Jazz,99,Memphis Grizzlies,110,Box Score,0,14781,
Fri Jan 07 2011 07:30pm,Miami Heat,101,Milwaukee Bucks,95,Box Score,1,18717,
Fri Jan 07 2011 07:00pm,Portland Trail Blazers,108,Minnesota Timberwolves,98,Box Score,0,12213,
Fri Jan 07 2011 08:00pm,Houston Rockets,95,Orlando Magic,110,Box Score,0,19107,
Fri Jan 07 2011 07:00pm,Chicago Bulls,99,Philadelphia 76ers,105,Box Score,0,15303,
Fri Jan 07 2011 08:30pm,New York Knicks,121,Phoenix Suns,96,Box Score,0,17621,
Fri Jan 07 2011 07:00pm,New Jersey Nets,77,Washington Wizards,97,Box Score,0,16017,
Sat Jan 08 2011 07:00pm,Indiana Pacers,93,Atlanta Hawks,108,Box Score,0,13547,
Sat Jan 08 2011 07:00pm,Washington Wizards,89,Charlotte Bobcats,104,Box Score,0,16038,
Sat Jan 08 2011 07:00pm,Boston Celtics,79,Chicago Bulls,90,Box Score,0,22663,
Sat Jan 08 2011 07:30pm,Orlando Magic,117,Dallas Mavericks,107,Box Score,0,20178,
Sat Jan 08 2011 07:30pm,Philadelphia 76ers,109,Detroit Pistons,112,Box Score,1,20038,
Sat Jan 08 2011 07:30pm,Utah Jazz,103,Houston Rockets,99,Box Score,1,16113,
Sat Jan 08 2011 07:00pm,Milwaukee Bucks,115,New Jersey Nets,92,Box Score,0,12898,
Sat Jan 08 2011 07:00pm,Memphis Grizzlies,100,Oklahoma City Thunder,109,Box Score,0,18203,
Sun Jan 09 2011 07:00pm,New Orleans Hornets,96,Denver Nuggets,87,Box Score,0,16283,
Sun Jan 09 2011 12:30pm,Golden State Warriors,91,Los Angeles Clippers,105,Box Score,0,17696,
Sun Jan 09 2011 06:30pm,New York Knicks,87,Los Angeles Lakers,109,Box Score,0,18997,
Sun Jan 09 2011 06:00pm,Cleveland Cavaliers,100,Phoenix Suns,108,Box Score,0,17031,
Sun Jan 09 2011 06:00pm,Miami Heat,107,Portland Trail Blazers,100,Box Score,1,20636,
Sun Jan 09 2011 06:00pm,Minnesota Timberwolves,91,San Antonio Spurs,94,Box Score,0,18581,
Sun Jan 09 2011 01:00pm,Sacramento Kings,112,Toronto Raptors,118,Box Score,0,17206,
Mon Jan 10 2011 07:30pm,Houston Rockets,108,Boston Celtics,102,Box Score,0,18624,
