Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Sat Jun 02 2007 08:30pm,Detroit Pistons,82,Cleveland Cavaliers,98,Box Score,0,20562,
Thu Jun 07 2007 08:00pm,Cleveland Cavaliers,76,San Antonio Spurs,85,Box Score,0,18797,
Sun Jun 10 2007 08:00pm,Cleveland Cavaliers,92,San Antonio Spurs,103,Box Score,0,18797,
Tue Jun 12 2007 09:00pm,San Antonio Spurs,75,Cleveland Cavaliers,72,Box Score,0,20562,
Thu Jun 14 2007 09:00pm,San Antonio Spurs,83,Cleveland Cavaliers,82,Box Score,0,20562,
