Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Mon Jan 01 2007 07:00pm,Minnesota Timberwolves,102,Charlotte Bobcats,96,Box Score,0,14827,
Mon Jan 01 2007 07:00pm,Boston Celtics,89,Portland Trail Blazers,81,Box Score,0,12156,
Tue Jan 02 2007 07:30pm,Phoenix Suns,97,Chicago Bulls,96,Box Score,0,22853,
Tue Jan 02 2007 07:00pm,San Antonio Spurs,78,Cleveland Cavaliers,82,Box Score,0,20214,
Tue Jan 02 2007 07:30pm,Seattle SuperSonics,88,Dallas Mavericks,112,Box Score,0,20245,
Tue Jan 02 2007 07:00pm,Philadelphia 76ers,108,Denver Nuggets,97,Box Score,0,17436,
Tue Jan 02 2007 07:00pm,Golden State Warriors,97,New Orleans/Oklahoma City Hornets,89,Box Score,0,16617,
Tue Jan 02 2007 07:00pm,Los Angeles Clippers,86,Orlando Magic,91,Box Score,0,17262,
Tue Jan 02 2007 07:00pm,New York Knicks,100,Sacramento Kings,112,Box Score,0,17317,
Wed Jan 03 2007 07:30pm,Cleveland Cavaliers,107,Boston Celtics,104,Box Score,0,18624,
Wed Jan 03 2007 07:30pm,Seattle SuperSonics,96,Houston Rockets,103,Box Score,0,11133,
Wed Jan 03 2007 07:00pm,Golden State Warriors,135,Memphis Grizzlies,144,Box Score,0,12176,
Wed Jan 03 2007 07:30pm,Los Angeles Clippers,110,Miami Heat,95,Box Score,0,19600,
Wed Jan 03 2007 07:00pm,San Antonio Spurs,101,Minnesota Timberwolves,103,Box Score,1,14185,
Wed Jan 03 2007 07:00pm,New York Knicks,99,Portland Trail Blazers,81,Box Score,0,13071,
Wed Jan 03 2007 07:00pm,Phoenix Suns,100,Toronto Raptors,98,Box Score,0,20063,
Wed Jan 03 2007 07:00pm,Philadelphia 76ers,87,Utah Jazz,98,Box Score,0,19911,
Wed Jan 03 2007 07:00pm,Milwaukee Bucks,105,Washington Wizards,108,Box Score,0,14632,
Thu Jan 04 2007 07:30pm,Indiana Pacers,91,Dallas Mavericks,100,Box Score,0,20398,
Thu Jan 04 2007 07:00pm,Detroit Pistons,92,New Orleans/Oklahoma City Hornets,68,Box Score,0,18079,
Thu Jan 04 2007 07:30pm,Los Angeles Lakers,132,Sacramento Kings,128,Box Score,1,17317,
Fri Jan 05 2007 07:30pm,Utah Jazz,86,Houston Rockets,100,Box Score,0,18059,
Fri Jan 05 2007 07:30pm,Denver Nuggets,104,Los Angeles Lakers,123,Box Score,0,18997,
Fri Jan 05 2007 07:00pm,Boston Celtics,128,Memphis Grizzlies,119,Box Score,0,15263,
Fri Jan 05 2007 07:30pm,Cleveland Cavaliers,95,Milwaukee Bucks,86,Box Score,0,18717,
Fri Jan 05 2007 07:00pm,Philadelphia 76ers,102,Minnesota Timberwolves,104,Box Score,1,14577,
Fri Jan 05 2007 07:30pm,Chicago Bulls,86,New Jersey Nets,91,Box Score,0,18569,
Fri Jan 05 2007 07:00pm,Charlotte Bobcats,74,Orlando Magic,106,Box Score,0,17154,
Fri Jan 05 2007 08:30pm,Miami Heat,80,Phoenix Suns,108,Box Score,0,18422,
Fri Jan 05 2007 07:00pm,Dallas Mavericks,90,San Antonio Spurs,85,Box Score,0,18797,
Fri Jan 05 2007 07:30pm,New York Knicks,111,Seattle SuperSonics,93,Box Score,0,16841,
Fri Jan 05 2007 07:00pm,Atlanta Hawks,92,Toronto Raptors,105,Box Score,0,17977,
Fri Jan 05 2007 07:00pm,Los Angeles Clippers,105,Washington Wizards,116,Box Score,0,20173,
Sat Jan 06 2007 07:00pm,Los Angeles Clippers,74,Atlanta Hawks,86,Box Score,0,13200,
Sat Jan 06 2007 07:30pm,Detroit Pistons,89,Chicago Bulls,106,Box Score,0,22865,
Sat Jan 06 2007 07:30pm,New Jersey Nets,91,Cleveland Cavaliers,96,Box Score,0,20562,
Sat Jan 06 2007 07:00pm,Utah Jazz,96,Denver Nuggets,84,Box Score,0,18341,
Sat Jan 06 2007 07:30pm,Seattle SuperSonics,104,Golden State Warriors,108,Box Score,0,17007,
Sat Jan 06 2007 07:00pm,Indiana Pacers,100,New Orleans/Oklahoma City Hornets,93,Box Score,0,17422,
Sat Jan 06 2007 07:00pm,Portland Trail Blazers,110,Sacramento Kings,105,Box Score,1,17317,
Sun Jan 07 2007 06:30pm,Dallas Mavericks,98,Los Angeles Lakers,101,Box Score,0,18997,
Sun Jan 07 2007 03:00pm,San Antonio Spurs,110,Memphis Grizzlies,96,Box Score,0,15227,
Sun Jan 07 2007 02:30pm,Houston Rockets,99,Minnesota Timberwolves,103,Box Score,1,17059,
Sun Jan 07 2007 06:00pm,Boston Celtics,79,Orlando Magic,87,Box Score,0,16868,
Sun Jan 07 2007 06:00pm,Golden State Warriors,105,Phoenix Suns,128,Box Score,0,18422,
Sun Jan 07 2007 06:00pm,Miami Heat,93,Portland Trail Blazers,90,Box Score,0,19980,
Sun Jan 07 2007 01:00pm,Washington Wizards,111,Toronto Raptors,116,Box Score,0,17981,
Mon Jan 08 2007 07:30pm,Houston Rockets,84,Chicago Bulls,77,Box Score,0,21983,
Mon Jan 08 2007 07:00pm,Milwaukee Bucks,92,Denver Nuggets,104,Box Score,0,14220,
Mon Jan 08 2007 07:00pm,Los Angeles Clippers,100,New Orleans/Oklahoma City Hornets,90,Box Score,0,15501,
Tue Jan 09 2007 07:00pm,Atlanta Hawks,72,Indiana Pacers,91,Box Score,0,13559,
Tue Jan 09 2007 07:00pm,Los Angeles Lakers,118,Memphis Grizzlies,128,Box Score,0,16651,
Tue Jan 09 2007 07:30pm,Toronto Raptors,86,New Jersey Nets,101,Box Score,0,14729,
Tue Jan 09 2007 07:00pm,Detroit Pistons,98,Philadelphia 76ers,89,Box Score,0,13385,
Tue Jan 09 2007 07:00pm,Seattle SuperSonics,102,Phoenix Suns,113,Box Score,0,18422,
Tue Jan 09 2007 07:00pm,Cleveland Cavaliers,108,Sacramento Kings,98,Box Score,0,17317,
Tue Jan 09 2007 07:00pm,Portland Trail Blazers,84,San Antonio Spurs,98,Box Score,0,18240,
Tue Jan 09 2007 07:00pm,Dallas Mavericks,108,Utah Jazz,105,Box Score,0,19911,
Wed Jan 10 2007 07:00pm,New Orleans/Oklahoma City Hornets,96,Atlanta Hawks,77,Box Score,0,10120,
Wed Jan 10 2007 07:30pm,Indiana Pacers,97,Boston Celtics,84,Box Score,0,17153,
Wed Jan 10 2007 07:30pm,Portland Trail Blazers,74,Dallas Mavericks,99,Box Score,0,20256,
Wed Jan 10 2007 07:00pm,San Antonio Spurs,92,Denver Nuggets,83,Box Score,0,16486,
Wed Jan 10 2007 07:30pm,Charlotte Bobcats,103,Detroit Pistons,96,Box Score,0,22076,
Wed Jan 10 2007 07:30pm,Orlando Magic,91,Golden State Warriors,76,Box Score,0,16877,
Wed Jan 10 2007 07:30pm,Los Angeles Lakers,77,Houston Rockets,102,Box Score,0,18331,
Wed Jan 10 2007 07:00pm,Toronto Raptors,90,Milwaukee Bucks,77,Box Score,0,16432,
Wed Jan 10 2007 07:00pm,Los Angeles Clippers,92,Minnesota Timberwolves,91,Box Score,0,14223,
Wed Jan 10 2007 07:30pm,Philadelphia 76ers,99,New York Knicks,106,Box Score,0,18931,
Wed Jan 10 2007 07:00pm,Miami Heat,107,Seattle SuperSonics,103,Box Score,0,15676,
Wed Jan 10 2007 07:00pm,Chicago Bulls,103,Washington Wizards,113,Box Score,0,20173,
Thu Jan 11 2007 07:00pm,New Jersey Nets,86,Chicago Bulls,83,Box Score,0,21931,
Thu Jan 11 2007 08:30pm,Cleveland Cavaliers,90,Phoenix Suns,109,Box Score,0,18422,
Fri Jan 12 2007 07:30pm,Detroit Pistons,93,Atlanta Hawks,99,Box Score,0,15449,
Fri Jan 12 2007 07:30pm,Toronto Raptors,95,Boston Celtics,86,Box Score,0,17191,
Fri Jan 12 2007 08:30pm,Houston Rockets,90,Denver Nuggets,86,Box Score,0,17333,
Fri Jan 12 2007 07:30pm,Miami Heat,118,Golden State Warriors,96,Box Score,0,18845,
Fri Jan 12 2007 07:00pm,Dallas Mavericks,115,Indiana Pacers,113,Box Score,1,15934,
Fri Jan 12 2007 07:30pm,Orlando Magic,106,Los Angeles Lakers,109,Box Score,0,18997,
Fri Jan 12 2007 07:00pm,Minnesota Timberwolves,116,Memphis Grizzlies,110,Box Score,0,16119,
Fri Jan 12 2007 07:00pm,Washington Wizards,97,New Orleans/Oklahoma City Hornets,104,Box Score,0,16899,
Fri Jan 12 2007 07:30pm,Charlotte Bobcats,126,New York Knicks,110,Box Score,0,19171,
Fri Jan 12 2007 07:00pm,Milwaukee Bucks,97,Philadelphia 76ers,110,Box Score,0,14261,
Fri Jan 12 2007 07:00pm,Sacramento Kings,87,Portland Trail Blazers,95,Box Score,0,14762,
Fri Jan 12 2007 07:30pm,Utah Jazz,114,Seattle SuperSonics,122,Box Score,1,15391,
Sat Jan 13 2007 07:00pm,Philadelphia 76ers,83,Charlotte Bobcats,89,Box Score,0,15081,
Sat Jan 13 2007 07:30pm,Memphis Grizzlies,66,Chicago Bulls,111,Box Score,0,22104,
Sat Jan 13 2007 07:30pm,Boston Celtics,73,Detroit Pistons,81,Box Score,0,22076,
Sat Jan 13 2007 07:30pm,Cleveland Cavaliers,104,Los Angeles Clippers,92,Box Score,0,20027,
Sat Jan 13 2007 07:00pm,New Jersey Nets,98,Minnesota Timberwolves,109,Box Score,0,16220,
Sat Jan 13 2007 07:00pm,Orlando Magic,101,Phoenix Suns,107,Box Score,0,18422,
Sat Jan 13 2007 07:00pm,Houston Rockets,115,Sacramento Kings,111,Box Score,1,17317,
Sat Jan 13 2007 07:00pm,Washington Wizards,80,San Antonio Spurs,93,Box Score,0,18797,
Sat Jan 13 2007 07:00pm,Miami Heat,119,Utah Jazz,110,Box Score,0,19911,
Sun Jan 14 2007 06:00pm,Denver Nuggets,109,Portland Trail Blazers,93,Box Score,0,16890,
Sun Jan 14 2007 01:00pm,Dallas Mavericks,97,Toronto Raptors,96,Box Score,0,19800,
Mon Jan 15 2007 02:00pm,Boston Celtics,96,Atlanta Hawks,100,Box Score,0,15234,
Mon Jan 15 2007 01:00pm,Milwaukee Bucks,99,Charlotte Bobcats,91,Box Score,0,14360,
Mon Jan 15 2007 01:00pm,San Antonio Spurs,87,Chicago Bulls,99,Box Score,0,22218,
Mon Jan 15 2007 03:30pm,Minnesota Timberwolves,94,Detroit Pistons,90,Box Score,1,22076,
Mon Jan 15 2007 01:00pm,Los Angeles Clippers,93,Golden State Warriors,108,Box Score,0,18371,
Mon Jan 15 2007 07:00pm,Miami Heat,118,Los Angeles Lakers,124,Box Score,1,18997,
Mon Jan 15 2007 06:30pm,Phoenix Suns,137,Memphis Grizzlies,122,Box Score,0,18119,
Mon Jan 15 2007 03:30pm,Indiana Pacers,95,New Jersey Nets,105,Box Score,0,17916,
Mon Jan 15 2007 01:00pm,Sacramento Kings,97,New York Knicks,102,Box Score,0,19207,
Mon Jan 15 2007 02:00pm,Toronto Raptors,104,Philadelphia 76ers,86,Box Score,0,12380,
Mon Jan 15 2007 01:00pm,Utah Jazz,111,Washington Wizards,114,Box Score,0,15524,
Tue Jan 16 2007 07:30pm,Houston Rockets,96,Dallas Mavericks,109,Box Score,0,20332,
Tue Jan 16 2007 07:00pm,Orlando Magic,78,New Orleans/Oklahoma City Hornets,84,Box Score,1,17610,
Tue Jan 16 2007 07:00pm,Cleveland Cavaliers,96,Seattle SuperSonics,101,Box Score,0,15619,
Wed Jan 17 2007 07:00pm,New Jersey Nets,92,Charlotte Bobcats,85,Box Score,0,13077,
Wed Jan 17 2007 07:30pm,Utah Jazz,100,Detroit Pistons,99,Box Score,0,22076,
Wed Jan 17 2007 07:30pm,Phoenix Suns,100,Houston Rockets,91,Box Score,0,18244,
Wed Jan 17 2007 07:30pm,Golden State Warriors,109,Los Angeles Clippers,115,Box Score,0,17385,
Wed Jan 17 2007 07:00pm,Philadelphia 76ers,102,Memphis Grizzlies,118,Box Score,0,14681,
Wed Jan 17 2007 07:00pm,Chicago Bulls,99,Milwaukee Bucks,90,Box Score,0,14386,
Wed Jan 17 2007 07:00pm,Atlanta Hawks,105,Minnesota Timberwolves,88,Box Score,0,11866,
Wed Jan 17 2007 07:00pm,Cleveland Cavaliers,76,Portland Trail Blazers,94,Box Score,0,19228,
Wed Jan 17 2007 08:00pm,Los Angeles Lakers,100,San Antonio Spurs,96,Box Score,0,18797,
Wed Jan 17 2007 07:00pm,Sacramento Kings,85,Toronto Raptors,101,Box Score,0,15175,
Wed Jan 17 2007 07:00pm,New York Knicks,98,Washington Wizards,99,Box Score,0,16503,
Thu Jan 18 2007 08:30pm,Los Angeles Lakers,95,Dallas Mavericks,114,Box Score,0,20446,
Thu Jan 18 2007 07:00pm,Indiana Pacers,101,Miami Heat,104,Box Score,0,19600,
Fri Jan 19 2007 07:30pm,Charlotte Bobcats,96,Atlanta Hawks,75,Box Score,0,10147,
Fri Jan 19 2007 07:30pm,Sacramento Kings,96,Boston Celtics,91,Box Score,0,16019,
Fri Jan 19 2007 08:30pm,Cleveland Cavaliers,99,Denver Nuggets,110,Box Score,0,19155,
Fri Jan 19 2007 07:00pm,Detroit Pistons,104,Minnesota Timberwolves,98,Box Score,2,20119,
Fri Jan 19 2007 07:30pm,New Jersey Nets,101,New York Knicks,100,Box Score,0,19763,
Fri Jan 19 2007 07:00pm,Washington Wizards,114,Orlando Magic,93,Box Score,0,17451,
Fri Jan 19 2007 07:00pm,Miami Heat,95,Philadelphia 76ers,98,Box Score,1,17569,
Fri Jan 19 2007 07:00pm,Portland Trail Blazers,101,Phoenix Suns,106,Box Score,0,18422,
Fri Jan 19 2007 07:00pm,New Orleans/Oklahoma City Hornets,86,San Antonio Spurs,99,Box Score,0,17153,
Fri Jan 19 2007 07:30pm,Milwaukee Bucks,72,Seattle SuperSonics,99,Box Score,0,16249,
Fri Jan 19 2007 07:00pm,Utah Jazz,102,Toronto Raptors,94,Box Score,0,17384,
