,Date,Time,Visitor,Vis_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
0,Tue Oct 30 2012,7:00 pm,Washington Wizards,84,Cleveland Cavaliers,94,Box Score,,20562,
1,Tue Oct 30 2012,10:30 pm,Dallas Mavericks,99,Los Angeles Lakers,91,Box Score,,18997,
2,Tue Oct 30 2012,8:00 pm,Boston Celtics,107,Miami Heat,120,Box Score,,20296,
3,Wed Oct 31 2012,8:00 pm,Sacramento Kings,87,Chicago Bulls,93,Box Score,,21313,
4,Wed Oct 31 2012,7:30 pm,Houston Rockets,105,Detroit Pistons,96,Box Score,,16646,
5,Wed Oct 31 2012,10:30 pm,Memphis Grizzlies,92,Los Angeles Clippers,101,Box Score,,19060,
6,Wed Oct 31 2012,8:00 pm,San Antonio Spurs,99,New Orleans Hornets,95,Box Score,,15358,
7,Wed Oct 31 2012,7:00 pm,Denver Nuggets,75,Philadelphia 76ers,84,Box Score,,19101,
8,Wed Oct 31 2012,10:00 pm,Golden State Warriors,87,Phoenix Suns,85,Box Score,,15678,
9,Wed Oct 31 2012,10:30 pm,Los Angeles Lakers,106,Portland Trail Blazers,116,Box Score,,20401,
10,Wed Oct 31 2012,7:00 pm,Indiana Pacers,90,Toronto Raptors,88,Box Score,,19800,
11,Wed Oct 31 2012,9:00 pm,Dallas Mavericks,94,Utah Jazz,113,Box Score,,17634,
12,Thu Nov 1 2012,9:30 pm,Oklahoma City Thunder,84,San Antonio Spurs,86,Box Score,,18581,
13,Fri Nov 2 2012,7:30 pm,Houston Rockets,109,Atlanta Hawks,102,Box Score,,18238,
14,Fri Nov 2 2012,7:30 pm,Milwaukee Bucks,99,Boston Celtics,88,Box Score,,18624,
15,Fri Nov 2 2012,7:00 pm,Indiana Pacers,89,Charlotte Bobcats,90,Box Score,,19124,
16,Fri Nov 2 2012,7:30 pm,Chicago Bulls,115,Cleveland Cavaliers,86,Box Score,,20562,
17,Fri Nov 2 2012,10:30 pm,Memphis Grizzlies,104,Golden State Warriors,94,Box Score,,19596,
18,Fri Nov 2 2012,10:30 pm,Los Angeles Clippers,105,Los Angeles Lakers,95,Box Score,,18997,
19,Fri Nov 2 2012,8:00 pm,Sacramento Kings,80,Minnesota Timberwolves,92,Box Score,,19356,
20,Fri Nov 2 2012,8:00 pm,Utah Jazz,86,New Orleans Hornets,88,Box Score,,14147,
21,Fri Nov 2 2012,8:00 pm,Miami Heat,84,New York Knicks,104,Box Score,,19033,
22,Fri Nov 2 2012,8:00 pm,Portland Trail Blazers,92,Oklahoma City Thunder,106,Box Score,,18203,
23,Fri Nov 2 2012,7:00 pm,Denver Nuggets,89,Orlando Magic,102,Box Score,,18846,
24,Fri Nov 2 2012,10:00 pm,Detroit Pistons,89,Phoenix Suns,92,Box Score,,15107,
25,Sat Nov 3 2012,7:30 pm,Toronto Raptors,100,Brooklyn Nets,107,Box Score,,17732,
26,Sat Nov 3 2012,8:00 pm,New Orleans Hornets,89,Chicago Bulls,82,Box Score,,21758,
27,Sat Nov 3 2012,8:30 pm,Charlotte Bobcats,99,Dallas Mavericks,126,Box Score,,19490,
28,Sat Nov 3 2012,8:00 pm,Portland Trail Blazers,95,Houston Rockets,85,Box Score,OT,18140,
29,Sat Nov 3 2012,7:00 pm,Sacramento Kings,98,Indiana Pacers,106,Box Score,2OT,18165,
30,Sat Nov 3 2012,10:30 pm,Golden State Warriors,114,Los Angeles Clippers,110,Box Score,,19060,
31,Sat Nov 3 2012,7:30 pm,Denver Nuggets,116,Miami Heat,119,Box Score,,20104,
32,Sat Nov 3 2012,8:30 pm,Cleveland Cavaliers,102,Milwaukee Bucks,105,Box Score,,17086,
33,Sat Nov 3 2012,8:30 pm,Utah Jazz,100,San Antonio Spurs,110,Box Score,,18581,
34,Sat Nov 3 2012,7:00 pm,Boston Celtics,89,Washington Wizards,86,Box Score,,20308,
35,Sun Nov 4 2012,9:30 pm,Detroit Pistons,79,Los Angeles Lakers,108,Box Score,,18997,
36,Sun Nov 4 2012,12:00 pm,Philadelphia 76ers,84,New York Knicks,100,Box Score,,19033,
37,Sun Nov 4 2012,7:00 pm,Atlanta Hawks,104,Oklahoma City Thunder,95,Box Score,,18203,
38,Sun Nov 4 2012,6:00 pm,Phoenix Suns,94,Orlando Magic,115,Box Score,,17022,
39,Sun Nov 4 2012,6:00 pm,Minnesota Timberwolves,86,Toronto Raptors,105,Box Score,,16754,
40,Mon Nov 5 2012,7:30 pm,Minnesota Timberwolves,107,Brooklyn Nets,96,Box Score,,14017,
41,Mon Nov 5 2012,8:30 pm,Portland Trail Blazers,91,Dallas Mavericks,114,Box Score,,19521,
42,Mon Nov 5 2012,10:30 pm,Cleveland Cavaliers,108,Los Angeles Clippers,101,Box Score,,19060,
43,Mon Nov 5 2012,8:00 pm,Utah Jazz,94,Memphis Grizzlies,103,Box Score,,17401,
44,Mon Nov 5 2012,7:30 pm,Phoenix Suns,99,Miami Heat,124,Box Score,,19600,
45,Mon Nov 5 2012,7:00 pm,New York Knicks,110,Philadelphia 76ers,88,Box Score,,15783,
46,Mon Nov 5 2012,10:00 pm,Golden State Warriors,92,Sacramento Kings,94,Box Score,,17317,
47,Mon Nov 5 2012,8:30 pm,Indiana Pacers,79,San Antonio Spurs,101,Box Score,,17158,
48,Tue Nov 6 2012,8:00 pm,Orlando Magic,93,Chicago Bulls,99,Box Score,,21216,
49,Tue Nov 6 2012,9:00 pm,Detroit Pistons,97,Denver Nuggets,109,Box Score,,19155,
50,Tue Nov 6 2012,8:00 pm,Toronto Raptors,88,Oklahoma City Thunder,108,Box Score,,18203,
51,Wed Nov 7 2012,7:30 pm,Indiana Pacers,86,Atlanta Hawks,89,Box Score,,10684,
52,Wed Nov 7 2012,7:30 pm,Washington Wizards,94,Boston Celtics,100,Box Score,OT,18624,
53,Wed Nov 7 2012,7:00 pm,Phoenix Suns,117,Charlotte Bobcats,110,Box Score,,13905,
54,Wed Nov 7 2012,8:30 pm,Toronto Raptors,104,Dallas Mavericks,109,Box Score,,19763,
55,Wed Nov 7 2012,10:30 pm,Cleveland Cavaliers,96,Golden State Warriors,106,Box Score,,18124,
56,Wed Nov 7 2012,8:00 pm,Denver Nuggets,93,Houston Rockets,87,Box Score,,13372,
57,Wed Nov 7 2012,10:30 pm,San Antonio Spurs,84,Los Angeles Clippers,106,Box Score,,19060,
58,Wed Nov 7 2012,7:30 pm,Brooklyn Nets,73,Miami Heat,103,Box Score,,19627,
59,Wed Nov 7 2012,8:00 pm,Memphis Grizzlies,108,Milwaukee Bucks,90,Box Score,,11465,
60,Wed Nov 7 2012,8:00 pm,Orlando Magic,75,Minnesota Timberwolves,90,Box Score,,17121,
61,Wed Nov 7 2012,8:00 pm,Philadelphia 76ers,77,New Orleans Hornets,62,Box Score,,12988,
62,Wed Nov 7 2012,10:00 pm,Detroit Pistons,103,Sacramento Kings,105,Box Score,,10185,
63,Wed Nov 7 2012,9:00 pm,Los Angeles Lakers,86,Utah Jazz,95,Box Score,,19911,
64,Thu Nov 8 2012,8:00 pm,Oklahoma City Thunder,97,Chicago Bulls,91,Box Score,,21737,
65,Thu Nov 8 2012,10:30 pm,Los Angeles Clippers,103,Portland Trail Blazers,90,Box Score,,20425,
66,Fri Nov 9 2012,7:30 pm,Miami Heat,95,Atlanta Hawks,89,Box Score,,16785,
67,Fri Nov 9 2012,7:30 pm,Philadelphia 76ers,106,Boston Celtics,100,Box Score,,18624,
68,Fri Nov 9 2012,10:30 pm,Utah Jazz,84,Denver Nuggets,104,Box Score,,15523,
69,Fri Nov 9 2012,10:30 pm,Golden State Warriors,77,Los Angeles Lakers,101,Box Score,,18997,
70,Fri Nov 9 2012,8:00 pm,Houston Rockets,85,Memphis Grizzlies,93,Box Score,,16087,
71,Fri Nov 9 2012,8:00 pm,Indiana Pacers,94,Minnesota Timberwolves,96,Box Score,,18222,
72,Fri Nov 9 2012,8:00 pm,Charlotte Bobcats,99,New Orleans Hornets,107,Box Score,,12668,
73,Fri Nov 9 2012,7:30 pm,Dallas Mavericks,94,New York Knicks,104,Box Score,,19033,
74,Fri Nov 9 2012,8:00 pm,Detroit Pistons,94,Oklahoma City Thunder,105,Box Score,,18203,
75,Fri Nov 9 2012,7:00 pm,Brooklyn Nets,107,Orlando Magic,68,Box Score,,17532,
76,Fri Nov 9 2012,9:00 pm,Cleveland Cavaliers,105,Phoenix Suns,107,Box Score,,15236,
77,Fri Nov 9 2012,10:00 pm,San Antonio Spurs,97,Sacramento Kings,86,Box Score,,13505,
78,Fri Nov 9 2012,7:00 pm,Milwaukee Bucks,101,Washington Wizards,91,Box Score,,14531,
79,Sat Nov 10 2012,7:30 pm,Dallas Mavericks,97,Charlotte Bobcats,101,Box Score,OT,15763,
80,Sat Nov 10 2012,8:00 pm,Minnesota Timberwolves,80,Chicago Bulls,87,Box Score,,21974,
81,Sat Nov 10 2012,10:30 pm,Denver Nuggets,107,Golden State Warriors,101,Box Score,2OT,19596,
82,Sat Nov 10 2012,8:00 pm,Detroit Pistons,82,Houston Rockets,96,Box Score,,15037,
83,Sat Nov 10 2012,7:00 pm,Washington Wizards,85,Indiana Pacers,89,Box Score,,12036,
84,Sat Nov 10 2012,8:30 pm,Boston Celtics,96,Milwaukee Bucks,92,Box Score,,14589,
85,Sat Nov 10 2012,10:00 pm,San Antonio Spurs,112,Portland Trail Blazers,109,Box Score,,20447,
86,Sat Nov 10 2012,7:00 pm,Philadelphia 76ers,93,Toronto Raptors,83,Box Score,,19800,
87,Sat Nov 10 2012,9:00 pm,Phoenix Suns,81,Utah Jazz,94,Box Score,,19100,
88,Sun Nov 11 2012,3:00 pm,Orlando Magic,74,Brooklyn Nets,82,Box Score,,16523,
89,Sun Nov 11 2012,3:30 pm,Atlanta Hawks,76,Los Angeles Clippers,89,Box Score,,19060,
90,Sun Nov 11 2012,9:30 pm,Sacramento Kings,90,Los Angeles Lakers,103,Box Score,,18997,
91,Sun Nov 11 2012,6:00 pm,Miami Heat,86,Memphis Grizzlies,104,Box Score,,18119,
92,Sun Nov 11 2012,7:00 pm,Cleveland Cavaliers,91,Oklahoma City Thunder,106,Box Score,,18203,
93,Mon Nov 12 2012,8:00 pm,Boston Celtics,101,Chicago Bulls,95,Box Score,,21712,
94,Mon Nov 12 2012,8:30 pm,Minnesota Timberwolves,90,Dallas Mavericks,82,Box Score,,19322,
95,Mon Nov 12 2012,7:30 pm,Oklahoma City Thunder,92,Detroit Pistons,90,Box Score,,12784,
96,Mon Nov 12 2012,8:00 pm,Miami Heat,113,Houston Rockets,110,Box Score,,18041,
97,Mon Nov 12 2012,7:00 pm,Milwaukee Bucks,105,Philadelphia 76ers,96,Box Score,,15086,
98,Mon Nov 12 2012,9:00 pm,Denver Nuggets,100,Phoenix Suns,110,Box Score,,14060,
99,Mon Nov 12 2012,10:00 pm,Atlanta Hawks,95,Portland Trail Blazers,87,Box Score,,19095,
100,Mon Nov 12 2012,7:00 pm,Utah Jazz,140,Toronto Raptors,133,Box Score,3OT,18230,
101,Tue Nov 13 2012,7:30 pm,Cleveland Cavaliers,101,Brooklyn Nets,114,Box Score,,17032,
102,Tue Nov 13 2012,7:00 pm,Washington Wizards,76,Charlotte Bobcats,92,Box Score,,11139,
103,Tue Nov 13 2012,7:00 pm,Toronto Raptors,74,Indiana Pacers,72,Box Score,,11947,
104,Tue Nov 13 2012,10:30 pm,San Antonio Spurs,84,Los Angeles Lakers,82,Box Score,,18997,
105,Tue Nov 13 2012,7:00 pm,New York Knicks,99,Orlando Magic,89,Box Score,,18846,
106,Tue Nov 13 2012,10:00 pm,Portland Trail Blazers,103,Sacramento Kings,86,Box Score,,10153,
107,Wed Nov 14 2012,7:30 pm,Utah Jazz,93,Boston Celtics,98,Box Score,,18624,
108,Wed Nov 14 2012,8:30 pm,Washington Wizards,101,Dallas Mavericks,107,Box Score,,19560,
