,Date,Time,Visitor,Vis_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
0,Tue Oct 30 2001,7:00 pm,Boston Celtics,108,Cleveland Cavaliers,89,Box Score,,17748,
1,Tue Oct 30 2001,8:30 pm,Detroit Pistons,87,Dallas Mavericks,94,Box Score,,19200,
2,Tue Oct 30 2001,8:30 pm,Atlanta Hawks,84,Houston Rockets,89,Box Score,OT,9500,
3,Tue Oct 30 2001,10:30 pm,Portland Trail Blazers,87,Los Angeles Lakers,98,Box Score,,18997,
4,Tue Oct 30 2001,8:00 pm,Philadelphia 76ers,74,Minnesota Timberwolves,83,Box Score,,18697,
5,Tue Oct 30 2001,7:30 pm,Indiana Pacers,97,New Jersey Nets,103,Box Score,,8749,
6,Tue Oct 30 2001,7:30 pm,Washington Wizards,91,New York Knicks,93,Box Score,,19763,
7,Tue Oct 30 2001,7:30 pm,Toronto Raptors,85,Orlando Magic,114,Box Score,,16088,
8,Tue Oct 30 2001,9:00 pm,Denver Nuggets,99,Phoenix Suns,96,Box Score,,16421,
9,Tue Oct 30 2001,10:00 pm,Seattle SuperSonics,95,Sacramento Kings,101,Box Score,,17317,
10,Tue Oct 30 2001,8:30 pm,Los Angeles Clippers,98,San Antonio Spurs,109,Box Score,,16803,
11,Tue Oct 30 2001,9:00 pm,Milwaukee Bucks,119,Utah Jazz,112,Box Score,OT,18845,
12,Wed Oct 31 2001,7:00 pm,New Jersey Nets,95,Boston Celtics,92,Box Score,,14158,
13,Wed Oct 31 2001,7:00 pm,Cleveland Cavaliers,94,Charlotte Hornets,100,Box Score,,9002,
14,Wed Oct 31 2001,8:30 pm,Indiana Pacers,98,Chicago Bulls,73,Box Score,,18163,
15,Wed Oct 31 2001,8:00 pm,Toronto Raptors,92,Miami Heat,97,Box Score,,16500,
16,Wed Oct 31 2001,10:00 pm,Golden State Warriors,87,Portland Trail Blazers,92,Box Score,,19980,
17,Thu Nov 1 2001,8:00 pm,Washington Wizards,98,Atlanta Hawks,88,Box Score,,20072,
18,Thu Nov 1 2001,9:00 pm,Milwaukee Bucks,102,Denver Nuggets,101,Box Score,,18634,
19,Thu Nov 1 2001,10:30 pm,Phoenix Suns,107,Golden State Warriors,101,Box Score,,14624,
20,Thu Nov 1 2001,8:30 pm,Los Angeles Clippers,92,Houston Rockets,98,Box Score,OT,9329,
21,Thu Nov 1 2001,8:00 pm,Detroit Pistons,90,Memphis Grizzlies,80,Box Score,,19405,
22,Thu Nov 1 2001,7:00 pm,Dallas Mavericks,99,Philadelphia 76ers,92,Box Score,,20230,
23,Thu Nov 1 2001,10:00 pm,San Antonio Spurs,108,Seattle SuperSonics,114,Box Score,,15491,
24,Thu Nov 1 2001,9:00 pm,Los Angeles Lakers,105,Utah Jazz,101,Box Score,,19539,
