,Date,Time,Visitor,Vis_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
0,Tue Oct 29 2013,7:00 pm,Orlando Magic,87,Indiana Pacers,97,Box Score,,18165,
1,Tue Oct 29 2013,10:30 pm,Los Angeles Clippers,103,Los Angeles Lakers,116,Box Score,,18997,
2,Tue Oct 29 2013,8:00 pm,Chicago Bulls,95,Miami Heat,107,Box Score,,19964,
3,Wed Oct 30 2013,7:00 pm,Brooklyn Nets,94,Cleveland Cavaliers,98,Box Score,,20562,
4,Wed Oct 30 2013,8:30 pm,Atlanta Hawks,109,Dallas Mavericks,118,Box Score,,19834,
5,Wed Oct 30 2013,7:30 pm,Washington Wizards,102,Detroit Pistons,113,Box Score,,19258,
6,Wed Oct 30 2013,10:30 pm,Los Angeles Lakers,94,Golden State Warriors,125,Box Score,,19596,
7,Wed Oct 30 2013,8:00 pm,Charlotte Bobcats,83,Houston Rockets,96,Box Score,,18083,
8,Wed Oct 30 2013,8:00 pm,Orlando Magic,115,Minnesota Timberwolves,120,Box Score,OT,17988,
9,Wed Oct 30 2013,8:00 pm,Indiana Pacers,95,New Orleans Pelicans,90,Box Score,,17803,
10,Wed Oct 30 2013,7:30 pm,Milwaukee Bucks,83,New York Knicks,90,Box Score,,19812,
11,Wed Oct 30 2013,7:00 pm,Miami Heat,110,Philadelphia 76ers,114,Box Score,,19523,
12,Wed Oct 30 2013,10:00 pm,Portland Trail Blazers,91,Phoenix Suns,104,Box Score,,17208,
13,Wed Oct 30 2013,10:00 pm,Denver Nuggets,88,Sacramento Kings,90,Box Score,,17317,
14,Wed Oct 30 2013,8:30 pm,Memphis Grizzlies,94,San Antonio Spurs,101,Box Score,,18581,
15,Wed Oct 30 2013,7:00 pm,Boston Celtics,87,Toronto Raptors,93,Box Score,,20155,
16,Wed Oct 30 2013,9:00 pm,Oklahoma City Thunder,101,Utah Jazz,98,Box Score,,19911,
17,Thu Oct 31 2013,8:00 pm,New York Knicks,81,Chicago Bulls,82,Box Score,,22022,
18,Thu Oct 31 2013,10:30 pm,Golden State Warriors,115,Los Angeles Clippers,126,Box Score,,19060,
19,Fri Nov 1 2013,7:30 pm,Toronto Raptors,95,Atlanta Hawks,102,Box Score,,18118,
