,Date,Time,Visitor,Vis_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
0,Tue Oct 31 2000,7:30 pm,Charlotte Hornets,106,Atlanta Hawks,82,Box Score,,18465,
1,Tue Oct 31 2000,8:30 pm,Sacramento Kings,100,Chicago Bulls,81,Box Score,,21814,
2,Tue Oct 31 2000,8:00 pm,Milwaukee Bucks,93,Dallas Mavericks,97,Box Score,,16600,
3,Tue Oct 31 2000,10:30 pm,Phoenix Suns,94,Golden State Warriors,96,Box Score,,15460,
4,Tue Oct 31 2000,8:30 pm,Minnesota Timberwolves,106,Houston Rockets,98,Box Score,,11327,
5,Tue Oct 31 2000,7:30 pm,Cleveland Cavaliers,86,New Jersey Nets,82,Box Score,,14505,
6,Tue Oct 31 2000,8:00 pm,Philadelphia 76ers,101,New York Knicks,72,Box Score,,19763,
7,Tue Oct 31 2000,7:30 pm,Washington Wizards,86,Orlando Magic,97,Box Score,,13349,
8,Tue Oct 31 2000,10:30 pm,Los Angeles Lakers,96,Portland Trail Blazers,86,Box Score,,20270,
9,Tue Oct 31 2000,8:30 pm,Indiana Pacers,85,San Antonio Spurs,98,Box Score,,17450,
10,Tue Oct 31 2000,8:00 pm,Detroit Pistons,104,Toronto Raptors,95,Box Score,,19800,
11,Tue Oct 31 2000,9:00 pm,Los Angeles Clippers,94,Utah Jazz,107,Box Score,,17824,
12,Tue Oct 31 2000,10:30 pm,Seattle SuperSonics,88,Vancouver Grizzlies,94,Box Score,,15779,
13,Wed Nov 1 2000,7:00 pm,Detroit Pistons,83,Boston Celtics,103,Box Score,,17725,
14,Wed Nov 1 2000,7:30 pm,Washington Wizards,95,Charlotte Hornets,77,Box Score,,16043,
15,Wed Nov 1 2000,7:30 pm,Sacramento Kings,100,Cleveland Cavaliers,102,Box Score,2OT,17695,
16,Wed Nov 1 2000,10:30 pm,Utah Jazz,97,Los Angeles Lakers,92,Box Score,,18997,
17,Wed Nov 1 2000,8:00 pm,Orlando Magic,79,Miami Heat,105,Box Score,,16500,
18,Wed Nov 1 2000,7:00 pm,Toronto Raptors,98,Philadelphia 76ers,104,Box Score,,19817,
19,Wed Nov 1 2000,10:00 pm,Denver Nuggets,99,Seattle SuperSonics,112,Box Score,,17072,
20,Thu Nov 2 2000,8:00 pm,Indiana Pacers,88,Dallas Mavericks,94,Box Score,,11750,
21,Thu Nov 2 2000,9:00 pm,Golden State Warriors,97,Denver Nuggets,101,Box Score,,15790,
