,Date,Time,Visitor,Vis_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
0,Tue Oct 28 2014,10:30 pm,Houston Rockets,108,Los Angeles Lakers,90,Box Score,,18997,
1,Tue Oct 28 2014,8:00 pm,Orlando Magic,84,New Orleans Pelicans,101,Box Score,,17097,
2,Tue Oct 28 2014,8:00 pm,Dallas Mavericks,100,San Antonio Spurs,101,Box Score,,19615,
3,Wed Oct 29 2014,7:30 pm,Brooklyn Nets,105,Boston Celtics,121,Box Score,,18624,
4,Wed Oct 29 2014,7:00 pm,Milwaukee Bucks,106,Charlotte Hornets,108,Box Score,OT,19439,
5,Wed Oct 29 2014,9:00 pm,Detroit Pistons,79,Denver Nuggets,89,Box Score,,17136,
6,Wed Oct 29 2014,7:00 pm,Philadelphia 76ers,91,Indiana Pacers,103,Box Score,,18165,
7,Wed Oct 29 2014,8:00 pm,Minnesota Timberwolves,101,Memphis Grizzlies,105,Box Score,,17731,
8,Wed Oct 29 2014,7:30 pm,Washington Wizards,95,Miami Heat,107,Box Score,,19744,
9,Wed Oct 29 2014,8:00 pm,Chicago Bulls,104,New York Knicks,80,Box Score,,19812,
10,Wed Oct 29 2014,10:00 pm,Los Angeles Lakers,99,Phoenix Suns,119,Box Score,,17523,
11,Wed Oct 29 2014,10:30 pm,Oklahoma City Thunder,89,Portland Trail Blazers,106,Box Score,,19441,
12,Wed Oct 29 2014,10:00 pm,Golden State Warriors,95,Sacramento Kings,77,Box Score,,17317,
13,Wed Oct 29 2014,7:30 pm,Atlanta Hawks,102,Toronto Raptors,109,Box Score,,19800,
14,Wed Oct 29 2014,9:00 pm,Houston Rockets,104,Utah Jazz,93,Box Score,,19911,
15,Thu Oct 30 2014,8:00 pm,New York Knicks,95,Cleveland Cavaliers,90,Box Score,,20562,
16,Thu Oct 30 2014,8:30 pm,Utah Jazz,102,Dallas Mavericks,120,Box Score,,19697,
17,Thu Oct 30 2014,10:30 pm,Oklahoma City Thunder,90,Los Angeles Clippers,93,Box Score,,19060,
18,Thu Oct 30 2014,8:00 pm,Detroit Pistons,91,Minnesota Timberwolves,97,Box Score,,18296,
19,Thu Oct 30 2014,7:00 pm,Washington Wizards,105,Orlando Magic,98,Box Score,,18846,
20,Fri Oct 31 2014,8:00 pm,Cleveland Cavaliers,114,Chicago Bulls,108,Box Score,OT,22879,
21,Fri Oct 31 2014,7:00 pm,Memphis Grizzlies,97,Indiana Pacers,89,Box Score,,14441,
22,Fri Oct 31 2014,10:30 pm,Los Angeles Clippers,118,Los Angeles Lakers,111,Box Score,,18997,
23,Fri Oct 31 2014,8:30 pm,Philadelphia 76ers,81,Milwaukee Bucks,93,Box Score,,18717,
24,Fri Oct 31 2014,10:00 pm,San Antonio Spurs,89,Phoenix Suns,94,Box Score,,15050,
25,Fri Oct 31 2014,10:00 pm,Portland Trail Blazers,94,Sacramento Kings,103,Box Score,,14648,
26,Sat Nov 1 2014,7:30 pm,Indiana Pacers,92,Atlanta Hawks,102,Box Score,,19118,
27,Sat Nov 1 2014,7:00 pm,Memphis Grizzlies,71,Charlotte Hornets,69,Box Score,,18133,
28,Sat Nov 1 2014,7:30 pm,Brooklyn Nets,102,Detroit Pistons,90,Box Score,,19904,
29,Sat Nov 1 2014,10:30 pm,Los Angeles Lakers,104,Golden State Warriors,127,Box Score,,19596,
30,Sat Nov 1 2014,8:00 pm,Boston Celtics,90,Houston Rockets,104,Box Score,,18309,
31,Sat Nov 1 2014,8:00 pm,Chicago Bulls,106,Minnesota Timberwolves,105,Box Score,,19356,
32,Sat Nov 1 2014,7:00 pm,Dallas Mavericks,109,New Orleans Pelicans,104,Box Score,,14547,
