,Date,Time,Visitor,Vis_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
0,Tue Oct 25 2016,7:30 pm,New York Knicks,88,Cleveland Cavaliers,117,Box Score,,20562,
1,Tue Oct 25 2016,10:30 pm,San Antonio Spurs,129,Golden State Warriors,100,Box Score,,19596,
2,Tue Oct 25 2016,10:00 pm,Utah Jazz,104,Portland Trail Blazers,113,Box Score,,19446,
3,Wed Oct 26 2016,7:30 pm,Brooklyn Nets,117,Boston Celtics,122,Box Score,,18624,
4,Wed Oct 26 2016,7:00 pm,Dallas Mavericks,121,Indiana Pacers,130,Box Score,OT,17923,
5,Wed Oct 26 2016,10:30 pm,Houston Rockets,114,Los Angeles Lakers,120,Box Score,,18997,
6,Wed Oct 26 2016,8:00 pm,Minnesota Timberwolves,98,Memphis Grizzlies,102,Box Score,,18119,
7,Wed Oct 26 2016,8:00 pm,Charlotte Hornets,107,Milwaukee Bucks,96,Box Score,,18717,
8,Wed Oct 26 2016,8:00 pm,Denver Nuggets,107,New Orleans Pelicans,102,Box Score,,15869,
9,Wed Oct 26 2016,7:00 pm,Miami Heat,108,Orlando Magic,96,Box Score,,19298,
10,Wed Oct 26 2016,8:00 pm,Oklahoma City Thunder,103,Philadelphia 76ers,97,Box Score,,20487,
11,Wed Oct 26 2016,10:00 pm,Sacramento Kings,113,Phoenix Suns,94,Box Score,,18055,
12,Wed Oct 26 2016,7:30 pm,Detroit Pistons,91,Toronto Raptors,109,Box Score,,19800,
13,Thu Oct 27 2016,7:30 pm,Washington Wizards,99,Atlanta Hawks,114,Box Score,,19049,
14,Thu Oct 27 2016,8:00 pm,Boston Celtics,99,Chicago Bulls,105,Box Score,,21501,
15,Thu Oct 27 2016,10:30 pm,Los Angeles Clippers,114,Portland Trail Blazers,106,Box Score,,19500,
16,Thu Oct 27 2016,10:30 pm,San Antonio Spurs,102,Sacramento Kings,94,Box Score,,17608,
17,Fri Oct 28 2016,7:30 pm,Indiana Pacers,94,Brooklyn Nets,103,Box Score,,17732,
18,Fri Oct 28 2016,8:30 pm,Houston Rockets,106,Dallas Mavericks,98,Box Score,,20163,
19,Fri Oct 28 2016,7:30 pm,Orlando Magic,82,Detroit Pistons,108,Box Score,,19122,
20,Fri Oct 28 2016,8:00 pm,Charlotte Hornets,97,Miami Heat,91,Box Score,,19600,
21,Fri Oct 28 2016,9:30 pm,Golden State Warriors,122,New Orleans Pelicans,114,Box Score,,18217,
22,Fri Oct 28 2016,8:00 pm,Phoenix Suns,110,Oklahoma City Thunder,113,Box Score,OT,18203,
23,Fri Oct 28 2016,7:00 pm,Cleveland Cavaliers,94,Toronto Raptors,91,Box Score,,19800,
24,Fri Oct 28 2016,9:00 pm,Los Angeles Lakers,89,Utah Jazz,96,Box Score,,19911,
25,Sat Oct 29 2016,8:00 pm,Indiana Pacers,101,Chicago Bulls,118,Box Score,,21373,
26,Sat Oct 29 2016,7:00 pm,Boston Celtics,104,Charlotte Hornets,98,Box Score,,18708,
27,Sat Oct 29 2016,7:30 pm,Orlando Magic,99,Cleveland Cavaliers,105,Box Score,,20562,
28,Sat Oct 29 2016,9:00 pm,Portland Trail Blazers,115,Denver Nuggets,113,Box Score,OT,18055,
29,Sat Oct 29 2016,8:00 pm,Brooklyn Nets,108,Milwaukee Bucks,110,Box Score,,12570,
30,Sat Oct 29 2016,7:30 pm,Memphis Grizzlies,104,New York Knicks,111,Box Score,,19812,
31,Sat Oct 29 2016,12:30 pm,Atlanta Hawks,104,Philadelphia 76ers,72,Box Score,,16312,
32,Sat Oct 29 2016,10:30 pm,Minnesota Timberwolves,103,Sacramento Kings,106,Box Score,,17608,
33,Sat Oct 29 2016,8:00 pm,New Orleans Pelicans,79,San Antonio Spurs,98,Box Score,,18418,
34,Sun Oct 30 2016,6:00 pm,Milwaukee Bucks,83,Detroit Pistons,98,Box Score,,15161,
35,Sun Oct 30 2016,8:00 pm,Dallas Mavericks,92,Houston Rockets,93,Box Score,,18055,
36,Sun Oct 30 2016,4:30 pm,Utah Jazz,75,Los Angeles Clippers,88,Box Score,,19060,
37,Sun Oct 30 2016,8:00 pm,Washington Wizards,103,Memphis Grizzlies,112,Box Score,OT,15573,
38,Sun Oct 30 2016,6:00 pm,San Antonio Spurs,106,Miami Heat,99,Box Score,,19678,
39,Sun Oct 30 2016,7:00 pm,Los Angeles Lakers,96,Oklahoma City Thunder,113,Box Score,,18203,
40,Sun Oct 30 2016,6:00 pm,Golden State Warriors,106,Phoenix Suns,100,Box Score,,17011,
41,Mon Oct 31 2016,7:30 pm,Sacramento Kings,95,Atlanta Hawks,106,Box Score,,12501,
42,Mon Oct 31 2016,7:30 pm,Chicago Bulls,118,Brooklyn Nets,88,Box Score,,15842,
43,Mon Oct 31 2016,10:30 pm,Phoenix Suns,98,Los Angeles Clippers,116,Box Score,,19060,
44,Mon Oct 31 2016,7:30 pm,Denver Nuggets,102,Toronto Raptors,105,Box Score,,19800,
45,Tue Nov 1 2016,6:00 pm,Houston Rockets,120,Cleveland Cavaliers,128,Box Score,,20562,
46,Tue Nov 1 2016,7:30 pm,New York Knicks,89,Detroit Pistons,102,Box Score,,13087,
47,Tue Nov 1 2016,7:00 pm,Los Angeles Lakers,108,Indiana Pacers,115,Box Score,,15348,
48,Tue Nov 1 2016,7:30 pm,Sacramento Kings,96,Miami Heat,108,Box Score,OT,19612,
49,Tue Nov 1 2016,8:00 pm,Memphis Grizzlies,80,Minnesota Timberwolves,116,Box Score,,14774,
50,Tue Nov 1 2016,8:00 pm,Milwaukee Bucks,117,New Orleans Pelicans,113,Box Score,,15515,
51,Tue Nov 1 2016,7:00 pm,Orlando Magic,103,Philadelphia 76ers,101,Box Score,,12529,
52,Tue Nov 1 2016,10:00 pm,Golden State Warriors,127,Portland Trail Blazers,104,Box Score,,19393,
53,Tue Nov 1 2016,8:30 pm,Utah Jazz,106,San Antonio Spurs,91,Box Score,,18418,
54,Wed Nov 2 2016,7:30 pm,Los Angeles Lakers,123,Atlanta Hawks,116,Box Score,,13800,
55,Wed Nov 2 2016,8:00 pm,Chicago Bulls,100,Boston Celtics,107,Box Score,,18624,
56,Wed Nov 2 2016,7:30 pm,Detroit Pistons,101,Brooklyn Nets,109,Box Score,,13650,
57,Wed Nov 2 2016,7:00 pm,Philadelphia 76ers,93,Charlotte Hornets,109,Box Score,,15275,
58,Wed Nov 2 2016,10:30 pm,Oklahoma City Thunder,85,Los Angeles Clippers,83,Box Score,,19060,
59,Wed Nov 2 2016,8:00 pm,New Orleans Pelicans,83,Memphis Grizzlies,89,Box Score,OT,15881,
60,Wed Nov 2 2016,7:30 pm,Houston Rockets,118,New York Knicks,99,Box Score,,19812,
61,Wed Nov 2 2016,10:00 pm,Portland Trail Blazers,115,Phoenix Suns,118,Box Score,OT,17284,
62,Wed Nov 2 2016,9:00 pm,Dallas Mavericks,81,Utah Jazz,97,Box Score,,19318,
63,Wed Nov 2 2016,7:00 pm,Toronto Raptors,113,Washington Wizards,103,Box Score,,19581,
64,Thu Nov 3 2016,8:00 pm,Boston Celtics,122,Cleveland Cavaliers,128,Box Score,,20562,
65,Thu Nov 3 2016,10:30 pm,Oklahoma City Thunder,96,Golden State Warriors,122,Box Score,,19596,
66,Thu Nov 3 2016,8:00 pm,Indiana Pacers,107,Milwaukee Bucks,125,Box Score,,11374,
67,Thu Nov 3 2016,8:00 pm,Denver Nuggets,102,Minnesota Timberwolves,99,Box Score,,11219,
68,Thu Nov 3 2016,7:00 pm,Sacramento Kings,94,Orlando Magic,102,Box Score,,17026,
69,Fri Nov 4 2016,7:30 pm,Charlotte Hornets,99,Brooklyn Nets,95,Box Score,,15775,
70,Fri Nov 4 2016,8:00 pm,New York Knicks,117,Chicago Bulls,104,Box Score,,22376,
71,Fri Nov 4 2016,8:30 pm,Portland Trail Blazers,105,Dallas Mavericks,95,Box Score,,19475,
72,Fri Nov 4 2016,10:30 pm,Golden State Warriors,97,Los Angeles Lakers,117,Box Score,,18997,
73,Fri Nov 4 2016,8:00 pm,Los Angeles Clippers,99,Memphis Grizzlies,88,Box Score,,17115,
74,Fri Nov 4 2016,8:00 pm,Phoenix Suns,112,New Orleans Pelicans,111,Box Score,OT,15379,
75,Fri Nov 4 2016,7:30 pm,Miami Heat,87,Toronto Raptors,96,Box Score,,19800,
76,Fri Nov 4 2016,9:00 pm,San Antonio Spurs,100,Utah Jazz,86,Box Score,,19911,
77,Fri Nov 4 2016,7:00 pm,Atlanta Hawks,92,Washington Wizards,95,Box Score,,14663,
78,Sat Nov 5 2016,7:30 pm,Houston Rockets,97,Atlanta Hawks,112,Box Score,,16895,
79,Sat Nov 5 2016,7:00 pm,Denver Nuggets,86,Detroit Pistons,103,Box Score,,16218,
80,Sat Nov 5 2016,7:00 pm,Chicago Bulls,94,Indiana Pacers,111,Box Score,,17020,
81,Sat Nov 5 2016,8:00 pm,Sacramento Kings,91,Milwaukee Bucks,117,Box Score,,16021,
82,Sat Nov 5 2016,6:00 pm,Minnesota Timberwolves,92,Oklahoma City Thunder,112,Box Score,,18203,
83,Sat Nov 5 2016,7:00 pm,Washington Wizards,86,Orlando Magic,88,Box Score,,18846,
84,Sat Nov 5 2016,7:00 pm,Cleveland Cavaliers,102,Philadelphia 76ers,101,Box Score,,20497,
85,Sat Nov 5 2016,8:30 pm,Los Angeles Clippers,116,San Antonio Spurs,92,Box Score,,18418,
86,Sun Nov 6 2016,7:30 pm,Denver Nuggets,123,Boston Celtics,107,Box Score,,17452,
87,Sun Nov 6 2016,7:00 pm,Milwaukee Bucks,75,Dallas Mavericks,86,Box Score,OT,19345,
88,Sun Nov 6 2016,9:30 pm,Phoenix Suns,108,Los Angeles Lakers,119,Box Score,,18997,
89,Sun Nov 6 2016,3:30 pm,Portland Trail Blazers,100,Memphis Grizzlies,94,Box Score,,16233,
90,Sun Nov 6 2016,12:00 pm,Utah Jazz,114,New York Knicks,109,Box Score,,19812,
91,Sun Nov 6 2016,6:00 pm,Sacramento Kings,96,Toronto Raptors,91,Box Score,,19800,
92,Mon Nov 7 2016,8:00 pm,Orlando Magic,80,Chicago Bulls,112,Box Score,,21320,
93,Mon Nov 7 2016,7:00 pm,Indiana Pacers,100,Charlotte Hornets,122,Box Score,,16880,
94,Mon Nov 7 2016,10:30 pm,New Orleans Pelicans,106,Golden State Warriors,116,Box Score,,19596,
95,Mon Nov 7 2016,10:30 pm,Detroit Pistons,82,Los Angeles Clippers,114,Box Score,,19060,
96,Mon Nov 7 2016,8:00 pm,Miami Heat,85,Oklahoma City Thunder,97,Box Score,,18203,
97,Mon Nov 7 2016,7:00 pm,Utah Jazz,109,Philadelphia 76ers,84,Box Score,,14168,
98,Mon Nov 7 2016,7:00 pm,Houston Rockets,114,Washington Wizards,106,Box Score,,13173,
99,Tue Nov 8 2016,7:30 pm,Minnesota Timberwolves,110,Brooklyn Nets,119,Box Score,,13610,
100,Tue Nov 8 2016,7:00 pm,Atlanta Hawks,110,Cleveland Cavaliers,106,Box Score,,20562,
101,Tue Nov 8 2016,10:30 pm,Dallas Mavericks,109,Los Angeles Lakers,97,Box Score,,18997,
102,Tue Nov 8 2016,8:00 pm,Denver Nuggets,107,Memphis Grizzlies,108,Box Score,,15109,
103,Tue Nov 8 2016,10:00 pm,Phoenix Suns,121,Portland Trail Blazers,124,Box Score,,19239,
104,Tue Nov 8 2016,10:30 pm,New Orleans Pelicans,94,Sacramento Kings,102,Box Score,,17608,
105,Wed Nov 9 2016,7:30 pm,Chicago Bulls,107,Atlanta Hawks,115,Box Score,,16354,
106,Wed Nov 9 2016,7:00 pm,Utah Jazz,98,Charlotte Hornets,104,Box Score,,15712,
107,Wed Nov 9 2016,10:30 pm,Dallas Mavericks,95,Golden State Warriors,116,Box Score,,19596,
108,Wed Nov 9 2016,7:00 pm,Philadelphia 76ers,115,Indiana Pacers,122,Box Score,OT,15360,
109,Wed Nov 9 2016,10:30 pm,Portland Trail Blazers,80,Los Angeles Clippers,111,Box Score,,19060,
110,Wed Nov 9 2016,7:00 pm,Brooklyn Nets,96,New York Knicks,110,Box Score,,19812,
111,Wed Nov 9 2016,8:00 pm,Toronto Raptors,112,Oklahoma City Thunder,102,Box Score,,18203,
112,Wed Nov 9 2016,7:00 pm,Minnesota Timberwolves,123,Orlando Magic,107,Box Score,,17102,
113,Wed Nov 9 2016,9:00 pm,Detroit Pistons,100,Phoenix Suns,107,Box Score,,16719,
