,Date,Visitor,Visitor_PTS,Home,Home_PTS,Day,Day_Num,Spread,Winner,Home_TotalWins,Home_TotalLosses,Home_HomeWins,Home_HomeLosses,Home_Streak,Home_CumSpread,Home_AvgSpread,Home_CumPts,Home_AvgPts,Home_GamesPlayed,Home_DaysPast,Visitor_TotalWins,Visitor_TotalLosses,Visitor_VisitorWins,Visitor_VisitorLosses,Visitor_Streak,Visitor_CumSpread,Visitor_AvgSpread,Visitor_CumPts,Visitor_AvgPts,Visitor_GamesPlayed,Visitor_DaysPast
26,2006-11-03 19:00:00,Philadelphia 76ers,105,Orlando Magic,103,Fri,6,-2,0,1,0,1,0,1,15,15.0,109,109.0,1,2.0,1,0,0,0,1,13,13.0,88,88.0,1,2.0
27,2006-11-03 19:00:00,Utah Jazz,108,Phoenix Suns,104,Fri,6,-4,0,1,1,1,0,1,0,0.0,218,109.0,2,1.9375,1,0,0,0,1,10,10.0,107,107.0,1,2.0
28,2006-11-03 19:00:00,Cleveland Cavaliers,88,San Antonio Spurs,81,Fri,6,-7,0,1,0,0,0,1,6,6.0,97,97.0,1,1.0,1,0,0,0,1,3,3.0,97,97.0,1,1.9583333333333333
29,2006-11-03 19:00:00,Milwaukee Bucks,92,Toronto Raptors,109,Fri,6,17,1,0,1,0,0,-1,-10,-10.0,92,92.0,1,1.9791666666666667,1,0,1,0,1,8,8.0,105,105.0,1,1.9583333333333333
30,2006-11-04 19:00:00,Cleveland Cavaliers,88,Charlotte Bobcats,92,Sat,7,4,1,0,2,0,1,-2,-20,-10.0,182,91.0,2,1.0,2,0,1,0,2,10,5.0,185,92.5,2,1.0
31,2006-11-04 19:30:00,Memphis Grizzlies,86,Detroit Pistons,95,Sat,7,9,1,1,1,0,1,1,5,2.5,198,99.0,2,1.0,1,1,0,0,1,12,6.0,213,106.5,2,1.0208333333333333
32,2006-11-04 19:30:00,Dallas Mavericks,76,Houston Rockets,107,Sat,7,31,1,0,1,0,0,-1,-10,-10.0,97,97.0,1,3.0208333333333335,0,1,0,0,-1,-6,-6.0,91,91.0,1,2.0208333333333335
33,2006-11-04 19:30:00,Phoenix Suns,108,Los Angeles Clippers,114,Sat,7,6,1,1,1,1,0,1,-7,-3.5,200,100.0,2,2.0,1,2,0,1,-1,-4,-1.3333333333333333,322,107.33333333333333,3,1.0208333333333333
34,2006-11-04 19:30:00,Sacramento Kings,91,Milwaukee Bucks,104,Sat,7,13,1,1,1,0,0,-1,-9,-4.5,197,98.5,2,1.0208333333333333,1,1,1,1,1,-8,-4.0,172,86.0,2,1.0
35,2006-11-04 19:30:00,Indiana Pacers,109,New York Knicks,95,Sat,7,-14,0,1,1,0,0,-1,-9,-4.5,210,105.0,2,1.0,1,1,1,0,-1,-2,-1.0,197,98.5,2,1.0208333333333333
36,2006-11-04 19:00:00,Minnesota Timberwolves,86,Portland Trail Blazers,88,Sat,7,2,1,1,1,0,0,-1,-9,-4.5,199,99.5,2,0.9791666666666666,2,0,1,0,2,12,6.0,204,102.0,2,1.0
37,2006-11-04 19:00:00,Golden State Warriors,82,Utah Jazz,106,Sat,7,24,1,2,0,1,0,2,14,7.0,215,107.5,2,1.0,1,1,0,0,1,1,0.5,200,100.0,2,0.9791666666666666
38,2006-11-04 19:00:00,Boston Celtics,117,Washington Wizards,124,Sat,7,7,1,0,1,0,0,-1,-3,-3.0,94,94.0,1,2.9583333333333335,0,2,0,0,-2,-17,-8.5,175,87.5,2,0.9791666666666666
39,2006-11-05 14:00:00,Orlando Magic,82,Atlanta Hawks,95,Sun,1,13,1,1,1,1,0,1,-3,-1.5,177,88.5,2,1.7708333333333333,1,1,0,0,-1,13,6.5,212,106.0,2,1.7916666666666667
40,2006-11-05 18:00:00,Houston Rockets,90,New Orleans/Oklahoma City Hornets,96,Sun,1,6,1,2,0,0,0,2,13,6.5,191,95.5,2,1.9583333333333333,1,1,0,1,1,21,10.5,204,102.0,2,0.9375
41,2006-11-05 14:00:00,Miami Heat,98,Philadelphia 76ers,107,Sun,1,9,1,2,0,1,0,2,15,7.5,193,96.5,2,1.7916666666666667,1,1,0,0,1,-36,-18.0,157,78.5,2,1.7708333333333333
42,2006-11-05 18:00:00,Los Angeles Lakers,101,Seattle SuperSonics,117,Sun,1,16,1,0,2,0,1,-2,-10,-5.0,218,109.0,2,1.9375,3,0,1,0,3,26,8.666666666666666,342,114.0,3,1.9375
43,2006-11-05 13:00:00,San Antonio Spurs,103,Toronto Raptors,94,Sun,1,-9,0,1,1,1,0,1,7,3.5,201,100.5,2,1.75,1,1,1,0,-1,-1,-0.5,178,89.0,2,1.75
44,2006-11-06 19:30:00,Milwaukee Bucks,85,Chicago Bulls,110,Mon,2,25,1,1,2,0,1,-2,26,8.666666666666666,290,96.66666666666667,3,3.0000000000000004,2,1,1,1,1,4,1.3333333333333333,301,100.33333333333333,3,2.0
45,2006-11-06 19:30:00,Golden State Warriors,107,Dallas Mavericks,104,Mon,2,-3,0,0,2,0,1,-2,-37,-18.5,167,83.5,2,2.0,1,2,0,1,-1,-23,-7.666666666666667,282,94.0,3,2.0208333333333335
