,Date,Visitor,Visitor_PTS,Home,Home_PTS,Day,Day_Num,Spread,Winner,Home_TotalWins,Home_TotalLosses,Home_HomeWins,Home_HomeLosses,Home_Streak,Home_CumSpread,Home_AvgSpread,Home_CumPts,Home_AvgPts,Home_GamesPlayed,Home_DaysPast,Visitor_TotalWins,Visitor_TotalLosses,Visitor_VisitorWins,Visitor_VisitorLosses,Visitor_Streak,Visitor_CumSpread,Visitor_AvgSpread,Visitor_CumPts,Visitor_AvgPts,Visitor_GamesPlayed,Visitor_DaysPast
0,2002-10-29 19:30:00,San Antonio Spurs,87,Los Angeles Lakers,82,Tue,3,-5,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
1,2002-10-29 19:30:00,Philadelphia 76ers,88,Orlando Magic,95,Tue,3,7,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
2,2002-10-29 19:00:00,Cleveland Cavaliers,67,Sacramento Kings,94,Tue,3,27,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
3,2002-10-30 19:00:00,Chicago Bulls,99,Boston Celtics,96,Wed,4,-3,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
4,2002-10-30 20:00:00,New York Knicks,77,Detroit Pistons,86,Wed,4,9,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
5,2002-10-30 19:30:00,San Antonio Spurs,98,Golden State Warriors,106,Wed,4,8,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,1,0,1,0,1,5,5.0,87,87.0,1,1.0
6,2002-10-30 19:00:00,Houston Rockets,82,Indiana Pacers,91,Wed,4,9,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
7,2002-10-30 19:30:00,Cleveland Cavaliers,98,Los Angeles Clippers,96,Wed,4,-2,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,1,0,1,-1,-27,-27.0,67,67.0,1,1.0208333333333333
8,2002-10-30 19:00:00,Dallas Mavericks,119,Memphis Grizzlies,108,Wed,4,-11,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
9,2002-10-30 19:30:00,Orlando Magic,100,Miami Heat,86,Wed,4,-14,0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,1,0,0,0,1,7,7.0,95,95.0,1,1.0
10,2002-10-30 19:00:00,Denver Nuggets,77,Minnesota Timberwolves,83,Wed,4,6,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
11,2002-10-30 19:30:00,Atlanta Hawks,94,New Jersey Nets,105,Wed,4,11,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
12,2002-10-30 19:30:00,Utah Jazz,75,New Orleans Hornets,100,Wed,4,25,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
13,2002-10-30 19:00:00,Milwaukee Bucks,93,Philadelphia 76ers,95,Wed,4,2,1,0,1,0,0,-1,-7,-7.0,88,88.0,1,0.9791666666666666,0,0,0,0,0,0,0.0,0,0.0,0,0.0
14,2002-10-30 18:30:00,Los Angeles Lakers,90,Portland Trail Blazers,102,Wed,4,12,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,1,0,0,-1,-5,-5.0,82,82.0,1,0.9583333333333334
15,2002-10-30 19:00:00,Phoenix Suns,73,Seattle SuperSonics,86,Wed,4,13,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
16,2002-10-30 19:00:00,Washington Wizards,68,Toronto Raptors,74,Wed,4,6,1,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0
17,2002-10-31 19:30:00,Utah Jazz,98,Atlanta Hawks,105,Thu,5,7,1,0,1,0,0,-1,-11,-11.0,94,94.0,1,1.0,0,1,0,1,-1,-25,-25.0,75,75.0,1,1.0
18,2002-10-31 19:00:00,Portland Trail Blazers,72,Sacramento Kings,100,Thu,5,28,1,1,0,1,0,1,27,27.0,94,94.0,1,2.0,1,0,0,0,1,12,12.0,102,102.0,1,1.0208333333333333
19,2002-10-31 19:30:00,Boston Celtics,69,Washington Wizards,114,Thu,5,45,1,0,1,0,0,-1,-6,-6.0,68,68.0,1,1.0208333333333333,0,1,0,0,-1,-3,-3.0,96,96.0,1,1.0208333333333333
20,2002-11-01 19:30:00,New Orleans Hornets,79,Chicago Bulls,84,Fri,6,5,1,1,0,0,0,1,3,3.0,99,99.0,1,2.0208333333333335,1,0,0,0,1,25,25.0,100,100.0,1,2.0
21,2002-11-01 19:00:00,Houston Rockets,83,Denver Nuggets,74,Fri,6,-9,0,0,1,0,0,-1,-6,-6.0,77,77.0,1,2.0,0,1,0,1,-1,-9,-9.0,82,82.0,1,2.0
22,2002-11-01 20:00:00,Memphis Grizzlies,86,Detroit Pistons,109,Fri,6,23,1,1,0,1,0,1,9,9.0,86,86.0,1,2.0,0,1,0,0,-1,-11,-11.0,108,108.0,1,2.0416666666666665
23,2002-11-01 19:30:00,Seattle SuperSonics,106,Golden State Warriors,93,Fri,6,-13,0,1,0,1,0,1,8,8.0,106,106.0,1,2.0,1,0,0,0,1,13,13.0,86,86.0,1,2.0208333333333335
24,2002-11-01 19:30:00,Los Angeles Lakers,108,Los Angeles Clippers,93,Fri,6,-15,0,0,1,0,1,-1,-2,-2.0,96,96.0,1,2.0,0,2,0,1,-2,-17,-8.5,172,86.0,2,2.0416666666666665
25,2002-11-01 19:00:00,Orlando Magic,105,Minnesota Timberwolves,111,Fri,6,6,1,1,0,1,0,1,6,6.0,83,83.0,1,2.0,2,0,1,0,2,21,10.5,195,97.5,2,1.9791666666666667
26,2002-11-01 19:30:00,Indiana Pacers,91,New Jersey Nets,102,Fri,6,11,1,1,0,1,0,1,11,11.0,105,105.0,1,2.0,1,0,0,0,1,9,9.0,91,91.0,1,2.0208333333333335
27,2002-11-01 20:00:00,New York Knicks,86,Philadelphia 76ers,98,Fri,6,12,1,1,1,1,0,1,-5,-2.5,183,91.5,2,2.0416666666666665,0,1,0,1,-1,-9,-9.0,77,77.0,1,2.0
28,2002-11-01 19:00:00,Cleveland Cavaliers,74,Phoenix Suns,78,Fri,6,4,1,0,1,0,0,-1,-13,-13.0,73,73.0,1,2.0,1,1,1,1,1,-25,-12.5,165,82.5,2,1.9791666666666667
29,2002-11-01 19:30:00,Toronto Raptors,72,San Antonio Spurs,91,Fri,6,19,1,1,1,0,0,-1,-3,-1.5,185,92.5,2,2.0,1,0,0,0,1,6,6.0,74,74.0,1,2.0208333333333335
30,2002-11-02 19:00:00,Chicago Bulls,92,Atlanta Hawks,98,Sat,7,6,1,1,1,1,0,1,-4,-2.0,199,99.5,2,1.9791666666666667,2,0,1,0,2,8,4.0,183,91.5,2,0.9791666666666666
31,2002-11-02 19:30:00,Phoenix Suns,83,Dallas Mavericks,97,Sat,7,14,1,1,0,0,0,1,11,11.0,119,119.0,1,3.0208333333333335,1,1,0,1,1,-9,-4.5,151,75.5,2,1.0208333333333333
32,2002-11-02 19:30:00,Toronto Raptors,76,Houston Rockets,88,Sat,7,12,1,1,1,0,0,1,0,0.0,165,82.5,2,1.0208333333333333,1,1,0,1,-1,-13,-6.5,146,73.0,2,1.0
33,2002-11-02 19:00:00,Minnesota Timberwolves,80,Indiana Pacers,87,Sat,7,7,1,1,1,1,0,-1,-2,-1.0,182,91.0,2,0.9791666666666666,2,0,0,0,2,12,6.0,194,97.0,2,1.0
34,2002-11-02 19:00:00,Sacramento Kings,116,Memphis Grizzlies,99,Sat,7,-17,0,0,2,0,1,-2,-34,-17.0,194,97.0,2,0.9583333333333334,2,0,0,0,2,55,27.5,194,97.0,2,2.0
35,2002-11-02 19:30:00,Orlando Magic,100,Milwaukee Bucks,90,Sat,7,-10,0,0,1,0,0,-1,-2,-2.0,93,93.0,1,3.0208333333333335,2,1,1,1,-1,15,5.0,300,100.0,3,1.0208333333333333
36,2002-11-02 19:30:00,Miami Heat,95,New Orleans Hornets,100,Sat,7,5,1,1,1,1,0,-1,20,10.0,179,89.5,2,1.0,0,1,0,0,-1,-14,-14.0,86,86.0,1,3.0000000000000004
37,2002-11-02 19:30:00,Boston Celtics,117,New York Knicks,107,Sat,7,-10,0,0,2,0,0,-2,-21,-10.5,163,81.5,2,0.9791666666666666,0,2,0,1,-2,-48,-24.0,165,82.5,2,2.0
38,2002-11-02 19:00:00,Denver Nuggets,96,Portland Trail Blazers,79,Sat,7,-17,0,1,1,1,0,-1,-16,-8.0,174,87.0,2,2.0,0,2,0,1,-2,-15,-7.5,151,75.5,2,1.0
39,2002-11-02 19:00:00,Golden State Warriors,92,Utah Jazz,101,Sat,7,9,1,0,2,0,0,-2,-32,-16.0,173,86.5,2,1.9791666666666667,1,1,0,0,-1,-5,-2.5,199,99.5,2,0.9791666666666666
40,2002-11-02 19:00:00,New Jersey Nets,87,Washington Wizards,79,Sat,7,-8,0,1,1,1,0,1,39,19.5,182,91.0,2,1.9791666666666667,2,0,0,0,2,22,11.0,207,103.5,2,0.9791666666666666
41,2002-11-03 12:30:00,Detroit Pistons,72,Los Angeles Clippers,74,Sun,1,2,1,0,2,0,2,-2,-17,-8.5,189,94.5,2,1.7083333333333333,2,0,0,0,2,32,16.0,195,97.5,2,1.6875
42,2002-11-03 18:30:00,Portland Trail Blazers,95,Los Angeles Lakers,98,Sun,1,3,1,1,2,0,1,1,-2,-0.6666666666666666,280,93.33333333333333,3,1.9583333333333333,1,2,0,1,-2,-33,-11.0,253,84.33333333333333,3,0.9791666666666666
43,2002-11-03 18:00:00,Sacramento Kings,78,Miami Heat,88,Sun,1,10,1,0,2,0,1,-2,-19,-9.5,181,90.5,2,0.9375,3,0,1,0,3,72,24.0,310,103.33333333333333,3,0.9583333333333334
44,2002-11-03 18:00:00,Utah Jazz,77,Seattle SuperSonics,91,Sun,1,14,1,2,0,1,0,2,26,13.0,192,96.0,2,1.9375,1,2,0,2,1,-23,-7.666666666666667,274,91.33333333333333,3,0.9583333333333334
45,2002-11-04 19:30:00,Golden State Warriors,100,Dallas Mavericks,107,Mon,2,7,1,2,0,1,0,2,25,12.5,216,108.0,2,2.0,1,2,0,1,-2,-14,-4.666666666666667,291,97.0,3,2.0208333333333335
46,2002-11-04 19:00:00,San Antonio Spurs,103,Memphis Grizzlies,101,Mon,2,-2,0,0,3,0,2,-3,-51,-17.0,293,97.66666666666667,3,2.0,2,1,1,1,1,16,5.333333333333333,276,92.0,3,2.979166666666667
47,2002-11-04 19:30:00,Minnesota Timberwolves,82,New Jersey Nets,106,Mon,2,24,1,3,0,2,0,3,30,10.0,294,98.0,3,2.0208333333333335,2,1,0,1,-1,5,1.6666666666666667,274,91.33333333333333,3,2.0208333333333335
48,2002-11-04 19:30:00,Milwaukee Bucks,97,New York Knicks,88,Mon,2,-9,0,0,3,0,1,-3,-31,-10.333333333333334,270,90.0,3,2.0,0,2,0,1,-2,-12,-6.0,183,91.5,2,2.0
49,2002-11-04 19:00:00,Detroit Pistons,84,Phoenix Suns,82,Mon,2,-2,0,1,2,1,0,-1,-23,-7.666666666666667,234,78.0,3,1.9791666666666667,2,1,0,1,-1,30,10.0,267,89.0,3,1.2708333333333333
50,2002-11-04 19:00:00,Chicago Bulls,105,Toronto Raptors,109,Mon,2,4,1,1,2,1,0,-2,-25,-8.333333333333334,222,74.0,3,1.9791666666666667,2,1,1,1,-1,2,0.6666666666666666,275,91.66666666666667,3,2.0
51,2002-11-05 19:00:00,Los Angeles Lakers,70,Cleveland Cavaliers,89,Tue,3,19,1,1,2,0,0,-1,-29,-9.666666666666666,239,79.66666666666667,3,4.0,2,2,1,1,2,1,0.25,378,94.5,4,2.0208333333333335
52,2002-11-05 19:00:00,Atlanta Hawks,103,Denver Nuggets,87,Tue,3,-16,0,1,2,0,1,1,2,0.6666666666666666,247,82.33333333333333,3,3.0000000000000004,2,1,0,1,2,2,0.6666666666666666,297,99.0,3,3.0000000000000004
53,2002-11-05 19:30:00,Seattle SuperSonics,104,Houston Rockets,97,Tue,3,-7,0,2,1,1,0,2,12,4.0,253,84.33333333333333,3,3.0000000000000004,3,0,1,0,3,40,13.333333333333334,283,94.33333333333333,3,2.0625
54,2002-11-05 19:30:00,Indiana Pacers,83,Miami Heat,79,Tue,3,-4,0,1,2,1,1,1,-9,-3.0,269,89.66666666666667,3,2.0625,2,1,0,1,1,5,1.6666666666666667,269,89.66666666666667,3,3.0208333333333335
55,2002-11-05 19:00:00,Washington Wizards,86,Minnesota Timberwolves,90,Tue,3,4,1,2,2,2,0,-2,-19,-4.75,356,89.0,4,0.9791666666666666,1,2,0,1,-1,31,10.333333333333334,261,87.0,3,3.0000000000000004
56,2002-11-05 19:00:00,Sacramento Kings,121,Orlando Magic,125,Tue,3,4,1,3,1,1,0,1,25,6.25,400,100.0,4,2.979166666666667,3,1,1,1,-1,62,15.5,388,97.0,4,2.0416666666666665
57,2002-11-05 19:30:00,Golden State Warriors,73,San Antonio Spurs,93,Tue,3,20,1,3,1,1,0,2,18,4.5,379,94.75,4,1.0208333333333333,1,3,0,2,-3,-21,-5.25,391,97.75,4,1.0
58,2002-11-06 19:30:00,Boston Celtics,91,Chicago Bulls,69,Wed,4,-22,0,2,2,1,0,-2,-2,-0.5,380,95.0,4,2.0208333333333335,1,2,1,1,1,-38,-12.666666666666666,282,94.0,3,4.0
59,2002-11-06 20:30:00,New Jersey Nets,93,Milwaukee Bucks,99,Wed,4,6,1,1,2,0,1,1,-3,-1.0,280,93.33333333333333,3,2.0416666666666665,4,0,1,0,4,54,13.5,400,100.0,4,2.0416666666666665
60,2002-11-06 19:30:00,Seattle SuperSonics,84,New Orleans Hornets,86,Wed,4,2,1,2,1,2,0,1,25,8.333333333333334,279,93.0,3,4.0,4,0,2,0,4,47,11.75,387,96.75,4,1.0
61,2002-11-06 19:00:00,Sacramento Kings,88,New York Knicks,95,Wed,4,7,1,0,4,0,2,-4,-40,-10.0,358,89.5,4,1.9791666666666667,3,2,1,2,-2,58,11.6,509,101.8,5,1.0
62,2002-11-06 19:00:00,Los Angeles Clippers,99,Philadelphia 76ers,101,Wed,4,2,1,2,1,2,0,2,7,2.3333333333333335,281,93.66666666666667,3,4.958333333333333,1,2,0,0,1,-15,-5.0,263,87.66666666666667,3,3.2708333333333335
63,2002-11-06 19:00:00,Atlanta Hawks,88,Phoenix Suns,93,Wed,4,5,1,1,3,1,1,-2,-25,-6.25,316,79.0,4,2.0,3,1,1,1,3,18,4.5,400,100.0,4,1.0
64,2002-11-06 19:00:00,Memphis Grizzlies,88,Portland Trail Blazers,94,Wed,4,6,1,1,3,1,1,-3,-36,-9.0,348,87.0,4,3.0208333333333335,0,4,0,1,-4,-53,-13.25,394,98.5,4,2.0
65,2002-11-06 19:00:00,Dallas Mavericks,106,Toronto Raptors,92,Wed,4,-14,0,2,2,2,0,1,-21,-5.25,331,82.75,4,2.0,3,0,1,0,3,32,10.666666666666666,323,107.66666666666667,3,1.9791666666666667
66,2002-11-06 19:00:00,Detroit Pistons,80,Utah Jazz,78,Wed,4,-2,0,1,3,1,0,-1,-37,-9.25,351,87.75,4,3.0416666666666665,3,1,1,1,1,32,8.0,351,87.75,4,2.0
67,2002-11-06 19:00:00,Cleveland Cavaliers,100,Washington Wizards,107,Wed,4,7,1,1,3,1,1,-2,27,6.75,347,86.75,4,1.0,2,2,1,2,1,-10,-2.5,328,82.0,4,1.0
68,2002-11-07 19:30:00,Los Angeles Lakers,95,Boston Celtics,98,Thu,5,3,1,2,2,0,1,2,-16,-4.0,373,93.25,4,1.0,2,3,1,2,-1,-18,-3.6,448,89.6,5,2.0208333333333335
69,2002-11-07 20:00:00,Detroit Pistons,89,Denver Nuggets,63,Thu,5,-26,0,1,3,0,2,-1,-14,-3.5,334,83.5,4,2.0416666666666665,4,1,2,1,2,34,6.8,431,86.2,5,1.0416666666666667
70,2002-11-07 19:00:00,Milwaukee Bucks,110,Minnesota Timberwolves,114,Thu,5,4,1,3,2,3,0,1,-15,-3.0,446,89.2,5,2.0,2,2,1,1,2,3,0.75,379,94.75,4,0.9375
71,2002-11-08 19:30:00,Dallas Mavericks,114,Chicago Bulls,87,Fri,6,-27,0,2,3,1,1,-3,-24,-4.8,449,89.8,5,2.0,4,0,2,0,4,46,11.5,429,107.25,4,2.0208333333333335
72,2002-11-08 19:00:00,New York Knicks,94,Indiana Pacers,107,Fri,6,13,1,3,1,2,0,2,9,2.25,352,88.0,4,2.979166666666667,1,4,0,2,1,-33,-6.6,453,90.6,5,2.0
73,2002-11-08 19:30:00,Los Angeles Clippers,92,New Jersey Nets,106,Fri,6,14,1,4,1,3,0,-1,48,9.6,493,98.6,5,1.9583333333333333,1,3,0,1,-1,-17,-4.25,362,90.5,4,2.0208333333333335
74,2002-11-08 19:30:00,Golden State Warriors,104,New Orleans Hornets,110,Fri,6,6,1,3,1,3,0,2,27,6.75,365,91.25,4,2.0,1,4,0,3,-4,-41,-8.2,464,92.8,5,3.0000000000000004
75,2002-11-08 19:00:00,Seattle SuperSonics,98,Orlando Magic,105,Fri,6,7,1,4,1,2,0,2,29,5.8,525,105.0,5,3.0000000000000004,4,1,2,1,-1,45,9.0,471,94.2,5,1.9791666666666667
76,2002-11-08 19:00:00,Cleveland Cavaliers,84,Philadelphia 76ers,108,Fri,6,24,1,3,1,3,0,3,9,2.25,382,95.5,4,2.0,2,3,1,3,-1,-17,-3.4,428,85.6,5,2.0
77,2002-11-08 19:00:00,Portland Trail Blazers,75,Phoenix Suns,86,Fri,6,11,1,2,3,2,1,1,-20,-4.0,409,81.8,5,2.0,2,3,0,2,1,-30,-6.0,442,88.4,5,2.0
78,2002-11-08 19:30:00,Memphis Grizzlies,91,Sacramento Kings,99,Fri,6,8,1,3,3,2,0,-3,51,8.5,597,99.5,6,2.0208333333333335,0,5,0,2,-5,-59,-11.8,482,96.4,5,2.0208333333333335
79,2002-11-08 19:00:00,Atlanta Hawks,97,Utah Jazz,110,Fri,6,13,1,1,4,1,1,-2,-39,-7.8,429,85.8,5,2.0,3,2,1,2,-1,13,2.6,488,97.6,5,2.0
80,2002-11-08 20:00:00,Los Angeles Lakers,99,Washington Wizards,100,Fri,6,1,1,2,3,2,1,1,34,6.8,454,90.8,5,2.0416666666666665,2,4,1,3,-2,-21,-3.5,543,90.5,6,1.0208333333333333
81,2002-11-09 19:30:00,New Jersey Nets,93,Chicago Bulls,100,Sat,7,7,1,2,4,1,2,-4,-51,-8.5,536,89.33333333333333,6,1.0,5,1,1,1,1,62,10.333333333333334,599,99.83333333333333,6,1.0
82,2002-11-09 19:30:00,Washington Wizards,93,Cleveland Cavaliers,79,Sat,7,-14,0,2,4,1,0,-2,-41,-6.833333333333333,512,85.33333333333333,6,1.0208333333333333,3,3,0,2,2,35,5.833333333333333,554,92.33333333333333,6,0.9791666666666666
83,2002-11-09 19:30:00,Detroit Pistons,75,Dallas Mavericks,114,Sat,7,39,1,5,0,2,0,5,73,14.6,543,108.6,5,1.0,5,1,3,1,3,60,10.0,520,86.66666666666667,6,1.9791666666666667
84,2002-11-09 19:00:00,Memphis Grizzlies,73,Denver Nuggets,84,Sat,7,11,1,1,4,0,3,-2,-40,-8.0,397,79.4,5,1.9583333333333333,0,6,0,3,-6,-67,-11.166666666666666,573,95.5,6,0.9791666666666666
85,2002-11-09 19:30:00,Golden State Warriors,104,Houston Rockets,111,Sat,7,7,1,2,2,1,1,-1,5,1.25,350,87.5,4,4.0,1,5,0,4,-5,-47,-7.833333333333333,568,94.66666666666667,6,1.0
86,2002-11-09 19:00:00,Toronto Raptors,84,Indiana Pacers,108,Sat,7,24,1,4,1,3,0,3,22,4.4,459,91.8,5,1.0,2,3,0,2,-1,-35,-7.0,423,84.6,5,3.0000000000000004
87,2002-11-09 20:00:00,Seattle SuperSonics,84,Miami Heat,82,Sat,7,-2,0,1,3,1,2,-1,-13,-3.25,348,87.0,4,4.020833333333333,4,2,2,2,-2,38,6.333333333333333,569,94.83333333333333,6,1.0416666666666667
88,2002-11-09 19:30:00,Philadelphia 76ers,105,Milwaukee Bucks,110,Sat,7,5,1,2,3,1,1,-1,-1,-0.2,489,97.8,5,2.0208333333333335,4,1,0,1,4,33,6.6,490,98.0,5,1.0208333333333333
89,2002-11-09 19:00:00,Boston Celtics,105,Minnesota Timberwolves,99,Sat,7,-6,0,4,2,4,0,2,-11,-1.8333333333333333,560,93.33333333333333,6,2.0,3,2,2,1,3,-13,-2.6,471,94.2,5,1.9791666666666667
