Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Sun May 02 2004 12:00pm,Miami Heat,83,New Orleans Hornets,89,Box Score,0,17297,
Sun May 02 2004 02:30pm,Los Angeles Lakers,78,San Antonio Spurs,88,Box Score,0,18797,
Mon May 03 2004 08:00pm,New Jersey Nets,56,Detroit Pistons,78,Box Score,0,22076,
Tue May 04 2004 07:00pm,New Orleans Hornets,77,Miami Heat,85,Box Score,0,20286,
Tue May 04 2004 08:30pm,Sacramento Kings,104,Minnesota Timberwolves,98,Box Score,0,18792,
Wed May 05 2004 08:00pm,Los Angeles Lakers,85,San Antonio Spurs,95,Box Score,0,18797,
Thu May 06 2004 08:00pm,Miami Heat,81,Indiana Pacers,94,Box Score,0,18345,
Fri May 07 2004 08:00pm,New Jersey Nets,80,Detroit Pistons,95,Box Score,0,22076,
Sat May 08 2004 06:00pm,Miami Heat,80,Indiana Pacers,91,Box Score,0,18345,
Sat May 08 2004 08:30pm,Sacramento Kings,89,Minnesota Timberwolves,94,Box Score,0,19599,
Sun May 09 2004 12:30pm,San Antonio Spurs,81,Los Angeles Lakers,105,Box Score,0,18997,
Sun May 09 2004 08:00pm,Detroit Pistons,64,New Jersey Nets,82,Box Score,0,19000,
Mon May 10 2004 08:00pm,Indiana Pacers,87,Miami Heat,94,Box Score,0,20115,
Mon May 10 2004 07:30pm,Minnesota Timberwolves,114,Sacramento Kings,113,Box Score,1,17317,
Tue May 11 2004 07:30pm,San Antonio Spurs,90,Los Angeles Lakers,98,Box Score,0,18997,
Tue May 11 2004 08:00pm,Detroit Pistons,79,New Jersey Nets,94,Box Score,0,19860,
Wed May 12 2004 08:00pm,Indiana Pacers,88,Miami Heat,100,Box Score,0,20128,
Wed May 12 2004 07:30pm,Minnesota Timberwolves,81,Sacramento Kings,87,Box Score,0,17317,
Thu May 13 2004 07:00pm,Los Angeles Lakers,74,San Antonio Spurs,73,Box Score,0,18797,
Fri May 14 2004 07:00pm,New Jersey Nets,127,Detroit Pistons,120,Box Score,3,22076,
Fri May 14 2004 08:30pm,Sacramento Kings,74,Minnesota Timberwolves,86,Box Score,0,19818,
Sat May 15 2004 07:00pm,Miami Heat,83,Indiana Pacers,94,Box Score,0,18345,
Sat May 15 2004 07:30pm,San Antonio Spurs,76,Los Angeles Lakers,88,Box Score,0,18997,
Sun May 16 2004 08:00pm,Detroit Pistons,81,New Jersey Nets,75,Box Score,0,19968,
Sun May 16 2004 12:30pm,Minnesota Timberwolves,87,Sacramento Kings,104,Box Score,0,17317,
Tue May 18 2004 08:00pm,Indiana Pacers,73,Miami Heat,70,Box Score,0,20136,
Wed May 19 2004 07:30pm,Sacramento Kings,80,Minnesota Timberwolves,83,Box Score,0,19944,
Thu May 20 2004 08:00pm,New Jersey Nets,69,Detroit Pistons,90,Box Score,0,22076,
Fri May 21 2004 08:00pm,Los Angeles Lakers,97,Minnesota Timberwolves,88,Box Score,0,19552,
Sat May 22 2004 07:00pm,Detroit Pistons,74,Indiana Pacers,78,Box Score,0,18345,
Sun May 23 2004 07:30pm,Los Angeles Lakers,71,Minnesota Timberwolves,89,Box Score,0,19707,
Mon May 24 2004 07:00pm,Detroit Pistons,72,Indiana Pacers,67,Box Score,0,18345,
Tue May 25 2004 06:00pm,Minnesota Timberwolves,89,Los Angeles Lakers,100,Box Score,0,18997,
Wed May 26 2004 08:30pm,Indiana Pacers,78,Detroit Pistons,85,Box Score,0,22076,
Thu May 27 2004 06:00pm,Minnesota Timberwolves,85,Los Angeles Lakers,92,Box Score,0,18997,
Fri May 28 2004 08:00pm,Indiana Pacers,83,Detroit Pistons,68,Box Score,0,22076,
Sat May 29 2004 07:30pm,Los Angeles Lakers,96,Minnesota Timberwolves,98,Box Score,0,20109,
Sun May 30 2004 07:00pm,Detroit Pistons,83,Indiana Pacers,65,Box Score,0,18345,
Mon May 31 2004 06:00pm,Minnesota Timberwolves,90,Los Angeles Lakers,96,Box Score,0,18997,
