Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Tue Jun 01 2004 08:00pm,Indiana Pacers,65,Detroit Pistons,69,Box Score,0,22076,
Sun Jun 06 2004 06:00pm,Detroit Pistons,87,Los Angeles Lakers,75,Box Score,0,18997,
Tue Jun 08 2004 06:00pm,Detroit Pistons,91,Los Angeles Lakers,99,Box Score,1,18997,
Thu Jun 10 2004 09:00pm,Los Angeles Lakers,68,Detroit Pistons,88,Box Score,0,22076,
Sun Jun 13 2004 09:00pm,Los Angeles Lakers,80,Detroit Pistons,88,Box Score,0,22076,
Tue Jun 15 2004 09:00pm,Los Angeles Lakers,87,Detroit Pistons,100,Box Score,0,22076,
