Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Sat Nov 01 2014 07:30pm,Indiana Pacers,92,Atlanta Hawks,102,Box Score,0,19118,
Sat Nov 01 2014 07:00pm,Memphis Grizzlies,71,Charlotte Hornets,69,Box Score,0,18133,
Sat Nov 01 2014 07:30pm,Brooklyn Nets,102,Detroit Pistons,90,Box Score,0,19904,
Sat Nov 01 2014 10:30pm,Los Angeles Lakers,104,Golden State Warriors,127,Box Score,0,19596,
Sat Nov 01 2014 08:00pm,Boston Celtics,90,Houston Rockets,104,Box Score,0,18309,
Sat Nov 01 2014 08:00pm,Chicago Bulls,106,Minnesota Timberwolves,105,Box Score,0,19356,
Sat Nov 01 2014 07:00pm,Dallas Mavericks,109,New Orleans Pelicans,104,Box Score,0,14547,
Sat Nov 01 2014 08:00pm,Denver Nuggets,91,Oklahoma City Thunder,102,Box Score,0,18203,
Sat Nov 01 2014 07:00pm,Toronto Raptors,108,Orlando Magic,95,Box Score,0,16141,
Sat Nov 01 2014 07:00pm,Miami Heat,114,Philadelphia 76ers,96,Box Score,0,19753,
Sat Nov 01 2014 09:00pm,Phoenix Suns,91,Utah Jazz,118,Box Score,0,17721,
Sat Nov 01 2014 07:00pm,Milwaukee Bucks,97,Washington Wizards,108,Box Score,0,17992,
Sun Nov 02 2014 03:30pm,Sacramento Kings,98,Los Angeles Clippers,92,Box Score,0,19060,
Sun Nov 02 2014 06:00pm,Toronto Raptors,102,Miami Heat,107,Box Score,0,19666,
Sun Nov 02 2014 07:30pm,Charlotte Hornets,93,New York Knicks,96,Box Score,0,19812,
Sun Nov 02 2014 09:00pm,Golden State Warriors,95,Portland Trail Blazers,90,Box Score,0,19441,
Mon Nov 03 2014 07:30pm,Oklahoma City Thunder,85,Brooklyn Nets,116,Box Score,0,17732,
Mon Nov 03 2014 08:30pm,Boston Celtics,113,Dallas Mavericks,118,Box Score,0,19948,
Mon Nov 03 2014 09:00pm,Sacramento Kings,110,Denver Nuggets,105,Box Score,0,12516,
Mon Nov 03 2014 10:30pm,Utah Jazz,101,Los Angeles Clippers,107,Box Score,0,19060,
Mon Nov 03 2014 08:00pm,New Orleans Pelicans,81,Memphis Grizzlies,93,Box Score,0,15302,
Mon Nov 03 2014 07:00pm,Houston Rockets,104,Philadelphia 76ers,93,Box Score,0,12896,
Tue Nov 04 2014 08:00pm,Orlando Magic,90,Chicago Bulls,98,Box Score,0,21809,
Tue Nov 04 2014 07:00pm,Milwaukee Bucks,87,Indiana Pacers,81,Box Score,0,15012,
Tue Nov 04 2014 10:30pm,Phoenix Suns,112,Los Angeles Lakers,106,Box Score,0,18997,
Tue Nov 04 2014 07:30pm,Houston Rockets,108,Miami Heat,91,Box Score,0,19666,
Tue Nov 04 2014 08:00pm,Charlotte Hornets,91,New Orleans Pelicans,100,Box Score,0,14840,
Tue Nov 04 2014 07:30pm,Washington Wizards,98,New York Knicks,83,Box Score,0,19812,
Tue Nov 04 2014 10:00pm,Cleveland Cavaliers,82,Portland Trail Blazers,101,Box Score,0,19441,
Tue Nov 04 2014 07:30pm,Oklahoma City Thunder,88,Toronto Raptors,100,Box Score,0,18877,
Wed Nov 05 2014 07:30pm,Toronto Raptors,110,Boston Celtics,107,Box Score,0,16249,
Wed Nov 05 2014 07:30pm,Minnesota Timberwolves,98,Brooklyn Nets,91,Box Score,0,16302,
Wed Nov 05 2014 07:00pm,Miami Heat,89,Charlotte Hornets,96,Box Score,0,15874,
Wed Nov 05 2014 07:30pm,New York Knicks,95,Detroit Pistons,98,Box Score,0,11915,
Wed Nov 05 2014 10:30pm,Los Angeles Clippers,104,Golden State Warriors,121,Box Score,0,19596,
Wed Nov 05 2014 08:00pm,Chicago Bulls,95,Milwaukee Bucks,86,Box Score,0,13098,
Wed Nov 05 2014 07:00pm,Orlando Magic,91,Philadelphia 76ers,89,Box Score,0,12111,
Wed Nov 05 2014 09:00pm,Memphis Grizzlies,102,Phoenix Suns,91,Box Score,0,15377,
Wed Nov 05 2014 10:00pm,Denver Nuggets,109,Sacramento Kings,131,Box Score,0,14539,
Wed Nov 05 2014 08:30pm,Atlanta Hawks,92,San Antonio Spurs,94,Box Score,0,18581,
Wed Nov 05 2014 09:00pm,Cleveland Cavaliers,100,Utah Jazz,102,Box Score,0,19911,
Wed Nov 05 2014 08:00pm,Indiana Pacers,94,Washington Wizards,96,Box Score,1,15268,
Thu Nov 06 2014 08:00pm,San Antonio Spurs,81,Houston Rockets,98,Box Score,0,18311,
Thu Nov 06 2014 10:30pm,Dallas Mavericks,87,Portland Trail Blazers,108,Box Score,0,19441,
Fri Nov 07 2014 07:30pm,Indiana Pacers,98,Boston Celtics,101,Box Score,0,17122,
Fri Nov 07 2014 07:30pm,New York Knicks,99,Brooklyn Nets,110,Box Score,0,17732,
