Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.,Notes
Tue Dec 09 2014 07:30pm,Portland Trail Blazers,98,Detroit Pistons,86,Box Score,0,12813,
Tue Dec 09 2014 10:30pm,Sacramento Kings,95,Los Angeles Lakers,98,Box Score,0,18267,
Tue Dec 09 2014 08:00pm,Dallas Mavericks,105,Memphis Grizzlies,114,Box Score,0,16512,
Tue Dec 09 2014 08:00pm,New York Knicks,93,New Orleans Pelicans,104,Box Score,0,13789,
Tue Dec 09 2014 08:00pm,Milwaukee Bucks,101,Oklahoma City Thunder,114,Box Score,0,18203,
Tue Dec 09 2014 09:00pm,Miami Heat,103,Phoenix Suns,97,Box Score,0,14963,
Tue Dec 09 2014 09:00pm,San Antonio Spurs,96,Utah Jazz,100,Box Score,0,18382,
Wed Dec 10 2014 07:30pm,Philadelphia 76ers,79,Atlanta Hawks,95,Box Score,0,11733,
Wed Dec 10 2014 08:00pm,Brooklyn Nets,80,Chicago Bulls,105,Box Score,0,11733,
Wed Dec 10 2014 07:00pm,Boston Celtics,87,Charlotte Hornets,96,Box Score,0,15276,
Wed Dec 10 2014 08:00pm,New Orleans Pelicans,107,Dallas Mavericks,112,Box Score,0,19988,
Wed Dec 10 2014 10:30pm,Miami Heat,82,Denver Nuggets,102,Box Score,0,13433,
Wed Dec 10 2014 10:30pm,Houston Rockets,93,Golden State Warriors,105,Box Score,0,19596,
Wed Dec 10 2014 07:00pm,Los Angeles Clippers,103,Indiana Pacers,96,Box Score,0,16392,
Wed Dec 10 2014 08:00pm,Portland Trail Blazers,82,Minnesota Timberwolves,90,Box Score,0,10337,
Wed Dec 10 2014 07:00pm,Washington Wizards,91,Orlando Magic,89,Box Score,0,16081,
Wed Dec 10 2014 08:30pm,New York Knicks,95,San Antonio Spurs,109,Box Score,0,18581,
Thu Dec 11 2014 08:00pm,Cleveland Cavaliers,94,Oklahoma City Thunder,103,Box Score,0,18203,
Thu Dec 11 2014 10:30pm,Houston Rockets,113,Sacramento Kings,109,Box Score,1,16676,
Fri Dec 12 2014 07:30pm,Orlando Magic,81,Atlanta Hawks,87,Box Score,0,13247,
Fri Dec 12 2014 07:30pm,New York Knicks,101,Boston Celtics,95,Box Score,0,17989,
Fri Dec 12 2014 07:30pm,Philadelphia 76ers,70,Brooklyn Nets,88,Box Score,0,16326,
Fri Dec 12 2014 07:00pm,Portland Trail Blazers,106,Chicago Bulls,115,Box Score,0,21725,
Fri Dec 12 2014 08:00pm,Charlotte Hornets,107,Memphis Grizzlies,113,Box Score,2,15897,
Fri Dec 12 2014 08:00pm,Oklahoma City Thunder,111,Minnesota Timberwolves,92,Box Score,0,13557,
Fri Dec 12 2014 08:00pm,Cleveland Cavaliers,114,New Orleans Pelicans,119,Box Score,0,18069,
Fri Dec 12 2014 09:00pm,Detroit Pistons,105,Phoenix Suns,103,Box Score,0,17007,
Fri Dec 12 2014 09:30pm,Los Angeles Lakers,112,San Antonio Spurs,110,Box Score,1,18581,
Fri Dec 12 2014 07:30pm,Indiana Pacers,94,Toronto Raptors,106,Box Score,0,19800,
Fri Dec 12 2014 09:00pm,Miami Heat,100,Utah Jazz,95,Box Score,0,19911,
Fri Dec 12 2014 07:00pm,Los Angeles Clippers,96,Washington Wizards,104,Box Score,0,17437,
Sat Dec 13 2014 07:00pm,Brooklyn Nets,114,Charlotte Hornets,87,Box Score,0,17113,
Sat Dec 13 2014 02:00pm,Golden State Warriors,105,Dallas Mavericks,98,Box Score,0,20317,
Sat Dec 13 2014 08:00pm,Denver Nuggets,96,Houston Rockets,108,Box Score,0,18136,
Sat Dec 13 2014 07:00pm,Portland Trail Blazers,95,Indiana Pacers,85,Box Score,0,17206,
Sat Dec 13 2014 07:30pm,Los Angeles Clippers,106,Milwaukee Bucks,111,Box Score,0,16227,
Sat Dec 13 2014 07:00pm,Atlanta Hawks,99,Orlando Magic,100,Box Score,0,15939,
Sat Dec 13 2014 07:30pm,Memphis Grizzlies,120,Philadelphia 76ers,115,Box Score,1,13698,
Sat Dec 13 2014 10:00pm,Detroit Pistons,95,Sacramento Kings,90,Box Score,0,16242,
Sun Dec 14 2014 08:00pm,San Antonio Spurs,99,Denver Nuggets,91,Box Score,0,16544,
