Date,Visitor,Visitor_PTS,Home,Home_PTS,Box Score,#OTs,Attend.
Sun Mar 08 2015 01:00pm,Chicago Bulls,105,San Antonio Spurs,116,Box Score,0,18581
Mon Mar 09 2015 07:30pm,Sacramento Kings,105,Atlanta Hawks,130,Box Score,0,18418
Mon Mar 09 2015 08:00pm,Memphis Grizzlies,101,Chicago Bulls,91,Box Score,0,21815
Mon Mar 09 2015 07:00pm,Washington Wizards,95,Charlotte Hornets,69,Box Score,0,15119
Mon Mar 09 2015 09:00pm,New York Knicks,78,Denver Nuggets,106,Box Score,0,14153
Mon Mar 09 2015 10:30pm,Minnesota Timberwolves,76,Los Angeles Clippers,89,Box Score,0,19060
Mon Mar 09 2015 07:30pm,Boston Celtics,100,Miami Heat,90,Box Score,0,19600
Mon Mar 09 2015 08:00pm,New Orleans Pelicans,114,Milwaukee Bucks,103,Box Score,0,12218
Mon Mar 09 2015 10:00pm,Golden State Warriors,98,Phoenix Suns,80,Box Score,0,18055
Tue Mar 10 2015 07:30pm,New Orleans Pelicans,111,Brooklyn Nets,91,Box Score,0,16422
Tue Mar 10 2015 08:30pm,Cleveland Cavaliers,127,Dallas Mavericks,94,Box Score,0,20501
Tue Mar 10 2015 07:00pm,Orlando Magic,86,Indiana Pacers,118,Box Score,0,17295
Tue Mar 10 2015 10:30pm,Detroit Pistons,85,Los Angeles Lakers,93,Box Score,0,17771
Tue Mar 10 2015 08:30pm,Toronto Raptors,107,San Antonio Spurs,117,Box Score,0,18581
Tue Mar 10 2015 09:00pm,New York Knicks,82,Utah Jazz,87,Box Score,0,17121
Wed Mar 11 2015 07:30pm,Memphis Grizzlies,92,Boston Celtics,95,Box Score,0,17135
Wed Mar 11 2015 07:00pm,Sacramento Kings,113,Charlotte Hornets,106,Box Score,0,15885
Wed Mar 11 2015 09:00pm,Atlanta Hawks,102,Denver Nuggets,115,Box Score,0,13217
Wed Mar 11 2015 10:30pm,Detroit Pistons,98,Golden State Warriors,105,Box Score,0,19596
Wed Mar 11 2015 07:30pm,Brooklyn Nets,98,Miami Heat,104,Box Score,0,19600
Wed Mar 11 2015 08:00pm,Orlando Magic,91,Milwaukee Bucks,97,Box Score,0,12593
Wed Mar 11 2015 08:00pm,Los Angeles Clippers,120,Oklahoma City Thunder,108,Box Score,0,18203
Wed Mar 11 2015 07:00pm,Chicago Bulls,104,Philadelphia 76ers,95,Box Score,1,12400
Wed Mar 11 2015 10:00pm,Minnesota Timberwolves,97,Phoenix Suns,106,Box Score,0,17367
Wed Mar 11 2015 10:30pm,Houston Rockets,100,Portland Trail Blazers,105,Box Score,0,19279
Thu Mar 12 2015 07:00pm,Milwaukee Bucks,103,Indiana Pacers,109,Box Score,1,15729
Thu Mar 12 2015 10:30pm,New York Knicks,101,Los Angeles Lakers,94,Box Score,0,18997
Thu Mar 12 2015 09:30pm,Cleveland Cavaliers,128,San Antonio Spurs,125,Box Score,1,18581
Thu Mar 12 2015 09:00pm,Houston Rockets,91,Utah Jazz,109,Box Score,0,18781
Thu Mar 12 2015 07:00pm,Memphis Grizzlies,87,Washington Wizards,107,Box Score,0,18186
Fri Mar 13 2015 07:30pm,Orlando Magic,88,Boston Celtics,95,Box Score,0,18624
Fri Mar 13 2015 07:00pm,Chicago Bulls,91,Charlotte Hornets,101,Box Score,0,19183
Fri Mar 13 2015 08:30pm,Los Angeles Clippers,99,Dallas Mavericks,129,Box Score,0,20444
Fri Mar 13 2015 09:00pm,Golden State Warriors,103,Denver Nuggets,114,Box Score,0,19155
Fri Mar 13 2015 08:00pm,Minnesota Timberwolves,99,Oklahoma City Thunder,113,Box Score,0,18203
Fri Mar 13 2015 07:00pm,Sacramento Kings,107,Philadelphia 76ers,114,Box Score,0,12331
Fri Mar 13 2015 10:00pm,Atlanta Hawks,96,Phoenix Suns,87,Box Score,0,17136
Fri Mar 13 2015 10:00pm,Detroit Pistons,99,Portland Trail Blazers,118,Box Score,0,19486
Fri Mar 13 2015 07:30pm,Miami Heat,92,Toronto Raptors,102,Box Score,0,19800
Sat Mar 14 2015 10:30pm,New York Knicks,94,Golden State Warriors,125,Box Score,0,19596
Sat Mar 14 2015 07:00pm,Boston Celtics,93,Indiana Pacers,89,Box Score,0,18165
Sat Mar 14 2015 08:00pm,Milwaukee Bucks,83,Memphis Grizzlies,96,Box Score,0,18119
Sat Mar 14 2015 07:30pm,Brooklyn Nets,94,Philadelphia 76ers,87,Box Score,0,14865
Sat Mar 14 2015 09:00pm,Detroit Pistons,85,Utah Jazz,88,Box Score,0,19911
Sat Mar 14 2015 07:00pm,Sacramento Kings,97,Washington Wizards,113,Box Score,0,20356
Sun Mar 15 2015 03:30pm,Houston Rockets,100,Los Angeles Clippers,98,Box Score,0,19211
Sun Mar 15 2015 09:30pm,Atlanta Hawks,91,Los Angeles Lakers,86,Box Score,0,17422
Sun Mar 15 2015 06:00pm,Denver Nuggets,118,New Orleans Pelicans,111,Box Score,2,17248
Sun Mar 15 2015 01:00pm,Chicago Bulls,100,Oklahoma City Thunder,109,Box Score,0,18203
Sun Mar 15 2015 06:00pm,Cleveland Cavaliers,123,Orlando Magic,108,Box Score,0,17786
Sun Mar 15 2015 09:00pm,New York Knicks,89,Phoenix Suns,102,Box Score,0,17264
Sun Mar 15 2015 07:00pm,Minnesota Timberwolves,97,San Antonio Spurs,123,Box Score,0,18581
Sun Mar 15 2015 07:00pm,Portland Trail Blazers,113,Toronto Raptors,97,Box Score,0,19800
Mon Mar 16 2015 07:30pm,Philadelphia 76ers,89,Boston Celtics,108,Box Score,0,16553
Mon Mar 16 2015 08:30pm,Oklahoma City Thunder,115,Dallas Mavericks,119,Box Score,0,20231
Mon Mar 16 2015 10:30pm,Los Angeles Lakers,105,Golden State Warriors,108,Box Score,0,19596
Mon Mar 16 2015 07:00pm,Toronto Raptors,117,Indiana Pacers,98,Box Score,0,17060
Mon Mar 16 2015 08:00pm,Denver Nuggets,81,Memphis Grizzlies,92,Box Score,0,16614
Mon Mar 16 2015 08:00pm,Cleveland Cavaliers,92,Miami Heat,106,Box Score,0,19626
Mon Mar 16 2015 08:00pm,Brooklyn Nets,122,Minnesota Timberwolves,106,Box Score,0,14234
Mon Mar 16 2015 10:00pm,Atlanta Hawks,110,Sacramento Kings,103,Box Score,0,16835
Mon Mar 16 2015 09:00pm,Charlotte Hornets,66,Utah Jazz,94,Box Score,0,16743
Mon Mar 16 2015 07:00pm,Portland Trail Blazers,97,Washington Wizards,105,Box Score,0,17324
Tue Mar 17 2015 07:30pm,Memphis Grizzlies,95,Detroit Pistons,105,Box Score,0,14399
Tue Mar 17 2015 08:00pm,Orlando Magic,94,Houston Rockets,107,Box Score,0,18235
Tue Mar 17 2015 10:30pm,Charlotte Hornets,92,Los Angeles Clippers,99,Box Score,0,19060
Tue Mar 17 2015 08:00pm,Milwaukee Bucks,84,New Orleans Pelicans,85,Box Score,0,17881
Tue Mar 17 2015 07:30pm,San Antonio Spurs,100,New York Knicks,104,Box Score,1,19812
Wed Mar 18 2015 08:00pm,Indiana Pacers,86,Chicago Bulls,103,Box Score,0,21753
Wed Mar 18 2015 07:00pm,Brooklyn Nets,92,Cleveland Cavaliers,117,Box Score,0,20562
Wed Mar 18 2015 08:00pm,Orlando Magic,102,Dallas Mavericks,107,Box Score,0,20294
Wed Mar 18 2015 10:30pm,Atlanta Hawks,95,Golden State Warriors,114,Box Score,0,19596
Wed Mar 18 2015 07:30pm,Portland Trail Blazers,104,Miami Heat,108,Box Score,0,19621
Wed Mar 18 2015 08:00pm,San Antonio Spurs,114,Milwaukee Bucks,103,Box Score,0,14831
Wed Mar 18 2015 08:00pm,Boston Celtics,118,Oklahoma City Thunder,122,Box Score,0,18203
Wed Mar 18 2015 07:00pm,Detroit Pistons,83,Philadelphia 76ers,94,Box Score,0,10776
Wed Mar 18 2015 10:00pm,Los Angeles Clippers,116,Sacramento Kings,105,Box Score,0,16785
Wed Mar 18 2015 07:30pm,Minnesota Timberwolves,100,Toronto Raptors,105,Box Score,0,19800
